Title,Price,Link,Image Link,Sold Date
2022 Panini FIFA World Cup Qatar Stickers Morocco Purple Romain Saiss #MAR9,"280,282.95 VND",https://www.ebay.com/itm/396279371982,https://i.ebayimg.com/images/g/HvYAAeSwKQtnx7mF/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Panini FIFA World Cup Qatar Stickers ROMAIN SAISS MAR 9 RED LABEL MOROCCO,"63,431.10 VND",https://www.ebay.com/itm/365357053558,https://i.ebayimg.com/images/g/x5UAAOSwjCJnkIsO/s-l140.jpg,"Sold  Jan 28, 2025"
2022 World Cup Prizm Romain Saiss Purple Wave /99 Morocco PSA 10,"25,527.15 VND",https://www.ebay.com/itm/146470136232,https://i.ebayimg.com/images/g/HugAAOSwarVnewB9/s-l140.jpg,"Sold  Mar 30, 2025"
2022 Panini Prizm World Cup Qatar Blue Mojo Prizm /75 Romain Saiss #240 SGC 10,"25,527.15 VND",https://www.ebay.com/itm/316167384155,https://i.ebayimg.com/images/g/4p4AAOSwVCtnmXZB/s-l140.jpg,"Sold  Feb 8, 2025"
2022 Panini Prizm World Cup Romain Saiss Blue Wave #94/199,"25,527.15 VND",https://www.ebay.com/itm/126913993369,https://i.ebayimg.com/images/g/TkMAAOSwmpVnnTC3/s-l140.jpg,"Sold  Feb 5, 2025"
ROMAIN SAISS 2020-21 PANINI PRIZM PL SOCCER #143 TRUE GOLD PRIZMS 04/10 ,"528,592.50 VND",https://www.ebay.com/itm/176861645512,https://i.ebayimg.com/images/g/QRgAAOSwVzdnt4Cw/s-l140.jpg,"Sold  Feb 27, 2025"
2021 Topps MLS Soccer ROMAIN METANIRE Minnesota United Orange /25,"51,312.15 VND",https://www.ebay.com/itm/226559690150,https://i.ebayimg.com/images/g/l94AAOSw5DFnkQlU/s-l140.jpg,"Sold  Jan 27, 2025"
2022 Panini FIFA World Cup Qatar Stickers Morocco Purple Romain Saiss #MAR9,"280,282.95 VND",https://www.ebay.com/itm/396279371982,https://i.ebayimg.com/images/g/HvYAAeSwKQtnx7mF/s-l140.jpg,"Sold  Mar 9, 2025"
2022 Panini FIFA World Cup Qatar Stickers ROMAIN SAISS MAR 9 RED LABEL MOROCCO,"63,431.10 VND",https://www.ebay.com/itm/365357053558,https://i.ebayimg.com/images/g/x5UAAOSwjCJnkIsO/s-l140.jpg,"Sold  Jan 28, 2025"
2022 World Cup Prizm Romain Saiss Purple Wave /99 Morocco PSA 10,"25,527.15 VND",https://www.ebay.com/itm/146470136232,https://i.ebayimg.com/images/g/HugAAOSwarVnewB9/s-l140.jpg,"Sold  Mar 30, 2025"
2022 Panini Prizm World Cup Qatar Blue Mojo Prizm /75 Romain Saiss #240 SGC 10,"25,527.15 VND",https://www.ebay.com/itm/316167384155,https://i.ebayimg.com/images/g/4p4AAOSwVCtnmXZB/s-l140.jpg,"Sold  Feb 8, 2025"
2022 Panini Prizm World Cup Romain Saiss Blue Wave #94/199,"25,527.15 VND",https://www.ebay.com/itm/126913993369,https://i.ebayimg.com/images/g/TkMAAOSwmpVnnTC3/s-l140.jpg,"Sold  Feb 5, 2025"
ROMAIN SAISS 2020-21 PANINI PRIZM PL SOCCER #143 TRUE GOLD PRIZMS 04/10 ,"528,592.50 VND",https://www.ebay.com/itm/176861645512,https://i.ebayimg.com/images/g/QRgAAOSwVzdnt4Cw/s-l140.jpg,"Sold  Feb 27, 2025"
2021 Topps MLS Soccer ROMAIN METANIRE Minnesota United Orange /25,"51,312.15 VND",https://www.ebay.com/itm/226559690150,https://i.ebayimg.com/images/g/l94AAOSw5DFnkQlU/s-l140.jpg,"Sold  Jan 27, 2025"
