Title,Price,Link,Image Link,Sold Date
2019-20 Topps Finest UCL Refractor Auto RYAN BABEL #FA-RB,"207,899.80 VND",https://www.ebay.com/itm/326489762066,https://i.ebayimg.com/images/g/~xQAAeSw0adn12Cf/s-l500.jpg,"Sold  Apr 4, 2025"
2019-20 Topps Finest UCL Refractor Auto RYAN BABEL #FA-RB,"208,160.00 VND",https://www.ebay.com/itm/375976531329,https://i.ebayimg.com/images/g/L1oAAOSwvX9npTa8/s-l140.jpg,"Sold  Feb 6, 2025"
RYAN BABEL 2019-20 TOPPS FINEST #FA-RB AUTO AUTOGRAPH UEFA CHAMPIONS LEAGUE,"77,355.00 VND",https://www.ebay.com/itm/356657077085,https://i.ebayimg.com/images/g/O-kAAOSwcVNnzzq4/s-l140.jpg,"Sold  Mar 18, 2025"
2019 Topps Finest UEFA Champions League Ryan Babel Auto Blue #/150,"59,305.50 VND",https://www.ebay.com/itm/376003641642,https://i.ebayimg.com/images/g/JokAAeSwDfZns6Y-/s-l140.jpg,"Sold  Feb 22, 2025"
Ryan Babel 2019-20 Topps Finest UEFA Soccer Auto #FA-RB [dbE80,"161,156.25 VND",https://www.ebay.com/itm/375970486166,https://i.ebayimg.com/images/g/-P8AAOSwb6tnoZTN/s-l140.jpg,"Sold  Feb 8, 2025"
2019-20 Topps Champions League Museum Autograph Auto Card : Ryan Babel #09/75,"373,882.50 VND",https://www.ebay.com/itm/355989040934,https://i.ebayimg.com/images/g/ZZEAAOSwiL1mzZJY/s-l140.jpg,"Sold  Jan 15, 2025"
DW354 Ryan Babel EURO 2020 Panini Select UEFA RED Prizm /165 Netherlands,"70,908.75 VND",https://www.ebay.com/itm/186860461848,https://i.ebayimg.com/images/g/PwYAAOSwhU1keq7P/s-l140.jpg,"Sold  Jan 10, 2025"
2019-20 Topps Finest UCL Finest Auto Blue Refractor #FA-RB Ryan Babel /150 ,"260,200.00 VND",https://www.ebay.com/itm/405582664990,https://i.ebayimg.com/images/g/b2QAAeSw~~pnvo3s/s-l500.jpg,"Sold  Apr 4, 2025"
2019-20 Topps Crystal UCL Ryan Babel #97,"36,428.00 VND to 81,442.60 VND",https://www.ebay.com/itm/335733253486,https://i.ebayimg.com/images/g/FvoAAOSwRrBnYOZH/s-l140.jpg,"Sold  Jan 24, 2025"
RYAN BABEL 2020 TOPPS FINEST BLUE REFRACTOR #FA-RB SP AUTO AUTOGRAPH #130/150,"104,080.00 VND",https://www.ebay.com/itm/396141082070,https://i.ebayimg.com/images/g/yf4AAOSwXfxnjKAi/s-l140.jpg,"Sold  Jan 28, 2025"
"Ryan Babel, Ajax Amsterdam, AK 2012/13 *NIEDERLANDE*DRUCK!","28,489.30 VND",https://www.ebay.com/itm/205386996084,https://i.ebayimg.com/images/g/764AAOSwcGNn3w8m/s-l140.jpg,"Sold  Apr 6, 2025"
Signed Ryan Babel Nike Boot - Liverpool Fc.,"666,819.22 VND",https://www.ebay.com/itm/135624715833,https://i.ebayimg.com/images/g/1LIAAOSwCodmCFIK/s-l140.jpg,"Sold  Mar 23, 2025"
Ryan Babel Signed  Anfield Road Sign,"333,576.40 VND",https://www.ebay.com/itm/135625092634,https://i.ebayimg.com/images/g/kGoAAOSwAJ9l~1rE/s-l140.jpg,"Sold  Mar 23, 2025"
2019-20 Topps Finest Ryan Babel Autograph Refractor Galatasaray S.K. Netherlands,"84,565.00 VND",https://www.ebay.com/itm/365437955163,https://i.ebayimg.com/images/g/YoYAAOSwzIxnxmiB/s-l140.jpg,"Sold  Mar 8, 2025"
"2010 Corinthian Microstars - Ryan Babel - Mini Figure Toy 2"" MC12508 Green LFC","333,242.82 VND",https://www.ebay.com/itm/266806262180,https://i.ebayimg.com/images/g/imIAAOSwOLljLh5h/s-l140.jpg,"Sold  Feb 4, 2025"
