Title,Price,Link,Image Link,Sold Date
Salomon Rondon - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/297052424738,https://i.ebayimg.com/images/g/ShkAAeSwm5tnu~tJ/s-l140.jpg,"Sold  Feb 26, 2025"
Salomon Rondon - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/297037497976,https://i.ebayimg.com/images/g/AuoAAeSw0GZntrMo/s-l140.jpg,"Sold  Feb 22, 2025"
Salomon Rondon - 2023-24 Panini Immaculate Soccer 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/297023257115,https://i.ebayimg.com/images/g/ReQAAeSwZIdnsW3O/s-l140.jpg,"Sold  Feb 18, 2025"
2018 Topps Now PL Premier League #153 Salomon Rondon West Bromwich Albion,"180,237.15 VND",https://www.ebay.com/itm/325520163965,https://i.ebayimg.com/images/g/4FkAAOSwzx1jCl1F/s-l140.jpg,"Sold  Feb 7, 2025"
2015 Topps Premier Gold Purple /50 Salomon Rondon West Bromwich Albion,"227,629.49 VND",https://www.ebay.com/itm/256814930031,https://i.ebayimg.com/images/g/q0gAAOSwIGVnrPfZ/s-l140.jpg,"Sold  Feb 12, 2025"
2023-24 SALOMON RONDON 4/25 AUTO PANINI PRIZM PREMIER LEAGUE PURPLE AUTOGRAPHS,"644,367.15 VND",https://www.ebay.com/itm/156641264512,https://i.ebayimg.com/images/g/8qQAAOSw0pxniM8p/s-l140.jpg,"Sold  Jan 23, 2025"
2023-24 SALOMON RONDON AUTO PANINI PRIZM PREMIER LEAGUE CHOICE SILVER AUTOGRAPHS,"233,919.80 VND",https://www.ebay.com/itm/156139565242,https://i.ebayimg.com/images/g/EVQAAOSw4vBmAh-U/s-l500.jpg,"Sold  Apr 7, 2025"
SALOMON RONDON 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PYP BREAK 2104,"51,779.80 VND",https://www.ebay.com/itm/356743191396,https://i.ebayimg.com/images/g/xJ0AAOSwAzFn6pGz/s-l140.jpg,"Sold  Apr 6, 2025"
SALOMON RONDON 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PYP BREAK 2096,"51,779.80 VND",https://www.ebay.com/itm/356717961912,https://i.ebayimg.com/images/g/igkAAOSw6yNn5yEJ/s-l140.jpg,"Sold  Apr 2, 2025"
SALOMON RONDON 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PYP BREAK 2072,"65,050.00 VND",https://www.ebay.com/itm/356679578836,https://i.ebayimg.com/images/g/830AAOSw415n2GkH/s-l140.jpg,"Sold  Mar 22, 2025"
SALOMON RONDON 2023-24 IMMACULATE SOCCER - 1x Case 6x Hobby Box - PYP BREAK 2053,"78,060.00 VND",https://www.ebay.com/itm/356675909190,https://i.ebayimg.com/images/g/AQoAAOSwRkFnzupg/s-l140.jpg,"Sold  Mar 16, 2025"
