Title,Price,Link,Image Link,Sold Date
SAMUEL CHUKWUEZE 2024-25 Donruss Optic FIFA RED Prizm /299 Nigeria * gm,"25,527.15 VND",https://www.ebay.com/itm/167307153866,https://i.ebayimg.com/images/g/rG4AAOSwQadnqntd/s-l140.jpg,"Sold  Feb 17, 2025"
SAMUEL CHUKWUEZE 2024-25 Donruss Optic FIFA RED Prizm /299 Nigeria *gm,"25,527.15 VND",https://www.ebay.com/itm/156689895948,https://i.ebayimg.com/images/g/HOoAAOSwtFRnqnr2/s-l140.jpg,"Sold  Feb 17, 2025"
2023-24 Topps Merlin UEFA #3 Samuel Chukwueze Milan Red 1/5!,"477,022.50 VND",https://www.ebay.com/itm/167373439815,https://i.ebayimg.com/images/g/9N4AAeSwx0Fn0lTt/s-l140.jpg,"Sold  Mar 17, 2025"
2023-24 Topps Merlin UEFA #3 Samuel Chukwueze AC Milan Green Mojo 15/99,"33,262.65 VND",https://www.ebay.com/itm/235964415841,https://i.ebayimg.com/images/g/E2cAAOSwye9ntM0N/s-l140.jpg,"Sold  Feb 25, 2025"
2023-24 Topps Merlin UEFA Sapphire #3 Samuel Chukwueze Milan Gold 13/50,"32,231.25 VND",https://www.ebay.com/itm/235964415833,https://i.ebayimg.com/images/g/170AAOSwTYJntM0K/s-l140.jpg,"Sold  Feb 25, 2025"
Samuel Chukwueze 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"26,816.40 VND",https://www.ebay.com/itm/167287149958,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Samuel Chukwueze 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"80,191.35 VND",https://www.ebay.com/itm/167284758449,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Topps Chrome Merlin UEFA Samuel Chukwueze Pink Mojo Refractor #10/275,"51,570.00 VND",https://www.ebay.com/itm/126911504707,https://i.ebayimg.com/images/g/TB4AAOSwyHpnm-Bu/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Topps Chrome Merlin UEFA Samuel Chukwueze Green Mojo Refractor #66/99 #3,"32,231.25 VND",https://www.ebay.com/itm/126876746625,https://i.ebayimg.com/images/g/absAAOSw-cdngYWH/s-l140.jpg,"Sold  Jan 15, 2025"
Samuel Chukwueze - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #8,"64,204.65 VND",https://www.ebay.com/itm/296972428641,https://i.ebayimg.com/images/g/m0QAAOSwU6RnmbMz/s-l140.jpg,"Sold  Jan 31, 2025"
Samuel Chukwueze - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/226555476873,https://i.ebayimg.com/images/g/BkYAAOSw~YBnjc9j/s-l140.jpg,"Sold  Jan 22, 2025"
2023-24 Panini Obsidian - Atomic Material Samuel Chukwueze #AM-SC /199 (MEM),"112,666.60 VND",https://www.ebay.com/itm/127028110905,https://i.ebayimg.com/images/g/SBgAAeSw1u9n7Jb7/s-l500.jpg,"Sold  Apr 8, 2025"
2023-24 Panini Obsidian - Atomic Material Samuel Chukwueze #AM-SC /199 (MEM),"25,759.80 VND",https://www.ebay.com/itm/405685419262,https://i.ebayimg.com/images/g/ZOoAAeSw2Mxn3xbq/s-l140.jpg,"Sold  Mar 29, 2025"
2024-25 Panini Donruss Optic Samuel Chukwueze Red Prizm 166/299 #166 KT01,"7,806.00 VND",https://www.ebay.com/itm/396296219294,https://i.ebayimg.com/images/g/Lf4AAOSwlUBnr5j6/s-l140.jpg,"Sold  Mar 17, 2025"
2024-25 Panini Donruss Samuel Chukwueze Blue 47/49 #166 KT01,"3,903.00 VND",https://www.ebay.com/itm/396245860945,https://i.ebayimg.com/images/g/GWsAAOSwKgBnvd6i/s-l140.jpg,"Sold  Mar 4, 2025"
2023-24 Panini Select Serie A Samuel Chukwueze Camo Prizm /30,"51,312.15 VND",https://www.ebay.com/itm/276970230238,https://i.ebayimg.com/images/g/BjcAAOSwnI5n3z~8/s-l140.jpg,"Sold  Mar 29, 2025"
2019-20 Panini Chronicles La Liga Fuego Samuel Chukwueze Rookie RC Case Hit,"373,882.50 VND",https://www.ebay.com/itm/297125548538,https://i.ebayimg.com/images/g/rCwAAOSwuUpnkuNB/s-l140.jpg,"Sold  Mar 22, 2025"
