Title,Price,Link,Image Link,Sold Date
2010 Panini World Cup Samuel Eto'o #62 WC Metallic Finish SP,"508,218.33 VND",https://www.ebay.com/itm/286099406992,https://i.ebayimg.com/images/g/BT0AAOSwpjlnBkpD/s-l140.jpg,"Sold  Mar 12, 2025"
2010 Panini World Cup Samuel Eto'o #62 WC Metallic finish SP,"451,237.50 VND",https://www.ebay.com/itm/185010452800,https://i.ebayimg.com/images/g/zIAAAOSwc81hIYFB/s-l140.jpg,"Sold  Feb 11, 2025"
2014 Panini Prizm World Cup #40 Samuel Eto'o NM-MT,"123,768.00 VND",https://www.ebay.com/itm/274483768043,https://i.ebayimg.com/images/g/vAwAAOSwrmBfUrnu/s-l140.jpg,"Sold  Oct 18, 2020"
2014 Panini Prizm World Cup Samuel Eto'o #40,"25,527.15 VND",https://www.ebay.com/itm/256833775574,https://i.ebayimg.com/images/g/614AAeSw9EdnvyHJ/s-l140.jpg,"Sold  Mar 10, 2025"
2014 Panini Prizm World Cup Stars Yellow & Red Pulsar Prizm Samuel Eto'o #9,"58,016.25 VND",https://www.ebay.com/itm/256854876011,https://i.ebayimg.com/images/g/yWAAAeSwCWRn0hJp/s-l140.jpg,"Sold  Mar 21, 2025"
2014 Panini Prizm World Cup Stars Blue & Red Blue Wave Prizm Samuel Eto'o #9,"25,527.15 VND",https://www.ebay.com/itm/235945264196,https://i.ebayimg.com/images/g/NBEAAeSwF3dno~ku/s-l140.jpg,"Sold  Feb 13, 2025"
2014 Panini Prizm World Cup Captains Blue & Red Wave Prizm Samuel Eto'o #26,"58,016.25 VND",https://www.ebay.com/itm/235914218161,https://i.ebayimg.com/images/g/FgAAAOSweQVnhsyf/s-l140.jpg,"Sold  Jan 22, 2025"
2014 Panini Prizm World Cup Captains Red White & Blue Power Plaid Samuel Eto'o,"25,527.15 VND",https://www.ebay.com/itm/256846199034,https://i.ebayimg.com/images/g/cHQAAeSw-6BnyjRo/s-l140.jpg,"Sold  Mar 14, 2025"
2014 Prizm World Cup Captains Red White & Blue Power Plaid Prizm Samuel Eto'o,"32,231.25 VND",https://www.ebay.com/itm/335842957606,https://i.ebayimg.com/images/g/aR0AAeSwkJlnxkCc/s-l140.jpg,"Sold  Mar 11, 2025"
Samuel Eto'o CHAMPION Panini Champions League 2009-2010 Super Strikes Adrenalyn,"183,625.30 VND",https://www.ebay.com/itm/396338507312,https://i.ebayimg.com/images/g/-kgAAOSwrlBm~qeK/s-l140.jpg,"Sold  Mar 31, 2025"
SAMUEL ETO'O BARCELONA FC SOCCER ORIGINAL HAND SIGNED PHOTO CERTIFICATE 8X10 COA,"296,625.48 VND",https://www.ebay.com/itm/267199203059,https://i.ebayimg.com/images/g/e68AAOSwww9nlBAm/s-l140.jpg,"Sold  Mar 31, 2025"
Topps UCL Deco Champions League 2023/24 Samuel Eto'o Marcus Thuram,"84,467.64 VND",https://www.ebay.com/itm/235510950815,https://i.ebayimg.com/images/g/-3IAAOSwTnVmEwwt/s-l140.jpg,"Sold  Mar 25, 2025"
2021/22 Topps UCL Deco Champions League Legends Samuel Eto'o,"112,717.68 VND",https://www.ebay.com/itm/334442243203,https://i.ebayimg.com/images/g/Kd8AAOSw0wxigU5u/s-l140.jpg,"Sold  Mar 22, 2025"
