Title,Price,Link,Image Link,Sold Date
2023-24 Select Serie A Torino FC Samuele Ricci Field Level Silver,"35,067.60 VND",https://www.ebay.com/itm/226587386337,https://i.ebayimg.com/images/g/H-YAAOSwQytnpqzd/s-l140.jpg,"Sold  Feb 12, 2025"
2023-24 Select Serie A Torino FC Samuele Ricci Select Future,"6,446.25 VND",https://www.ebay.com/itm/226587385077,https://i.ebayimg.com/images/g/Z5oAAOSwn0ZnpqxG/s-l140.jpg,"Sold  Feb 12, 2025"
2023-24 Panini Select Serie A SAMUELE RICCI 17/25 Tie-Dye Prizm Field Level #239,"51,570.00 VND",https://www.ebay.com/itm/306204525475,https://i.ebayimg.com/images/g/LwkAAOSw8Wdn5QR0/s-l500.jpg,"Sold  Apr 4, 2025"
2023 Topps Pristine Road to UEFA Euro Samuele Ricci Gold /50 Italy,"181,341.87 VND",https://www.ebay.com/itm/326352744192,https://i.ebayimg.com/images/g/v7AAAOSwf39mZh7O/s-l140.jpg,"Sold  Mar 13, 2025"
SOCCER PANINI SELECT 23-24 SERIE A SAMUELE RICCI FIELD LEVEL WHITE SPARKLE,"249,218.47 VND",https://www.ebay.com/itm/306076082246,https://i.ebayimg.com/images/g/incAAOSwzNtnm-Xa/s-l140.jpg,"Sold  Mar 7, 2025"
2023-24 Select Serie A Select Future #20 Samuele Ricci,"128,925.00 VND",https://www.ebay.com/itm/316354538488,https://i.ebayimg.com/images/g/bacAAeSw6IVnuS6l/s-l140.jpg,"Sold  Feb 22, 2025"
2022-23 SAMUELE RICCI BOWMAN CHROME UEFA UNDER 21 #14 1ST REFRACTOR!!,"102,882.15 VND",https://www.ebay.com/itm/146406144025,https://i.ebayimg.com/images/g/VPcAAeSwtpBnuNcc/s-l140.jpg,"Sold  Feb 21, 2025"
2023-24 Panini Select Serie A Terrace Winter Camo Prizm /30 Samuele Ricci #80,"162,187.65 VND",https://www.ebay.com/itm/335674609821,https://i.ebayimg.com/images/g/uwQAAeSwJsJnrPDY/s-l140.jpg,"Sold  Jan 15, 2025"
SAMUELE RICCI 2022-23 BOWMAN CHROME UEFA PURPLE REFRACTOR 1ST RC AUTO ITALY /250,"412,302.15 VND",https://www.ebay.com/itm/186852915802,https://i.ebayimg.com/images/g/8UsAAOSwhPxnZtvX/s-l140.jpg,"Sold  Feb 5, 2025"
Samuele Ricci 2023-24 Panini Select Serie A #16 Visionary,"257,850.00 VND",https://www.ebay.com/itm/186875742563,https://i.ebayimg.com/images/g/zFgAAOSw8pxneefo/s-l140.jpg,"Sold  Jan 8, 2025"
