Title,Price,Link,Image Link,Sold Date
TOPPS CHROME SAPPHIRE WOMENS CL 23/24 SANDIE TOLETTI REAL MADRID GOLD  9/50.,"89,064.90 VND",https://www.ebay.com/itm/156765049787,https://i.ebayimg.com/images/g/pKYAAOSwkGFnyH84/s-l140.jpg,"Sold  Mar 16, 2025"
TOPPS CHROME WOMENS CL 23/24 SANDIE TOLETTI REAL MADRID PARALLEL 71/199,"33,024.06 VND",https://www.ebay.com/itm/156646599599,https://i.ebayimg.com/images/g/xpcAAOSwlLBnjn7V/s-l140.jpg,"Sold  Feb 2, 2025"
2023-24 Topps Chrome UEFA Womens CL Sandie Toletti Orange Refractor 13/25 Rookie,"102,882.15 VND",https://www.ebay.com/itm/306197898567,https://i.ebayimg.com/images/g/MJcAAeSw171n1UqL/s-l140.jpg,"Sold  Mar 30, 2025"
Sandie Toletti 2023 Women's World Cup #9 Panini Net Marvels Card France Rookie,"46,155.15 VND",https://www.ebay.com/itm/166561245887,https://i.ebayimg.com/images/g/oNMAAOSw7Odlo-8J/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Topps Chrome UEFA Women's Refractor Sandie Toletti Rookie,"50,280.75 VND",https://www.ebay.com/itm/387880647739,https://i.ebayimg.com/images/g/s8AAAOSwXgZnne5O/s-l140.jpg,"Sold  Feb 25, 2025"
2023/24 Topps Chrome UEFA WCL Sandie Toletti Rookie Card 13/50,"64,462.50 VND",https://www.ebay.com/itm/205305308744,https://i.ebayimg.com/images/g/ldgAAeSwFBBnq32L/s-l140.jpg,"Sold  Feb 22, 2025"
Womens Soccer Cards Lot Includes Numbered Sandie Toletti 120/150 Topps Chrome,"25,527.15 VND",https://www.ebay.com/itm/167307775063,https://i.ebayimg.com/images/g/4twAAOSwqUhnjzlv/s-l140.jpg,"Sold  Feb 17, 2025"
2023 Donruss FIFA Women's Net Marvels 9 Sandie Toletti - France,"12,892.50 VND",https://www.ebay.com/itm/296978017960,https://i.ebayimg.com/images/g/zPAAAOSwHoJngasW/s-l140.jpg,"Sold  Feb 7, 2025"
2023 Donruss Womens World Cup Sandie Toletti France RC Red 024/299 Net Marvels,"12,892.50 VND",https://www.ebay.com/itm/226526042802,https://i.ebayimg.com/images/g/xVUAAOSwlJ1naK2K/s-l140.jpg,"Sold  Jan 8, 2025"
SANDIE TOLETTI 2023-24 Topps Chrome UWCL Rookie TEAM COLOR MATCH /99 *dc,"25,759.80 VND",https://www.ebay.com/itm/156841107603,https://i.ebayimg.com/images/g/JRwAAeSwwBhn6Zn4/s-l500.jpg,"Sold  Apr 6, 2025"
2023-24 TOPPS CHROME UWCL WOMENS SAPPHIRE SANDIE TOLETTI RC ROOKIE INFERNO  /75,"51,779.80 VND",https://www.ebay.com/itm/365445719702,https://i.ebayimg.com/images/g/QnQAAOSwfcZnorAH/s-l140.jpg,"Sold  Mar 17, 2025"
SANDIE TOLETTI 2023 TOPPS CHROME SAPPHIRE ORANGE UWCL ROOKIE RC /25 Q0902,"65,050.00 VND",https://www.ebay.com/itm/276805941530,https://i.ebayimg.com/images/g/HUwAAOSwfb1nexn6/s-l140.jpg,"Sold  Jan 12, 2025"
2023-24 Topps Chrome Sandie Toletti Rookie RC Gold 10/50 France Real Madrid,"65,050.00 VND",https://www.ebay.com/itm/365483696316,https://i.ebayimg.com/images/g/RXgAAOSw1jln41lf/s-l140.jpg,"Sold  Mar 30, 2025"
TOPPS WOMENS SAPPHIRE 23/24 SANDIE TOLETTI REAL MADRID ROOKIE ORANGE 1/25.,"102,741.53 VND",https://www.ebay.com/itm/156791222037,https://i.ebayimg.com/images/g/ecMAAOSwFrNn1COs/s-l140.jpg,"Sold  Mar 23, 2025"
TOPPS WOMENS CHROME 23/24 SANDIE TOLETTI REAL MADRID BLUE MOJO REFRACTOR 216/250,"33,024.06 VND",https://www.ebay.com/itm/156646599524,https://i.ebayimg.com/images/g/254AAOSwySNnjoDL/s-l140.jpg,"Sold  Feb 2, 2025"
