Title,Price,Link,Image Link,Sold Date
2023-24 Panini Impeccable Premier League - Illustrious Ink Savo Milosevic Auto,"180,495.00 VND",https://www.ebay.com/itm/375999413480,https://i.ebayimg.com/images/g/bCYAAeSwYO1nsW7X/s-l140.jpg,"Sold  Mar 12, 2025"
2023-24 Panini Impeccable Premier League Auto Savo Milosevic #57/99,"257,850.00 VND",https://www.ebay.com/itm/356613526632,https://i.ebayimg.com/images/g/6uoAAOSwzGJntA40/s-l140.jpg,"Sold  Mar 3, 2025"
2006 Panini FIFA World Cup Germany Savo Milosevic #173,"34,809.75 VND to 35,841.15 VND",https://www.ebay.com/itm/335819320613,https://i.ebayimg.com/images/g/Zp0AAeSwZFpntN7h/s-l140.jpg,"Sold  Mar 1, 2025"
2006 Panini FIFA World Cup Germany Savo Milosevic - Serbia & Montenegro,"12,892.50 VND",https://www.ebay.com/itm/226577375189,https://i.ebayimg.com/images/g/dQgAAOSwOsxmtWNI/s-l140.jpg,"Sold  Feb 6, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Impeccable Stars Auto 30/99,"270,742.50 VND",https://www.ebay.com/itm/356730895262,https://i.ebayimg.com/images/g/PusAAOSw39hn57pX/s-l140.jpg,"Sold  Apr 7, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Impeccable Stars Auto 55/99,"107,007.75 VND",https://www.ebay.com/itm/376107235041,https://i.ebayimg.com/images/g/W3UAAOSwkKJnvHzq/s-l140.jpg,"Sold  Apr 5, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Impeccable Stars Autos 86/99,"167,602.50 VND",https://www.ebay.com/itm/376068813780,https://i.ebayimg.com/images/g/ysQAAOSwWeNn1Efc/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Impeccable Stars Autos 75/99,"154,710.00 VND",https://www.ebay.com/itm/376068813901,https://i.ebayimg.com/images/g/N0oAAOSwkGVn1EeF/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Impeccable Stars Auto 55/99,"83,801.25 VND",https://www.ebay.com/itm/376022422531,https://i.ebayimg.com/images/g/W3UAAOSwkKJnvHzq/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Impeccable Stars Auto 34/99,"77,355.00 VND",https://www.ebay.com/itm/376022422550,https://i.ebayimg.com/images/g/CaoAAOSwaipnvHxE/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Panini Impeccable #IS-SM Savo Milosevic Impeccable Stars #/99,"95,900.53 VND",https://www.ebay.com/itm/376081029777,https://i.ebayimg.com/images/g/wHAAAeSwkMtn21TL/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Panini Impeccable #IS-SM Savo Milosevic Impeccable Stars #/99 MM,"52,032.84 VND",https://www.ebay.com/itm/306157819221,https://i.ebayimg.com/images/g/z~0AAeSwGylnx8PH/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Illustrious Ink Autographs 94/99,"109,586.25 VND",https://www.ebay.com/itm/376068813811,https://i.ebayimg.com/images/g/sY4AAOSwSARn1FPG/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Illustrious Ink Autographs 93/99,"109,586.25 VND",https://www.ebay.com/itm/376068813946,https://i.ebayimg.com/images/g/0~EAAOSw2L5n1FOV/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Soccer Savo Milosevic Illustrious Ink Autographs 51/99,"141,817.50 VND",https://www.ebay.com/itm/376068813841,https://i.ebayimg.com/images/g/nNQAAOSwKbJn1FM-/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable P.L. Soccer Savo Milosevic Illustrious Ink Auto 39/99,"58,016.25 VND",https://www.ebay.com/itm/376022422574,https://i.ebayimg.com/images/g/RLEAAOSwjxtnvKQR/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Panini Impeccable P.L. Soccer Savo Milosevic Illustrious Ink Auto 28/99,"58,016.25 VND",https://www.ebay.com/itm/376022422560,https://i.ebayimg.com/images/g/AGAAAOSwYMdnvKPg/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Panini Impeccable P.L. Soccer Savo Milosevic Illustrious Ink Auto 27/99,"45,123.75 VND",https://www.ebay.com/itm/376022422579,https://i.ebayimg.com/images/g/qgwAAOSwYU1nvKOM/s-l140.jpg,"Sold  Mar 6, 2025"
2023 Panini Impeccable Savo Milosevic Illustrious Ink Ruby Auto #74/99,"221,170.00 VND",https://www.ebay.com/itm/126963916224,https://i.ebayimg.com/images/g/0xUAAeSwL6Jnv3Mx/s-l140.jpg,"Sold  Mar 3, 2025"
2023-24 Panini Impeccable Savo Milosevic Illustrious Ink Auto 45/99 Aston Villa,"259,939.80 VND",https://www.ebay.com/itm/196931086618,https://i.ebayimg.com/images/g/lyAAAOSwm3Rnezc~/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 SAVO MILOSEVIC 64/99 AUTO PANINI IMPECCABLE STARS PREMIER LEAGUE,"515,442.15 VND",https://www.ebay.com/itm/156703373489,https://i.ebayimg.com/images/g/6X0AAOSwrPFnrvLl/s-l140.jpg,"Sold  Mar 30, 2025"
2023-24 SAVO MILOSEVIC 21/99 AUTO PANINI IMPECCABLE STARS PREMIER LEAGUE,"520,139.80 VND",https://www.ebay.com/itm/156699054103,https://i.ebayimg.com/images/g/RrMAAOSw6HZnrVhK/s-l140.jpg,"Sold  Apr 6, 2025"
Free Shipping Panini 1998 France World Cup Card #91 Savo Milosevic Yugoslavia,"102,882.15 VND",https://www.ebay.com/itm/134990195639,https://i.ebayimg.com/images/g/LJwAAOSw3Ptl~vNp/s-l140.jpg,"Sold  Feb 26, 2025"
Panini 1998 France World Cup Card #91 Savo Milosevic Yugoslavia,"107,745.18 VND",https://www.ebay.com/itm/135625904705,https://i.ebayimg.com/images/g/LJwAAOSw3Ptl~vNp/s-l500.jpg,"Sold  Apr 7, 2025"
Corinthian Headliners - FAPL - Savo Milosevic - Aston Villa 1995/1996 - PL183,"83,394.10 VND",https://www.ebay.com/itm/135314784451,https://i.ebayimg.com/images/g/8HEAAOSwNM9kmqv5/s-l140.jpg,"Sold  Jan 27, 2025"
Corinthian Headliners - FAPL - Savo Milosevic - Aston Villa 1995/1996 - PL183 P,"266,861.12 VND",https://www.ebay.com/itm/135083005578,https://i.ebayimg.com/images/g/67AAAOSw4vJmWW3q/s-l140.jpg,"Sold  Jan 12, 2025"
savo milosevic 148/230  Champion FOIL 2001-02 Wizards Of The Coast Soccer Card,"270,742.50 VND",https://www.ebay.com/itm/286438275639,https://i.ebayimg.com/images/g/Y40AAeSwQaln446g/s-l500.jpg,"Sold  Apr 1, 2025"
2022-23 Chronicles Contenders La Liga #CA-SVO Savo Milosevic #297/299 Auto,"128,667.15 VND",https://www.ebay.com/itm/286422823847,https://i.ebayimg.com/images/g/QkYAAOSwzX5mq6-y/s-l140.jpg,"Sold  Mar 30, 2025"
