Title,Price,Link,Image Link,Sold Date
Sead Kolasinac 2022-23 Panini Immaculate Collection Soccer Modern Marks Auto /49,"99,272.25 VND",https://www.ebay.com/itm/376034819328,https://i.ebayimg.com/images/g/sVUAAOSw7qBnw8-X/s-l140.jpg,"Sold  Mar 6, 2025"
Sead Kolasinac 2022-23 Panini Immaculate Collection Excellence Auto 18/25[dbH98,"58,545.00 VND",https://www.ebay.com/itm/376042524108,https://i.ebayimg.com/images/g/gYcAAOSwChhnx7Oc/s-l140.jpg,"Sold  Mar 9, 2025"
2016 Select Sead Kolasinac Neon Green Mezzanine #23/60,"25,759.80 VND",https://www.ebay.com/itm/375976267641,https://i.ebayimg.com/images/g/hmkAAeSwVldnpR5t/s-l140.jpg,"Sold  Feb 11, 2025"
2016 Select Sead Kolasinac Neon Green Mezzanine #6/60,"32,525.00 VND",https://www.ebay.com/itm/126924964225,https://i.ebayimg.com/images/g/j0gAAeSwl6JnpR6a/s-l140.jpg,"Sold  Feb 11, 2025"
Sead Kolasinac 2022-23 Panini Immaculate Shadowbox Signatures Auto /99 Marseille,"260,200.00 VND",https://www.ebay.com/itm/256876176742,https://i.ebayimg.com/images/g/croAAOSwGmtn6BaZ/s-l140.jpg,"Sold  Apr 6, 2025"
Sead Kolasinac 2022-23 Panini Immaculate Spendid Signatures Auto /99 Marseille,"221,170.00 VND",https://www.ebay.com/itm/256839646694,https://i.ebayimg.com/images/g/1CEAAOSwaudnxBMV/s-l140.jpg,"Sold  Mar 9, 2025"
Sead Kolasinac 2022-23 Panini Immaculate Shadowbox Signatures Auto /49 Marseille,"182,140.00 VND",https://www.ebay.com/itm/256802786359,https://i.ebayimg.com/images/g/a6sAAOSwww9nn1Ox/s-l140.jpg,"Sold  Feb 9, 2025"
Sead Kolasinac  2020-21 Panini Immaculate Collection Excellence Auto Red /8,"351,270.00 VND",https://www.ebay.com/itm/256795523685,https://i.ebayimg.com/images/g/VdwAAOSwPt5nf3XT/s-l140.jpg,"Sold  Feb 2, 2025"
Sead Kolasinac  2020-21 Panini Immaculate Collection Excellence Auto Red /8,"404,090.60 VND",https://www.ebay.com/itm/256780670209,https://i.ebayimg.com/images/g/VdwAAOSwPt5nf3XT/s-l140.jpg,"Sold  Jan 19, 2025"
2022-23 Panini Immaculate Soccer Sead Kolasinac Elegant Ink Auto 27/99 #EI-SEK,"696,195.00 VND",https://www.ebay.com/itm/305147538053,https://i.ebayimg.com/images/g/ACMAAOSw4cRlCZ28/s-l140.jpg,"Sold  Apr 1, 2025"
