Title,Price,Link,Image Link,Sold Date
SEBASTIAN DRIUSSI - 2024 Topps Finest MLS Soccer 8 Hobby Box 1 Case Break,"128,925.00 VND",https://www.ebay.com/itm/236031077980,https://i.ebayimg.com/images/g/Q2AAAOSwn5Vn6xd2/s-l140.jpg,"Sold  Apr 6, 2025"
SEBASTIAN DRIUSSI - 2024 Topps Finest MLS Soccer 8 Hobby Box 1 Case Break,"77,097.15 VND",https://www.ebay.com/itm/236030873694,https://i.ebayimg.com/images/g/KicAAOSwkgNn6vlF/s-l140.jpg,"Sold  Apr 5, 2025"
SEBASTIAN DRIUSSI - 2024 Topps Finest MLS Soccer 8 Hobby Box 1 Case Break,"77,799.80 VND",https://www.ebay.com/itm/236033813639,https://i.ebayimg.com/images/g/CxsAAOSwOztn7SzY/s-l140.jpg,"Sold  Apr 7, 2025"
Sebastian Driussi AUST 2024 Topps FINEST MLS 3 Case (24 Box) Player Break #2,"313,020.60 VND",https://www.ebay.com/itm/167423311444,https://i.ebayimg.com/images/g/iQ8AAOSwEF5n7E2Q/s-l500.jpg,"Sold  Apr 9, 2025"
Sebastian Driussi AUST 2024 Topps FINEST MLS 3 Case (24 Box) Player Break #1,"494,380.00 VND",https://www.ebay.com/itm/167421254957,https://i.ebayimg.com/images/g/iQ8AAOSwEF5n7E2Q/s-l140.jpg,"Sold  Apr 6, 2025"
2024 Topps Finest MLS Sebastian Driussi /99 Aqua Refractor Common #74,"52,040.00 VND",https://www.ebay.com/itm/156853080933,https://i.ebayimg.com/images/g/iI0AAOSwMF9n72C4/s-l500.jpg,"Sold  Apr 9, 2025"
2024 Topps Finest MLS Sebastian Driussi Green Refractor /125 #74 Common,"129,839.80 VND",https://www.ebay.com/itm/316603557654,https://i.ebayimg.com/images/g/9QkAAOSw2gJn8Kvl/s-l140.jpg,"Sold  Apr 4, 2025"
Sebastian Driussi - 2024 Topps Finest MLS Hobby - 1X Case Player BREAK #4,"64,789.80 VND",https://www.ebay.com/itm/236037073635,https://i.ebayimg.com/images/g/8SUAAeSwI2Jn7045/s-l140.jpg,"Sold  Apr 8, 2025"
Sebastian Driussi - 2024 Topps Finest MLS Hobby - 1X Case Player BREAK #3,"64,789.80 VND",https://www.ebay.com/itm/226679641720,https://i.ebayimg.com/images/g/fMwAAeSwbi9n7fy7/s-l140.jpg,"Sold  Apr 7, 2025"
Sebastian Driussi - 2024 Topps Finest MLS Hobby - 1X Case Player BREAK #2,"64,789.80 VND",https://www.ebay.com/itm/236033142117,https://i.ebayimg.com/images/g/Zl4AAeSwyMdn7LI5/s-l140.jpg,"Sold  Apr 6, 2025"
Sebastian Driussi - 2024 Topps Finest MLS Hobby - 1X Case Player BREAK #1,"104,080.00 VND",https://www.ebay.com/itm/297168994340,https://i.ebayimg.com/images/g/e4EAAeSwiBpn62jC/s-l140.jpg,"Sold  Apr 5, 2025"
2024 Topps Chrome MLS Sebastian Driussi Gold Refractor Auto /50 CA-SD Austin FC,"286,220.00 VND",https://www.ebay.com/itm/405705160800,https://i.ebayimg.com/images/g/Eo0AAOSwVRxn5iOH/s-l140.jpg,"Sold  Apr 7, 2025"
2024 Topps Chrome MLS Sebastian Driussi Purple Refractor /199 FC Austin,"38,769.80 VND",https://www.ebay.com/itm/306171861730,https://i.ebayimg.com/images/g/t9AAAeSwJBpnz2b6/s-l140.jpg,"Sold  Apr 3, 2025"
2024 Topps Chrome MLS Sebastian Driussi Green Refractor Auto /99 #CA-SD,"259,939.80 VND",https://www.ebay.com/itm/316593516584,https://i.ebayimg.com/images/g/k-EAAOSwYr9n7gQH/s-l140.jpg,"Sold  Apr 3, 2025"
2024 Topps Chrome MLS Sebastian Driussi Purple Refractor /199 #194 Austin FC,"51,779.80 VND",https://www.ebay.com/itm/387840117736,https://i.ebayimg.com/images/g/JYkAAOSwuphnjWBI/s-l140.jpg,"Sold  Mar 29, 2025"
2024 Topps Chrome MLS Sebastian Driussi Gold Refractor #41/50,"25,759.80 VND",https://www.ebay.com/itm/126938054380,https://i.ebayimg.com/images/g/ciIAAeSwzRFnrQ34/s-l140.jpg,"Sold  Feb 17, 2025"
2024 Topps Chrome MLS Sebastian Driussi Black Refractor Auto #02/10 Austin FC,"1,118,860.00 VND",https://www.ebay.com/itm/375969334349,https://i.ebayimg.com/images/g/tsYAAeSwTxBnoR0m/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Topps Chrome MLS Sebastian Driussi Rose Gold Refractor /250 FC Austin,"25,759.80 VND",https://www.ebay.com/itm/226580396998,https://i.ebayimg.com/images/g/cV0AAOSweM5noRsD/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Topps Chrome MLS Sebastian Driussi Purple Refractor /199 FC Austin,"25,759.80 VND",https://www.ebay.com/itm/226580395625,https://i.ebayimg.com/images/g/WMsAAOSwnGxnoRrQ/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Topps Chrome MLS Sebastian Driussi Auto #CA-SD Austin FC,"51,779.80 VND",https://www.ebay.com/itm/226580386051,https://i.ebayimg.com/images/g/gYwAAOSw18RnoRiX/s-l140.jpg,"Sold  Feb 8, 2025"
2024 Topps Chrome MLS CA-SD Sebastian Driussi Gold Auto 40/50 Austin,"25,759.80 VND",https://www.ebay.com/itm/235927189582,https://i.ebayimg.com/images/g/BH8AAOSwf9hnkosy/s-l140.jpg,"Sold  Feb 1, 2025"
Topps Chrome MLS Sebastian Driussi Blue Refractor /150 Austin FC,"51,779.80 VND",https://www.ebay.com/itm/267127110807,https://i.ebayimg.com/images/g/bjcAAOSwNSlndyDC/s-l140.jpg,"Sold  Jan 23, 2025"
Orange #1/5 ~ 2024 Topps NOW MLS Sebastian Driussi #57 ~ Austin FC,"259,939.80 VND",https://www.ebay.com/itm/176968550669,https://i.ebayimg.com/images/g/xUwAAeSwqlhnv0vG/s-l140.jpg,"Sold  Apr 6, 2025"
Orange #3/5 ~ 2024 Topps NOW MLS Sebastian Driussi #57 ~ Austin FC,"598,460.00 VND",https://www.ebay.com/itm/176968550679,https://i.ebayimg.com/images/g/ZzoAAeSw1vZnv0uP/s-l140.jpg,"Sold  Apr 6, 2025"
Red #06/10 ~ 2024 Topps NOW MLS Sebastian Driussi #57 ~ Austin FC,"259,939.80 VND",https://www.ebay.com/itm/176968523371,https://i.ebayimg.com/images/g/RzYAAeSwHGNns6~I/s-l140.jpg,"Sold  Apr 6, 2025"
Purple #02/25 ~ 2024 Topps NOW MLS Sebastian Driussi #57 ~ Austin FC,"416,320.00 VND",https://www.ebay.com/itm/176968495563,https://i.ebayimg.com/images/g/sS8AAeSw63JnzsQL/s-l140.jpg,"Sold  Apr 6, 2025"
