Title,Price,Link,Image Link,Sold Date
Sergio Arribas 2021 Panini Immaculate Collection Soccer RC 25/49[dbH66,"103,913.55 VND",https://www.ebay.com/itm/376056261988,https://i.ebayimg.com/images/g/Zl4AAOSwo0lnvmkP/s-l140.jpg,"Sold  Mar 14, 2025"
Sergio Arribas 2021 Panini Immaculate Collection Soccer RC 44/80[dbH66,"32,231.25 VND",https://www.ebay.com/itm/376024295751,https://i.ebayimg.com/images/g/LnwAAOSwDHFnvm44/s-l140.jpg,"Sold  Mar 2, 2025"
Sergio Arribas 2021 Panini Immaculate Collection Soccer RC 25/49[dbH66,"25,785.00 VND",https://www.ebay.com/itm/376024266829,https://i.ebayimg.com/images/g/Zl4AAOSwo0lnvmkP/s-l140.jpg,"Sold  Mar 2, 2025"
2020 Topps Stadium Club Chrome Gold Refractor #85 Sergio Arribas /50 Real Madrid,"390,039.80 VND",https://www.ebay.com/itm/405486062382,https://i.ebayimg.com/images/g/i9UAAOSwq81ni63u/s-l140.jpg,"Sold  Mar 17, 2025"
2020 Topps Stadium Club Chrome UCL Orange  23/25 Sergio Arribas  RC Real Madrid,"205,558.00 VND",https://www.ebay.com/itm/286351385851,https://i.ebayimg.com/images/g/n6gAAOSw3E1nn5l7/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Panini Select La Liga Sergio Arribas Tie-Dye /30 Almeria,"169,217.78 VND",https://www.ebay.com/itm/405326076691,https://i.ebayimg.com/images/g/~CcAAOSwl1ZnKB~T/s-l500.jpg,"Sold  Mar 15, 2025"
2020-21 TOPPS CHROME UEFA STEVE AOKI SERGIO ARRIBAS RC SINGULARITY INSERT #S-SA,"25,527.15 VND",https://www.ebay.com/itm/356704595060,https://i.ebayimg.com/images/g/B4gAAeSwQUhnvH5K/s-l140.jpg,"Sold  Mar 26, 2025"
2023 Select La Liga Sergio Arribas Winter Camo /99 #82 UD Almeria,"77,355.00 VND",https://www.ebay.com/itm/196502146548,https://i.ebayimg.com/images/g/kUMAAOSwby9mlF64/s-l140.jpg,"Sold  Mar 19, 2025"
Sergio Arribas 2023-24 Panini Select La Liga Soccer Terrace Winter Camo 23/99,"25,785.00 VND",https://www.ebay.com/itm/376037539008,https://i.ebayimg.com/images/g/0REAAOSw-rBnxT~T/s-l140.jpg,"Sold  Mar 7, 2025"
PANINI SELECT LA LIGA SOCCER 23/24 SERGIO ARRIBAS UD ALMERIA UNSTOPPABLE 07/10.,"32,896.84 VND",https://www.ebay.com/itm/156607529585,https://i.ebayimg.com/images/g/QpMAAOSwZ9NncDIN/s-l140.jpg,"Sold  Jan 24, 2025"
2023-24 Panini Select La Liga Sergio Arribas #20 Unstoppable 1/1 Black PSA 10,"5,156,742.15 VND",https://www.ebay.com/itm/315648756111,https://i.ebayimg.com/images/g/LgMAAOSwJalmtk~7/s-l140.jpg,"Sold  Jan 19, 2025"
2021-22 Topps C19 Match Attax Champions League Next Gen RC #239 Sergio Arribas,"56,217.59 VND",https://www.ebay.com/itm/255122494539,https://i.ebayimg.com/images/g/BqQAAOSwCWBhNIl2/s-l500.jpg,"Sold  Feb 14, 2022"
2021 Immaculate Sergio Arribas Rookie Card RC #30/80 Real Madrid,"53,080.80 VND",https://www.ebay.com/itm/376020864204,https://i.ebayimg.com/images/g/s5cAAeSw4opnvLU6/s-l140.jpg,"Sold  Mar 1, 2025"
Sergio Arribas 2021 Topps Match Attax Real Madrid CF #239 Holo,"62,187.80 VND",https://www.ebay.com/itm/235462962251,https://i.ebayimg.com/images/g/LKAAAOSw2jhl6ME9/s-l140.jpg,"Sold  Feb 12, 2025"
