Title,Price,Link,Image Link,Sold Date
SERGIO GOMEZ #284 REAL SOCIETY 2024-25 CHROME PANINI ADRENALYN XL LA LIGA 24/25,"42,092.57 VND",https://www.ebay.com/itm/235932649011,https://i.ebayimg.com/images/g/2k4AAOSwewVnl8sc/s-l140.jpg,"Sold  Mar 10, 2025"
SERGIO GOMEZ #462 SUPER CRACK 2024-25 CHROME PANINI ADRENALYN XL LA LIGA 24/25,"84,467.64 VND",https://www.ebay.com/itm/235914969188,https://i.ebayimg.com/images/g/RuQAAOSwD9lnh4nf/s-l140.jpg,"Sold  Jan 19, 2025"
2023-24 Daka Manchester City Team Sergio Gomez Purple Holocene 75/75 #16 KT01,"7,806.00 VND",https://www.ebay.com/itm/396332384223,https://i.ebayimg.com/images/g/8W8AAOSwwCxnr526/s-l140.jpg,"Sold  Mar 26, 2025"
2023-24 Daka Manchester City Team Set Sergio Gomez Gold Holocene 10/10 #16 KT01,"3,903.00 VND",https://www.ebay.com/itm/396211163700,https://i.ebayimg.com/images/g/QC8AAOSwyiVnr5oo/s-l140.jpg,"Sold  Feb 23, 2025"
2023-24 DAKA Manchester City Holocene Phonograph Sergio Gomez /10 Silver CGC 10,"185,180.44 VND",https://www.ebay.com/itm/286273064692,https://i.ebayimg.com/images/g/8WgAAOSwXFlnjRCT/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 DAKA Manchester City Holocene Sergio Gomez /199 Silver,"28,489.30 VND",https://www.ebay.com/itm/286249063988,https://i.ebayimg.com/images/g/Yj0AAOSw~45nepMm/s-l140.jpg,"Sold  Jan 12, 2025"
Camp Slaughter By Sergio Gomez,"358,555.60 VND",https://www.ebay.com/itm/335229442141,https://i.ebayimg.com/images/g/hvwAAOSw0~hltH42/s-l500.jpg,"Sold  Sep 21, 2024"
"Referee Magazine March 20, 1965 Joey Olguin vs Sergio Gomez cover.  Cassius Clay","312,240.00 VND",https://www.ebay.com/itm/294826688062,https://i.ebayimg.com/images/g/bqoAAOSwXm9gVkPN/s-l500.jpg,"Sold  Mar 17, 2025"
Sergio Gomez 2010 Leaf MMA UFC Red Autograph Auto A Card #AU-SG1,"87,687.40 VND",https://www.ebay.com/itm/296577999270,https://i.ebayimg.com/images/g/WEcAAOSw0fNmmdda/s-l140.jpg,"Sold  Feb 18, 2025"
Sergio Gomez 2010 Leaf MMA Auto Autograph Red Parallel SP #AV-SG1,"77,799.80 VND",https://www.ebay.com/itm/305472133019,https://i.ebayimg.com/images/g/S1oAAOSwCb1kaX5A/s-l140.jpg,"Sold  Feb 3, 2025"
2010 Leaf MMA Set Break Showdowns Autos /199 Dave Herman Sergio Gomez DH2/SG1,"84,565.00 VND",https://www.ebay.com/itm/256777081993,https://i.ebayimg.com/images/g/GCgAAOSwBepnfw90/s-l140.jpg,"Sold  Jan 19, 2025"
2010 Leaf MMA - Sergio Gomez - Autograph,"25,759.80 VND",https://www.ebay.com/itm/156632284756,https://i.ebayimg.com/images/g/Z3AAAOSwdn9mvhp1/s-l140.jpg,"Sold  Jan 18, 2025"
Sergio Gomez 2023-24 Topps Manchester City Team Set 74/99 [du42,"26,020.00 VND",https://www.ebay.com/itm/376134435039,https://i.ebayimg.com/images/g/CxIAAOSw6w5n8I7A/s-l140.jpg,"Sold  Apr 9, 2025"
2023-24 DAKA Manchester City Holocene SERGIO GOMEZ Jersey B Patch /50 CGC 9,"270,648.33 VND",https://www.ebay.com/itm/335863206557,https://i.ebayimg.com/images/g/HpkAAOSwELhn1Yhq/s-l140.jpg,"Sold  Mar 23, 2025"
ADRENALYN XL 2024-25 CARD NEW MASTER 11 SERGIO GOMEZ REAL SOCIÉTÉ PANINI,"70,938.35 VND",https://www.ebay.com/itm/226545864138,https://i.ebayimg.com/images/g/mZ4AAOSwnVNnh6Hw/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 DAKA Manchester City Holocene Sergio Gomez /99 Purple,"28,489.30 VND",https://www.ebay.com/itm/286271413894,https://i.ebayimg.com/images/g/Ps0AAOSw1EJni43V/s-l140.jpg,"Sold  Jan 25, 2025"
