Title,Price,Link,Image Link,Sold Date
Panini Obsidian Soccer 2023 24 Autograph Auto Shaun Goater Man City To 99,"240,125.39 VND",https://www.ebay.com/itm/388151388509,https://i.ebayimg.com/images/g/mKkAAeSwda5n4yjy/s-l500.jpg,"Sold  Apr 2, 2025"
Panini Obsidian Soccer 2023 24 Autograph Auto Shaun Goater Man City To /99,"185,037.80 VND",https://www.ebay.com/itm/388151385274,https://i.ebayimg.com/images/g/cjcAAeSwvJFn4ykX/s-l140.jpg,"Sold  Apr 2, 2025"
Panini Obsidian Soccer 2023 24 Autograph Auto Shaun Goater Man City To 50,"299,732.99 VND",https://www.ebay.com/itm/388014000466,https://i.ebayimg.com/images/g/2VgAAeSwGqBnwiI5/s-l140.jpg,"Sold  Mar 7, 2025"
Panini Obsidian Soccer 2023 24 Autograph Auto Shaun Goater Man City To 199,"579,125.94 VND",https://www.ebay.com/itm/387954244498,https://i.ebayimg.com/images/g/KAMAAeSwbs9nsQeO/s-l140.jpg,"Sold  Feb 23, 2025"
Panini Obsidian Soccer 2023 24 Autograph Auto Shaun Goater Man City To 199,"183,625.30 VND",https://www.ebay.com/itm/387795517390,https://i.ebayimg.com/images/g/2ycAAOSwvcxnerWZ/s-l140.jpg,"Sold  Jan 12, 2025"
Shaun Goater 2023-24 Panini Select FIFA Soccer Auto Tie Dye 06/25 [dbI77,"122,478.75 VND",https://www.ebay.com/itm/376070072191,https://i.ebayimg.com/images/g/2UMAAOSwztln1OFo/s-l140.jpg,"Sold  Mar 19, 2025"
Shaun Goater 2023-24 Panini Select FIFA Soccer Silver Auto [dbI77,"109,586.25 VND",https://www.ebay.com/itm/376070050474,https://i.ebayimg.com/images/g/8~0AAOSw479n1N4c/s-l140.jpg,"Sold  Mar 19, 2025"
Shaun Goater 2023-24 Panini Select FIFA gold Prizm Auto Manchester City /10,"334,947.15 VND",https://www.ebay.com/itm/316443170675,https://i.ebayimg.com/images/g/fyIAAeSwXZtnx9S2/s-l140.jpg,"Sold  Mar 9, 2025"
Shaun Goater 2023-24 Panini Select FIFA Silver Prizm Auto Manchester City [A],"109,586.25 VND",https://www.ebay.com/itm/365269416331,https://i.ebayimg.com/images/g/mYkAAOSw3zZnUVNZ/s-l140.jpg,"Sold  Jan 10, 2025"
2023-24 Select FIFA Shaun Goater Silver Prizm Auto Autograph #S-SG,"84,059.10 VND",https://www.ebay.com/itm/126865301948,https://i.ebayimg.com/images/g/bE8AAOSwW~pneG9m/s-l140.jpg,"Sold  Jan 8, 2025"
2023-24 Select FIFA Shaun Goater Silver Prizm Autograph Auto #S-SG,"149,553.00 VND",https://www.ebay.com/itm/375897325207,https://i.ebayimg.com/images/g/thkAAOSwJtNndFvF/s-l140.jpg,"Sold  Jan 5, 2025"
2023-24 Panini Select FIFA - Shaun Goater #S-SG Signatures (AUTO) a,"128,667.15 VND",https://www.ebay.com/itm/365224193441,https://i.ebayimg.com/images/g/258AAOSwvI9nLnPK/s-l500.jpg,"Sold  Apr 2, 2025"
2023-23 Impeccable Soccer Shaun Goater Auto 30/99 Manchester City,"77,097.15 VND",https://www.ebay.com/itm/126993821389,https://i.ebayimg.com/images/g/xIoAAeSw7odny3d2/s-l140.jpg,"Sold  Mar 21, 2025"
2024 Panini Impeccable Soccer Shaun Goater Club History Auto 90/94 Manchester,"567,270.00 VND",https://www.ebay.com/itm/135610583546,https://i.ebayimg.com/images/g/4k0AAeSw3hVnzgUQ/s-l140.jpg,"Sold  Mar 16, 2025"
PANINI FIFA SELECT 2023-24 SHAUN GOATER MANCHESTER CITY AUTOGRAPH S-SG,"139,562.34 VND",https://www.ebay.com/itm/156765049553,https://i.ebayimg.com/images/g/eu4AAOSwUuhnyJcI/s-l140.jpg,"Sold  Mar 14, 2025"
2023-24 Panini Impeccable P.L. Soccer Shaun Goater Immortal Ink Auto 96/99,"109,844.10 VND",https://www.ebay.com/itm/376022422586,https://i.ebayimg.com/images/g/ynYAAOSwWCBnvF9H/s-l140.jpg,"Sold  Mar 6, 2025"
2023-24 Panini Impeccable Premier League IS-SG Shaun Goater Auto 1/5 SSP,"1,039,739.46 VND",https://www.ebay.com/itm/235882755609,https://i.ebayimg.com/images/g/zGgAAOSwDD5naYqY/s-l140.jpg,"Sold  Feb 1, 2025"
SHAUN GOATER Auto 2023 SELECT PREMIER LEAGUE SILVER PRIZM Man City S-SG,"180,495.00 VND",https://www.ebay.com/itm/116481308036,https://i.ebayimg.com/images/g/TKAAAOSw5~RnZ0Gb/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Panini Impeccable Premier League Immortal Ink Auto Silver SHAUN GOATER,"219,172.50 VND",https://www.ebay.com/itm/387932836600,https://i.ebayimg.com/images/g/9HsAAOSwqCNnqM9g/s-l140.jpg,"Sold  Feb 19, 2025"
2023-24 Panini Select Premier League Shaun Goater Signature Purple /49 Man City,"109,586.25 VND",https://www.ebay.com/itm/387886168441,https://i.ebayimg.com/images/g/S0YAAOSwWQ1m7x2O/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Select Fifa Shaun Goater Green Prizm Auto Autograph #3/5 Manchester City,"554,377.50 VND",https://www.ebay.com/itm/126878610638,https://i.ebayimg.com/images/g/fcEAAOSw-ChnZJzo/s-l140.jpg,"Sold  Jan 21, 2025"
