Title,Price,Link,Image Link,Sold Date
2024-25 Donruss FIFA Soccer Signature Series AUTO Shay Given IRELAND Redemption,"773,292.15 VND",https://www.ebay.com/itm/135577463026,https://i.ebayimg.com/images/g/0sEAAOSwGlZnvKgt/s-l140.jpg,"Sold  Mar 22, 2025"
2024-25 Donruss Soccer Signature Series Autograph Shay Given UNUSED Redemption,"309,420.00 VND",https://www.ebay.com/itm/226595841058,https://i.ebayimg.com/images/g/UggAAeSwPutnrXU6/s-l140.jpg,"Sold  Feb 17, 2025"
2024-25 Donruss Soccer Signature Series Autograph Shay Given UNUSED Redemption,"2,062,542.15 VND",https://www.ebay.com/itm/197006419955,https://i.ebayimg.com/images/g/tQkAAOSw8bpnqX9G/s-l140.jpg,"Sold  Feb 14, 2025"
2023-24 Panini Select Premier League #SS-SGN Shay Given Select Signatures BLC,"109,586.25 VND",https://www.ebay.com/itm/187045269735,https://i.ebayimg.com/images/g/zdIAAeSwX3ln1Fbb/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Select Premier League #SS-SGN Shay Given Select Signatures BLC,"123,768.00 VND",https://www.ebay.com/itm/187045269671,https://i.ebayimg.com/images/g/LLAAAeSwnQpn1Fby/s-l140.jpg,"Sold  Mar 21, 2025"
2024-25 Donruss Soccer Shay Given Signature Series Auto Redemption Ireland,"773,550.00 VND",https://www.ebay.com/itm/226612057529,https://i.ebayimg.com/images/g/JzsAAeSwCRRnuSxV/s-l140.jpg,"Sold  Mar 21, 2025"
2024-25 Donruss Soccer Signature Series Autograph Shay Given Redemption Ireland,"257,850.00 VND",https://www.ebay.com/itm/286374021978,https://i.ebayimg.com/images/g/LdAAAeSw3b1nw7Iu/s-l140.jpg,"Sold  Mar 1, 2025"
2024-25 Donruss Soccer Signature Series Autograph Shay Given Redemption Ireland,"257,592.15 VND",https://www.ebay.com/itm/405509357548,https://i.ebayimg.com/images/g/F3cAAOSwnGxnmnCo/s-l140.jpg,"Sold  Jan 29, 2025"
2024-25 Donruss Soccer Shay Given Signature Series Auto BJDG,"25,527.15 VND",https://www.ebay.com/itm/396185318049,https://i.ebayimg.com/images/g/Z1cAAOSwtFRnpsAG/s-l140.jpg,"Sold  Feb 16, 2025"
Shay Given 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"25,527.15 VND",https://www.ebay.com/itm/167287150021,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
Shay Given 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#1,"58,016.25 VND",https://www.ebay.com/itm/167284760585,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 4, 2025"
Shay Given - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"64,204.65 VND",https://www.ebay.com/itm/296955202200,https://i.ebayimg.com/images/g/9k4AAOSwySNnjyNS/s-l140.jpg,"Sold  Jan 23, 2025"
Shay Given - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"64,204.65 VND",https://www.ebay.com/itm/226555493619,https://i.ebayimg.com/images/g/nn8AAOSwzuVnjdEZ/s-l140.jpg,"Sold  Jan 22, 2025"
"2016, PANINI UEFA EURO FRANCE, SHAY GIVEN, IRELAND, AUTOGRAPH, S-SGI","282,217.96 VND",https://www.ebay.com/itm/365472151605,https://i.ebayimg.com/images/g/kCIAAOSw-fFmkTK7/s-l140.jpg,"Sold  Mar 30, 2025"
"2016, PANINI UEFA EURO FRANCE, SHAY GIVEN, IRELAND, AUTOGRAPH, S-SGI","282,217.96 VND",https://www.ebay.com/itm/365472151605,https://i.ebayimg.com/images/g/kCIAAOSw-fFmkTK7/s-l500.jpg,"Sold  Mar 30, 2025"
Shay Given 2023-24 Panini Select Premier League Signatures Silver Prizm,"283,635.00 VND",https://www.ebay.com/itm/256859681896,https://i.ebayimg.com/images/g/XF0AAOSwfONn1UkU/s-l140.jpg,"Sold  Mar 23, 2025"
Shay Given 2023-24 Panini Select Premier League Signatures Silver Prizm,"219,172.50 VND",https://www.ebay.com/itm/256802831608,https://i.ebayimg.com/images/g/LjEAAOSwPylnnkit/s-l140.jpg,"Sold  Feb 9, 2025"
2023-24 Panini Impeccable Soccer Shay Given Illustrious Ink Autographs 98/99,"141,817.50 VND",https://www.ebay.com/itm/376068813900,https://i.ebayimg.com/images/g/hkMAAOSwvG5n1FHp/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Soccer Shay Given Illustrious Ink Autographs 89/99,"167,602.50 VND",https://www.ebay.com/itm/376068813797,https://i.ebayimg.com/images/g/lbwAAOSwLGFn1FEt/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Impeccable Soccer Shay Given Illustrious Ink Autographs 77/99,"193,387.50 VND",https://www.ebay.com/itm/376068813880,https://i.ebayimg.com/images/g/c6oAAOSwJcZn1FDe/s-l140.jpg,"Sold  Mar 21, 2025"
