Title,Price,Link,Image Link,Sold Date
2018 Panini FIFA World Cup Stickers #500 - 668 Pick & Choose to Complete Album,"25,527.15 VND to 257,592.15 VND",https://www.ebay.com/itm/374299814707,https://i.ebayimg.com/images/g/FEgAAOSw6HVl4oKT/s-l500.jpg,"Sold  Apr 7, 2025"
"PANINI FIFA WORLD CUP RUSSIA 2018 - REGULAR STICKERS #500-#671 -BUY 1,GET 1 FREE","32,231.25 VND to 206,280.00 VND",https://www.ebay.com/itm/184990343639,https://i.ebayimg.com/images/g/UJcAAOSwZG9iV8PQ/s-l500.jpg,"Sold  Apr 5, 2025"
2018 Panini Prizm World Cup Soccer Card Pick,"25,785.00 VND",https://www.ebay.com/itm/234415033101,https://i.ebayimg.com/images/g/UGQAAOSwLy9iBRqT/s-l140.jpg,"Sold  Apr 4, 2025"
2018 Panini Prizm World Cup Soccer - Pick A Card,"25,527.15 VND to 77,097.15 VND",https://www.ebay.com/itm/133339527442,https://i.ebayimg.com/images/g/P7MAAOSwljFeToCb/s-l140.jpg,"Sold  Mar 31, 2025"
2018 Panini FIFA World Cup Stickers #500 - 668 Pick & Choose to Complete Album,"25,527.15 VND to 257,592.15 VND",https://www.ebay.com/itm/374299814707,https://i.ebayimg.com/images/g/FEgAAOSw6HVl4oKT/s-l500.jpg,"Sold  Apr 7, 2025"
"PANINI FIFA WORLD CUP RUSSIA 2018 - REGULAR STICKERS #500-#671 -BUY 1,GET 1 FREE","32,231.25 VND to 206,280.00 VND",https://www.ebay.com/itm/184990343639,https://i.ebayimg.com/images/g/UJcAAOSwZG9iV8PQ/s-l500.jpg,"Sold  Apr 5, 2025"
2018 Panini Prizm World Cup Soccer - Pick A Card,"25,527.15 VND to 77,097.15 VND",https://www.ebay.com/itm/133339527442,https://i.ebayimg.com/images/g/P7MAAOSwljFeToCb/s-l140.jpg,"Sold  Mar 31, 2025"
2018 Panini FIFA World Cup Stickers #500 - 668 Pick & Choose to Complete Album,"25,527.15 VND to 257,592.15 VND",https://www.ebay.com/itm/374299814707,https://i.ebayimg.com/images/g/FEgAAOSw6HVl4oKT/s-l500.jpg,"Sold  Apr 7, 2025"
"PANINI FIFA WORLD CUP RUSSIA 2018 - REGULAR STICKERS #500-#671 -BUY 1,GET 1 FREE","32,231.25 VND to 206,280.00 VND",https://www.ebay.com/itm/184990343639,https://i.ebayimg.com/images/g/UJcAAOSwZG9iV8PQ/s-l500.jpg,"Sold  Apr 5, 2025"
2018 Panini Prizm World Cup Soccer Card Pick,"25,785.00 VND",https://www.ebay.com/itm/234415033101,https://i.ebayimg.com/images/g/UGQAAOSwLy9iBRqT/s-l140.jpg,"Sold  Apr 4, 2025"
2018 Panini Prizm World Cup Soccer - Pick A Card,"25,527.15 VND to 77,097.15 VND",https://www.ebay.com/itm/133339527442,https://i.ebayimg.com/images/g/P7MAAOSwljFeToCb/s-l140.jpg,"Sold  Mar 31, 2025"
