Title,Price,Link,Image Link,Sold Date
"The Inseparables: The newly discovered novel from Simo... by de Beauvoir, Simone","431,932.00 VND",https://www.ebay.com/itm/304143774018,https://i.ebayimg.com/images/g/Z70AAOSwBbhhPg-l/s-l500.jpg,"Sold  Apr 6, 2025"
"The Inseparables: The newly discovered novel from Simo... by de Beauvoir, Simone","431,932.00 VND",https://www.ebay.com/itm/304143774018,https://i.ebayimg.com/images/g/Z70AAOSwBbhhPg-l/s-l140.jpg,"Sold  Apr 6, 2025"
"The Inseparables: The newly discovered novel from Simo... by de Beauvoir, Simone","299,885.18 VND",https://www.ebay.com/itm/393567883603,https://i.ebayimg.com/images/g/GIoAAOSwG09krpct/s-l140.jpg,"Sold  Feb 23, 2025"
Carrying Case for SIMO Solis Lite 4G LTE WiFi Mobile HotspotCase Only,"343,203.80 VND",https://www.ebay.com/itm/387939818165,https://i.ebayimg.com/images/g/VSAAAOSwGo1nrlwB/s-l140.jpg,"Sold  Apr 4, 2025"
Carrying Case for SIMO Solis Lite 4G LTE Wifi Mobile Hotspot(Case Only),"364,540.20 VND",https://www.ebay.com/itm/335748814032,https://i.ebayimg.com/images/g/ShEAAOSw-bJncAFm/s-l140.jpg,"Sold  Jan 20, 2025"
JD Simo & Luther Dickinson Do the Rump! (CD) Album,"473,208.49 VND",https://www.ebay.com/itm/335735152863,https://i.ebayimg.com/images/g/xekAAOSwUohnYjJ9/s-l140.jpg,"Sold  Jan 31, 2025"
JD Simo & Luther Dickinson Do the Rump! (CD) Album (US IMPORT),"592,053.72 VND",https://www.ebay.com/itm/116503371763,https://i.ebayimg.com/images/g/BuQAAeSwsUhnxPyI/s-l140.jpg,"Sold  Mar 12, 2025"
"HUGO BOSS MENS BELT DARK BROWN SIMO-R , 50481051202","1,637,959.00 VND",https://www.ebay.com/itm/166574870581,https://i.ebayimg.com/images/g/9jkAAOSw-T9luWE8/s-l140.jpg,"Sold  Mar 14, 2025"
"HUGO BOSS MENS BELT BLACK SIMO-R, 50481051001","1,637,959.00 VND",https://www.ebay.com/itm/166574859032,https://i.ebayimg.com/images/g/vgoAAOSw1xBluV6i/s-l140.jpg,"Sold  Mar 14, 2025"
"The White Sniper: Simo Häyhä - Paperback, by Saarelainen Tapio - Good","326,290.80 VND",https://www.ebay.com/itm/146442850670,https://i.ebayimg.com/images/g/v08AAeSwEB9n0GZo/s-l140.jpg,"Sold  Mar 14, 2025"
"The White Sniper: Simo Hyh [ paperback ] Saarelainen, Tapio","326,290.80 VND",https://www.ebay.com/itm/197014600096,https://i.ebayimg.com/images/g/RxsAAOSw97Bf~1uy/s-l140.jpg,"Sold  Feb 21, 2025"
"Start with Why: How Great Leaders Inspire Everyone to Take Action by Sinek, Simo","97,575.00 VND",https://www.ebay.com/itm/388077086093,https://i.ebayimg.com/images/g/kWsAAOSw~AVYogwF/s-l140.jpg,"Sold  Mar 13, 2025"
"Start with Why: How Great Leaders Inspire Everyone to Take Action by Sinek, Simo","107,983.00 VND",https://www.ebay.com/itm/405579467779,https://i.ebayimg.com/images/g/kWsAAOSw~AVYogwF/s-l140.jpg,"Sold  Feb 26, 2025"
HJC motorcycle helmet i71 Simo - integral helmet with sun visor and Pinlock® disc,"6,112,948.67 VND to 6,920,050.48 VND",https://www.ebay.com/itm/115684249190,https://i.ebayimg.com/images/g/uQMAAOSw0gRj0P3Q/s-l140.jpg,"Sold  Jun 4, 2024"
HJC motorcycle helmet i71 Simo - integral helmet with sun visor and Pinlock® disc,"6,497,554.19 VND",https://www.ebay.com/itm/115684249190,https://i.ebayimg.com/images/g/uQMAAOSw0gRj0P3Q/s-l140.jpg,"Sold  Jun 4, 2024"
UNUSED Assyrian Prophecies: State Archives of Assyria Vol IX Simo Parpola PB EB,"1,144,099.40 VND",https://www.ebay.com/itm/235829840356,https://i.ebayimg.com/images/g/pu4AAOSwQNpmlrTS/s-l500.jpg,"Sold  Apr 9, 2025"
The White Sniper: Simo Häyhä,"362,718.80 VND",https://www.ebay.com/itm/396319562120,https://i.ebayimg.com/images/g/ViUAAeSwkVhn1Fng/s-l140.jpg,"Sold  Apr 6, 2025"
"Mastering Autodesk Revit MEP 2016: ..., Whitbread, Simo","252,133.80 VND",https://www.ebay.com/itm/276985423046,https://i.ebayimg.com/images/g/0-wAAeSwda5n5lfQ/s-l140.jpg,"Sold  Mar 31, 2025"
SIEMENS 6SN1121-0BA11-0AA0 SIMO DRIVE CONTROL CARD SHIP FAST - UPS - TESTED,"16,629,740.09 VND",https://www.ebay.com/itm/365496908403,https://i.ebayimg.com/images/g/m~4AAOSw7eBn0NhF/s-l140.jpg,"Sold  Mar 31, 2025"
