Title,Price,Link,Image Link,Sold Date
Panini Road To Qatar World Cup Card 2022 Nr 151 Simon Kjaer Titan,"41,536.41 VND",https://www.ebay.com/itm/235945154093,https://i.ebayimg.com/images/g/vpEAAOSwsvFhV3Jd/s-l140.jpg,"Sold  Mar 1, 2025"
Panini Road to Qatar World Cup Card 2022 No. 151 Simon Kjaer Titanium,"56,217.59 VND",https://www.ebay.com/itm/234213319753,https://i.ebayimg.com/images/g/vpEAAOSwsvFhV3Jd/s-l140.jpg,"Sold  Jan 20, 2025"
2024 Topps Chrome UEFA Euro Sapphire BLACK 10/10 SIMON KJAER #131,"425,452.50 VND",https://www.ebay.com/itm/286359963323,https://i.ebayimg.com/images/g/WfkAAOSwVJFnvTjv/s-l140.jpg,"Sold  Mar 1, 2025"
2024 Topps Chrome UEFA Euro Sapphire BLACK /10 SIMON KJAER #131,"773,807.85 VND",https://www.ebay.com/itm/286288203314,https://i.ebayimg.com/images/g/M7UAAOSwfJxnmGdV/s-l140.jpg,"Sold  Feb 1, 2025"
2024 Topps Chrome UEFA Euro Sapphire BLACK /10 SIMON KJAER #131,"42,803.10 VND",https://www.ebay.com/itm/286263551044,https://i.ebayimg.com/images/g/wJ0AAOSwoG9nhfVL/s-l140.jpg,"Sold  Jan 18, 2025"
2024 Topps Chrome UEFA Euro Sapphire Gold /50 SIMON KJAER #131,"122,478.75 VND",https://www.ebay.com/itm/286261713836,https://i.ebayimg.com/images/g/ngEAAOSwWPNnhJLU/s-l140.jpg,"Sold  Jan 17, 2025"
2024 Topps Chrome UEFA Euro Sapphire Gold /50 SIMON KJAER #131,"167,602.50 VND",https://www.ebay.com/itm/286248478343,https://i.ebayimg.com/images/g/xhgAAOSwJjpnef5x/s-l140.jpg,"Sold  Jan 9, 2025"
2024 Topps Chrome UEFA EURO Simon Kjaer Hero Variation Refractor SP #131,"40,224.60 VND",https://www.ebay.com/itm/396344973367,https://i.ebayimg.com/images/g/v9wAAOSwXMBn3bKA/s-l140.jpg,"Sold  Mar 28, 2025"
2024 Topps Chrome UEFA EURO Simon Kjaer Hero Variation Refractor SP #131 HP24,"83,801.25 VND",https://www.ebay.com/itm/396269507044,https://i.ebayimg.com/images/g/rREAAOSwRX9nrhah/s-l140.jpg,"Sold  Mar 11, 2025"
2024 Topps Chrome UEFA EURO Simon Kjaer Gold Refractor 44/50 #131 HP24,"25,527.15 VND",https://www.ebay.com/itm/396182736241,https://i.ebayimg.com/images/g/0zgAAOSwHGdni-8D/s-l140.jpg,"Sold  Feb 17, 2025"
2024 Topps Chrome UEFA EURO Simon Kjaer Color Match Refractor 97/99 #131 LA02,"25,527.15 VND",https://www.ebay.com/itm/396179595795,https://i.ebayimg.com/images/g/qKgAAOSwrMVnjpUN/s-l140.jpg,"Sold  Feb 15, 2025"
2024 Topps Chrome UEFA EURO Simon Kjaer Hero Variation SP #131 KT01,"87,926.85 VND",https://www.ebay.com/itm/396113327860,https://i.ebayimg.com/images/g/tZYAAOSw4-xngVIZ/s-l140.jpg,"Sold  Jan 17, 2025"
2023-24 Topps Chrome UEFA Euro Simon Kjaer Black Refractor #4/10,"219,172.50 VND",https://www.ebay.com/itm/126977047695,https://i.ebayimg.com/images/g/RvsAAeSwkMtnyMUX/s-l140.jpg,"Sold  Mar 10, 2025"
2024 Topps Chrome UEFA Euro Simon Kjaer #131 Aqua Wave Refractor /199,"77,097.15 VND",https://www.ebay.com/itm/116485985150,https://i.ebayimg.com/images/g/v2QAAOSwFhJnQ81s/s-l140.jpg,"Sold  Feb 21, 2025"
Simon Kjaer 2024 Topps Chrome UEFA Euro Soccer 22/25 Orange,"25,527.15 VND",https://www.ebay.com/itm/375993700240,https://i.ebayimg.com/images/g/jtwAAOSwU59nrOos/s-l140.jpg,"Sold  Feb 20, 2025"
