Title,Price,Link,Image Link,Sold Date
2023 Panini Donruss FIFA Women’s World Cup Georgia Stanway Autograph Silver RC,"180,237.15 VND",https://www.ebay.com/itm/156815818279,https://i.ebayimg.com/images/g/Xm8AAeSwzSxn3J26/s-l140.jpg,"Sold  Mar 30, 2025"
2023 Panini Donruss FIFA Women’s World Cup #210 Georgia Stanway Autograph RC,"128,667.15 VND",https://www.ebay.com/itm/156815842337,https://i.ebayimg.com/images/g/h6wAAeSwwXJn3KBZ/s-l140.jpg,"Sold  Mar 24, 2025"
2023 Panini Donruss World Cup Georgia Stanway RC Status Orange 34/49 England,"103,140.00 VND",https://www.ebay.com/itm/365442165545,https://i.ebayimg.com/images/g/ciwAAOSwePFnyPYe/s-l140.jpg,"Sold  Mar 10, 2025"
2023 Panini Donruss Women World Cup Georgia Stanway Rookie RC Blue 32/99 England,"122,478.75 VND",https://www.ebay.com/itm/365442165034,https://i.ebayimg.com/images/g/~toAAOSw5eNnyPYI/s-l140.jpg,"Sold  Mar 10, 2025"
2023 Panini Donruss World Cup Georgia Stanway RC Status Orange 34/49 England,"109,328.40 VND",https://www.ebay.com/itm/365419500795,https://i.ebayimg.com/images/g/kDQAAOSwTYJnu8-F/s-l140.jpg,"Sold  Feb 28, 2025"
2023 Panini Donruss Women World Cup Georgia Stanway Rookie RC Blue 32/99 England,"180,495.00 VND",https://www.ebay.com/itm/365419498867,https://i.ebayimg.com/images/g/cIsAAOSwR61nu89i/s-l140.jpg,"Sold  Feb 28, 2025"
2023 Donruss FIFA World Cup Georgia Stanway Rookie Auto RC #210 England,"386,517.15 VND",https://www.ebay.com/itm/405430363358,https://i.ebayimg.com/images/g/dMMAAOSwxLFnX4vm/s-l140.jpg,"Sold  Feb 20, 2025"
2023 Donruss FIFA Georgia Stanway RC Auto #210 England,"334,947.15 VND",https://www.ebay.com/itm/205195584726,https://i.ebayimg.com/images/g/GbkAAOSwNidncweT/s-l140.jpg,"Sold  Jan 29, 2025"
2023 Panini Donruss World Cup Georgia Stanway Rookie RC Autograph Bayern Munchen,"96,693.75 VND",https://www.ebay.com/itm/365395274739,https://i.ebayimg.com/images/g/D80AAOSw2ntnrT4t/s-l140.jpg,"Sold  Feb 17, 2025"
2023 Panini Donruss World Cup Georgia Stanway Rookie RC Autograph Bayern Munchen,"180,495.00 VND",https://www.ebay.com/itm/365374765011,https://i.ebayimg.com/images/g/bxgAAOSwRphnnr1u/s-l140.jpg,"Sold  Feb 6, 2025"
2023 Panini Donruss World Cup Georgia Stanway Rookie RC Autograph Bayern Munchen,"141,817.50 VND",https://www.ebay.com/itm/365358712398,https://i.ebayimg.com/images/g/pU8AAOSwH8BnkY2m/s-l140.jpg,"Sold  Jan 27, 2025"
Georgia Stanway /50 - Panini Women's Bundesliga 2024/25 - Bayern Munich,"282,500.46 VND",https://www.ebay.com/itm/146469993859,https://i.ebayimg.com/images/g/soEAAOSwQrxn4Fpq/s-l140.jpg,"Sold  Mar 30, 2025"
topps match attax champions league 2024 2025 Georgia Stanway Platinum Pull,"84,750.14 VND",https://www.ebay.com/itm/297134339978,https://i.ebayimg.com/images/g/CzoAAeSwTMxn3Jpp/s-l140.jpg,"Sold  Mar 27, 2025"
2023-24 TOPPS INCEPTION UCL GEORGIA STANWAY BAYERN MUNICH BUNDESLIGA WOMEN /150,"255,271.50 VND",https://www.ebay.com/itm/286031449882,https://i.ebayimg.com/images/g/sFwAAOSw8NxmzSnR/s-l140.jpg,"Sold  Sep 18, 2024"
Panini Women's Bundesliga 24/25 Fc Bayern Munich Stanway Lohmann Sydney,"72,037.62 VND",https://www.ebay.com/itm/156827679003,https://i.ebayimg.com/images/g/97kAAOSwAMZn4ZSq/s-l140.jpg,"Sold  Mar 26, 2025"
Georgia Stanway 2023-24 Topps Inception UEFA Star Quality Blue 29/49 [dbJ34,"85,864.05 VND",https://www.ebay.com/itm/376083499589,https://i.ebayimg.com/images/g/UAkAAOSwepFn23GP/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Women's Bundesliga 2024/25 - Sticker No 83 - Georgia Stanway,"28,250.05 VND",https://www.ebay.com/itm/205093273254,https://i.ebayimg.com/images/g/PvoAAOSwLH1nLmhQ/s-l140.jpg,"Sold  Mar 8, 2025"
TOPPS CHAMPIONS LEAGUE 2024/25 - Sticker No 515 - GEORGIA STANWAY,"28,250.05 VND",https://www.ebay.com/itm/205199557021,https://i.ebayimg.com/images/g/MvQAAOSwCYVndalB/s-l140.jpg,"Sold  Mar 8, 2025"
Georgia Stanway RC 2023 Topps Chrome UEFA Gold 50/50 ,"180,495.00 VND",https://www.ebay.com/itm/135590045029,https://i.ebayimg.com/images/g/MgEAAeSwt7pnwxbn/s-l140.jpg,"Sold  Mar 6, 2025"
GEORGIA STANWAY BAYERN MUNICH FOREVER TOPPS 2023-24 BUNDESLIGA WOMENS CAR,"240,125.39 VND",https://www.ebay.com/itm/135568491863,https://i.ebayimg.com/images/g/uk4AAOSwXNZntuQu/s-l140.jpg,"Sold  Mar 2, 2025"
2023 Panini Donruss FIFA Women's World Cup - Autographs #210 Georgia Stanway...,"154,452.15 VND",https://www.ebay.com/itm/316333628270,https://i.ebayimg.com/images/g/cDoAAeSw6kFnrUOT/s-l140.jpg,"Sold  Feb 26, 2025"
Georgia Stanway 2023 Donruss Women’s World Cup #210 RC Orange /49 Rookie,"257,850.00 VND",https://www.ebay.com/itm/186224386116,https://i.ebayimg.com/images/g/tlQAAOSwBNNlihoI/s-l140.jpg,"Sold  Feb 17, 2025"
Georgia Stanway+++++Bavaria Munich++++World Cup+++++autographed+++++rare card,"28,250.05 VND",https://www.ebay.com/itm/356548293668,https://i.ebayimg.com/images/g/uDoAAOSwhE1np7qu/s-l140.jpg,"Sold  Feb 15, 2025"
Topps UEFA Champions League 2024/25 Sticker 515 Georgina Stanway,"28,250.05 VND",https://www.ebay.com/itm/226586969555,https://i.ebayimg.com/images/g/1rEAAOSw77JnbEGA/s-l140.jpg,"Sold  Feb 12, 2025"
2024 Topps Chrome Sapphire Women's UEFA Blue Ice Refractor - RC Georgia Stanway,"25,785.00 VND",https://www.ebay.com/itm/365362396268,https://i.ebayimg.com/images/g/ZAQAAOSwSZNnlDeU/s-l140.jpg,"Sold  Jan 29, 2025"
2023-24 Topps Chrome UEFA Women's Champions League - Georgia Stanway 13/50 Gold,"257,850.00 VND",https://www.ebay.com/itm/335780406301,https://i.ebayimg.com/images/g/1swAAOSw8HRnTIvA/s-l140.jpg,"Sold  Jan 29, 2025"
2022 Topps Chrome UEFA Pink Prism Refractor 53/199 Georgia Stanway Rookie RC,"42,029.55 VND",https://www.ebay.com/itm/335772278303,https://i.ebayimg.com/images/g/lZQAAOSwXG9niEuy/s-l140.jpg,"Sold  Jan 23, 2025"
2023 Donruss Women's World Cup Georgia Stanway RC Auto,"219,172.50 VND",https://www.ebay.com/itm/296915952973,https://i.ebayimg.com/images/g/3X8AAOSwOPtneOKd/s-l140.jpg,"Sold  Jan 8, 2025"
2022-23 Topps Chrome UEFA Women’s Sapphire Georgia Stanway Variation SP Bayern,"257,592.15 VND",https://www.ebay.com/itm/266442310770,https://i.ebayimg.com/images/g/MTcAAOSws7llH3Df/s-l140.jpg,"Sold  Jan 5, 2025"
TOPPS INCEPTION UEFA 2023-24 GEORGIA STANWAY STAR QUALITY BAYERN,"51,312.15 VND",https://www.ebay.com/itm/146307525278,https://i.ebayimg.com/images/g/DcwAAOSwCbhndIBT/s-l140.jpg,"Sold  Jan 5, 2025"
