Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss FIFA STEPHAN EL SHAARAWY Patch Kit Series Italy #KS-SES,"32,231.25 VND",https://www.ebay.com/itm/306151443718,https://i.ebayimg.com/images/g/~wIAAOSw1-FnrY9~/s-l140.jpg,"Sold  Mar 10, 2025"
2024-25 Panini Donruss FIFA STEPHAN EL SHAARAWY Patch Kit Series Italy #KS-SES,"141,817.50 VND",https://www.ebay.com/itm/306110572876,https://i.ebayimg.com/images/g/~wIAAOSw1-FnrY9~/s-l140.jpg,"Sold  Feb 22, 2025"
2024-25 Panini Donruss FIFA STEPHAN EL SHAARAWY Patch Kit Series Italy - WORN,"106,161.60 VND",https://www.ebay.com/itm/405618998217,https://i.ebayimg.com/images/g/e9QAAOSwBM1nyyoD/s-l140.jpg,"Sold  Apr 7, 2025"
Stephan El Shaarawy 2024-25 Panini Donruss FIFA Kit Series Relic Italy,"156,257.10 VND",https://www.ebay.com/itm/256819856865,https://i.ebayimg.com/images/g/2QUAAOSwRJdnsFif/s-l140.jpg,"Sold  Feb 23, 2025"
Stephan el Shaarawy 2024-25 Panini Donruss FIFA Kit Series GU Memorabilia Relic ,"167,602.50 VND",https://www.ebay.com/itm/256811123562,https://i.ebayimg.com/images/g/bsEAAOSwiOFnqCQP/s-l140.jpg,"Sold  Feb 16, 2025"
Stephan El Shaarawy - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/296965334301,https://i.ebayimg.com/images/g/y3cAAeSw30dnlbvI/s-l140.jpg,"Sold  Jan 28, 2025"
Stephan El Shaarawy - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #4,"64,204.65 VND",https://www.ebay.com/itm/235929069633,https://i.ebayimg.com/images/g/6yEAAOSwwkpnlG1Y/s-l140.jpg,"Sold  Jan 27, 2025"
2018 National Treasures Stephan El Shaarawy Penmanship Auto RC #58/75,"502,186.00 VND",https://www.ebay.com/itm/376119643560,https://i.ebayimg.com/images/g/Mo8AAeSwWjNn7EK4/s-l140.jpg,"Sold  Apr 6, 2025"
2018 National Treasures Stephan El Shaarawy Penmanship Auto #/75,"481,370.00 VND",https://www.ebay.com/itm/126975024536,https://i.ebayimg.com/images/g/icMAAeSwGxVnx2GO/s-l140.jpg,"Sold  Mar 9, 2025"
Stephan El Shaarawy CHAMPION CHAMPIONS Panini Footballers Adrenalyn xl 2013-2014,"102,561.47 VND",https://www.ebay.com/itm/396338507352,https://i.ebayimg.com/images/g/zcMAAOSwqEBnLD8y/s-l140.jpg,"Sold  Mar 31, 2025"
Stephan El Shaarawy LIMITED EDITION Panini Footballers Adrenalyn xl 2012-2013,"213,669.74 VND",https://www.ebay.com/itm/396338507232,https://i.ebayimg.com/images/g/URcAAOSwy6pm~~QJ/s-l140.jpg,"Sold  Mar 31, 2025"
Stephan El Shaarawy CHAMPION CHAMPIONS Panini Footballers Adrenalyn xl 2013-2014,"71,223.25 VND",https://www.ebay.com/itm/396231599493,https://i.ebayimg.com/images/g/zcMAAOSwqEBnLD8y/s-l140.jpg,"Sold  Mar 3, 2025"
Stephan El Shaarawy LIMITED EDITION Panini Footballers Adrenalyn xl 2012-2013,"356,116.23 VND",https://www.ebay.com/itm/396116323697,https://i.ebayimg.com/images/g/URcAAOSwy6pm~~QJ/s-l140.jpg,"Sold  Feb 3, 2025"
2015 Panini Select Tie-Dye Variation Prizm 29/30 Stephan El Shaarawy #49,"296,107.60 VND",https://www.ebay.com/itm/235998175801,https://i.ebayimg.com/images/g/aSwAAeSwU69nzzB0/s-l140.jpg,"Sold  Mar 19, 2025"
2015-16 Panini Select Pink Prizm 18/20 Stephan El Shaarawy #49,"221,170.00 VND",https://www.ebay.com/itm/235932918537,https://i.ebayimg.com/images/g/N2QAAOSwo~FnmB4V/s-l140.jpg,"Sold  Feb 4, 2025"
Topps UEFA Club Competitions 23/24 Stephan El Shaarawy Gold 49/50 Road To Dublin,"56,500.09 VND",https://www.ebay.com/itm/356694584137,https://i.ebayimg.com/images/g/ekMAAeSwgB9n2U~T/s-l140.jpg,"Sold  Mar 24, 2025"
Panini Donruss Soccer 24/25 Stephan EL Shaarawy Kit Series Match Worn Patch,"99,687.39 VND",https://www.ebay.com/itm/167378975930,https://i.ebayimg.com/images/g/L-sAAeSwgr5nueGp/s-l140.jpg,"Sold  Mar 22, 2025"
STEPHAN EL SHAARAWY 2016-17 Panini Spectra Soccer Red Die Cut /65 Card PWE,"77,097.15 VND",https://www.ebay.com/itm/116331291852,https://i.ebayimg.com/images/g/6uIAAOSwY3tm63A7/s-l140.jpg,"Sold  Mar 20, 2025"
2024-25 Donruss Soccer - Stephan El Shaarawy Kit Series (MEM),"102,882.15 VND",https://www.ebay.com/itm/365409499353,https://i.ebayimg.com/images/g/0k8AAOSwT-RntjZC/s-l140.jpg,"Sold  Mar 19, 2025"
2024-25 Panini Donruss Soccer Kit Series #Stephan El Shaarawy ,"64,462.50 VND",https://www.ebay.com/itm/365424884124,https://i.ebayimg.com/images/g/PC4AAeSws95nvszZ/s-l140.jpg,"Sold  Mar 3, 2025"
2015-16 Panini Select Soccer Camo Prizm Stephan El Shaarawy #49 Italy /249,"128,925.00 VND",https://www.ebay.com/itm/126292819020,https://i.ebayimg.com/images/g/TBEAAOSw4h9lrR6M/s-l140.jpg,"Sold  Feb 14, 2025"
2017 Topps Chrome UEFA UCL Stephan El Shaarawy Refractor #92,"25,527.15 VND",https://www.ebay.com/itm/375973629657,https://i.ebayimg.com/images/g/Qs8AAOSwCUJno7Yw/s-l140.jpg,"Sold  Feb 10, 2025"
🎁 2015 Panini Select Soccer Stephan El Shaarawy Gold Prizm /10 BGS 9.5,"1,676,025.00 VND",https://www.ebay.com/itm/296919415685,https://i.ebayimg.com/images/g/jccAAOSwm8xnWkH8/s-l140.jpg,"Sold  Feb 2, 2025"
2020 Panini Immaculate Soccer Stephan El Shaarawy Dual Swatch Autographs /75,"536,750.87 VND",https://www.ebay.com/itm/375900069451,https://i.ebayimg.com/images/g/O78AAOSwjphndmIP/s-l140.jpg,"Sold  Jan 23, 2025"
Panini Fifa 365 Cards 2017 - 223 - Stephan El Shaarawy - Team Mates - AS Roma,"28,250.05 VND",https://www.ebay.com/itm/302383241992,https://i.ebayimg.com/images/g/-7EAAOSwyPhfqNYS/s-l140.jpg,"Sold  Jan 22, 2025"
STEPHAN EL SHAARAWY 2018/19 Topps Chrome UCL #95 Blue Wave Refractor /75 AS Roma,"129,839.80 VND",https://www.ebay.com/itm/356408193387,https://i.ebayimg.com/images/g/-MgAAOSwIhBnbGpA/s-l500.jpg,"Sold  Apr 10, 2025"
2017-18 Panini Select Field Level Base Set #258 Stephan El Shaarawy - AS Roma SP,"78,060.00 VND",https://www.ebay.com/itm/326047128145,https://i.ebayimg.com/images/g/kFQAAOSwJM5l7NtX/s-l140.jpg,"Sold  Apr 7, 2025"
2018 National Treasures Stephan El Shaarawy Material Bronze Patch #35/35,"169,130.00 VND",https://www.ebay.com/itm/127027595630,https://i.ebayimg.com/images/g/XpkAAeSwWSBn7EN7/s-l140.jpg,"Sold  Apr 6, 2025"
PANINI ADRENALYN TITANS 2025 CARD N.T153 Stephan El Shaarawy Roma Top Impact,"56,978.60 VND",https://www.ebay.com/itm/306225036075,https://i.ebayimg.com/images/g/w58AAOSwLL1n8iDS/s-l140.jpg,"Sold  Apr 6, 2025"
2017 Revolution Vortex KALEIDO 1 OF 1 Stephan El Shaarawy True 1/1 Roma #8 Italy,"5,203,739.80 VND",https://www.ebay.com/itm/176984670554,https://i.ebayimg.com/images/g/2OkAAeSwjNFn8bFY/s-l140.jpg,"Sold  Apr 5, 2025"
Foto Autografo Calcio Stephan El Shaarawy Asta di Beneficenza Sport Coa Signed,"997,125.43 VND",https://www.ebay.com/itm/195015034968,https://i.ebayimg.com/images/g/towAAOSwr2hgWbqL/s-l140.jpg,"Sold  Mar 29, 2025"
2020 Panini Immaculate Collection Stephan El Shaarawy Jersey Patch /75 Italy,"1,457,120.00 VND",https://www.ebay.com/itm/305406125218,https://i.ebayimg.com/images/g/rGQAAOSwtpNl1MiM/s-l140.jpg,"Sold  Mar 21, 2025"
Panini WCCF 2011-12 Stephan El Shaarawy Milan Extra Football Soccer card,"93,672.00 VND",https://www.ebay.com/itm/375484790199,https://i.ebayimg.com/images/g/DTUAAOSwhFBma90d/s-l140.jpg,"Sold  Mar 20, 2025"
2017-18 Panini Select Field Level Stephan El Shaarawy Zebra Prizm /25,"390,039.80 VND",https://www.ebay.com/itm/116516313507,https://i.ebayimg.com/images/g/zJUAAOSwQzRntAEj/s-l140.jpg,"Sold  Mar 16, 2025"
Stephan El Shaarawy AC Milan Jersey Mens Medium Champions League Adidas 13/14,"909,399.00 VND",https://www.ebay.com/itm/156773310526,https://i.ebayimg.com/images/g/U3IAAeSwh~lny6YB/s-l140.jpg,"Sold  Mar 14, 2025"
2015-16 Select Variations Blue #49 Stephan El Shaarawy /299,"51,779.80 VND",https://www.ebay.com/itm/316138507470,https://i.ebayimg.com/images/g/ahYAAeSwyI5nyOjR/s-l140.jpg,"Sold  Mar 8, 2025"
Panini Euro 2016 Stephan El Shaarawy Italia No. 512,"33,357.64 VND",https://www.ebay.com/itm/202424681909,https://i.ebayimg.com/images/g/9bkAAOSwcxhbjPW2/s-l140.jpg,"Sold  Mar 6, 2025"
Stephan El Shaarawy LIMITED EDITION Panini Calciatori Adrenalyn xl 2012-2013,"299,137.63 VND",https://www.ebay.com/itm/396207370692,https://i.ebayimg.com/images/g/URcAAOSwy6pm~~QJ/s-l140.jpg,"Sold  Mar 3, 2025"
2017 STEPHAN EL SHAARAWY /100 PANINI REVOLUTION COSMIC,"52,040.00 VND",https://www.ebay.com/itm/156223190400,https://i.ebayimg.com/images/g/FxsAAOSwo-piZfKX/s-l140.jpg,"Sold  Mar 3, 2025"
Stephan EL Shaarawy AC Milan #92 Long Sleeve Soccer Futbol Jersey Mens M,"780,339.80 VND",https://www.ebay.com/itm/116489375647,https://i.ebayimg.com/images/g/MDwAAeSwI8JnuObD/s-l140.jpg,"Sold  Feb 26, 2025"
2018 Panini National Treasures Colossal Materials Stephan El Shaarawy /99 Italy,"569,501.07 VND",https://www.ebay.com/itm/405323643526,https://i.ebayimg.com/images/g/nKMAAOSw1S9nJpXR/s-l140.jpg,"Sold  Feb 22, 2025"
