Title,Price,Link,Image Link,Sold Date
Steve McManaman 2023-24 Panini Prizm Premier League Soccer Auto Purple 04/25,"721,980.00 VND",https://www.ebay.com/itm/376073090511,https://i.ebayimg.com/images/g/4PIAAOSwFH1n1k57/s-l140.jpg,"Sold  Mar 20, 2025"
Steve McManaman 2023-24 Panini Prizm Premier League Soccer Signatures,"296,527.50 VND",https://www.ebay.com/itm/376073003492,https://i.ebayimg.com/images/g/5RYAAOSwIRln1kHS/s-l140.jpg,"Sold  Mar 20, 2025"
2023-24 Panini Prizm Premier League Signature Steve McManaman #S-SM Auto,"425,452.50 VND",https://www.ebay.com/itm/326470667829,https://i.ebayimg.com/images/g/DaAAAeSwgcVnxkv1/s-l140.jpg,"Sold  Mar 10, 2025"
2023-24 Panini Prizm Premier League Signatures Steve McManaman #S-SM Auto,"399,667.50 VND",https://www.ebay.com/itm/335787351083,https://i.ebayimg.com/images/g/mmQAAOSwHy1nmCHv/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Panini Prizm Premier League Steve Mcmanaman Red Stars Prizm Auto ,"644,625.00 VND",https://www.ebay.com/itm/396249302935,https://i.ebayimg.com/images/g/S~EAAeSw7vJnvx1N/s-l140.jpg,"Sold  Feb 26, 2025"
2023-24 Panini Prizm Premier Steve McManaman Red Stars SSP Signatures Auto #S-SM,"650,239.80 VND",https://www.ebay.com/itm/126818946997,https://i.ebayimg.com/images/g/1cYAAOSwlWRnVJFl/s-l140.jpg,"Sold  Mar 2, 2025"
2024-25 Topps Palatial Liverpool FC Steve McManaman Anfield Ovation Auto #6/10,"2,133,640.00 VND",https://www.ebay.com/itm/127031459342,https://i.ebayimg.com/images/g/8y4AAeSwZ7tn7vAZ/s-l500.jpg,"Sold  Apr 8, 2025"
2024-25 Topps Palatial Liverpool FC - Steve Mcmanaman 4/5 Auto,"9,775,453.80 VND",https://www.ebay.com/itm/126977470252,https://i.ebayimg.com/images/g/zmAAAOSwj2VnyQpI/s-l140.jpg,"Sold  Mar 13, 2025"
2024-25 Topps Palatial Liverpool Steve McManaman Anfield Ovation /10,"1,792,517.80 VND",https://www.ebay.com/itm/235975093446,https://i.ebayimg.com/images/g/PycAAeSwlLNnu-1E/s-l140.jpg,"Sold  Mar 3, 2025"
Corinthian Headliners - FAPL Steve McManaman Liverpool 1996/97 New Sculpt PL366,"250,182.30 VND",https://www.ebay.com/itm/135065151424,https://i.ebayimg.com/images/g/zD0AAOSwlFdmSMzV/s-l140.jpg,"Sold  Apr 4, 2025"
Corinthian Headliners - FAPL - Steve McManaman - Liverpool 1995/1996 - PL66,"66,715.28 VND",https://www.ebay.com/itm/135324383864,https://i.ebayimg.com/images/g/TdAAAOSwEGtnHdra/s-l140.jpg,"Sold  Apr 3, 2025"
Corinthian Headliners - FAPL - Steve McManaman - Liverpool 1996/1997 - PL66,"50,036.46 VND",https://www.ebay.com/itm/135147289253,https://i.ebayimg.com/images/g/3XAAAOSwFWhlM2SR/s-l140.jpg,"Sold  Apr 2, 2025"
Corinthian Prostars - Steve McManaman - England World Cup 2002 - PRO561,"100,072.92 VND",https://www.ebay.com/itm/135537079876,https://i.ebayimg.com/images/g/EhwAAOSwuK9itqJJ/s-l140.jpg,"Sold  Mar 29, 2025"
Corinthian Prostars - Steve McManaman - England World Cup 2002 - PRO561,"100,072.92 VND",https://www.ebay.com/itm/134903731489,https://i.ebayimg.com/images/g/EhwAAOSwuK9itqJJ/s-l140.jpg,"Sold  Feb 6, 2025"
STEVE McMANAMAN SIGNED AUTOGRAPH FIRST DAY COVER FDC LIVERPOOL V MYPA 47 ECWC 96,"666,819.22 VND",https://www.ebay.com/itm/395431579663,https://i.ebayimg.com/images/g/5QUAAOxyXWdQ51MB/s-l140.jpg,"Sold  Mar 7, 2025"
STEVE McMANAMAN SIGNED AUTOGRAPH FIRST DAY COVER FDC LIVERPOOL V SP VLADIKAVKAZ,"666,819.22 VND",https://www.ebay.com/itm/387036237224,https://i.ebayimg.com/images/g/dsMAAMXQya1Q5eku/s-l140.jpg,"Sold  Jan 19, 2025"
STEVE McMANAMAN (Liverpool) PANINI FOOTBALL '93,"233,503.48 VND",https://www.ebay.com/itm/197004835674,https://i.ebayimg.com/images/g/pDgAAOSwe3ZnqMt0/s-l140.jpg,"Sold  Feb 17, 2025"
STEVE McMANAMAN (Liverpool) PANINI FOOTBALL '93,"233,503.48 VND",https://www.ebay.com/itm/196977137600,https://i.ebayimg.com/images/g/fnEAAOSwfm1nmKzB/s-l140.jpg,"Sold  Jan 28, 2025"
2000 Panini UEFA Euro stickers #87 Steve McManaman England,"51,312.15 VND",https://www.ebay.com/itm/267198161500,https://i.ebayimg.com/images/g/yyUAAOSwZjpn0TfD/s-l140.jpg,"Sold  Mar 30, 2025"
Steve Mcmanaman 2022-23 Panini Impeccable Premier League Club History Auto 04/92,"2,088,842.85 VND",https://www.ebay.com/itm/376108470670,https://i.ebayimg.com/images/g/vzcAAOSw~WFn53QL/s-l140.jpg,"Sold  Apr 2, 2025"
87 Steve McManaman England # UEFA EURO 2000 (Panini),"42,657.57 VND",https://www.ebay.com/itm/226647923619,https://i.ebayimg.com/images/g/G-YAAOSwgLxn1X~C/s-l140.jpg,"Sold  Mar 22, 2025"
STEVE MCMANAMAN PANINI CHRON 2023 OA-SMN AUTO 10 120/139 PREMIER LEAGUE SGC 9,"850,043.88 VND",https://www.ebay.com/itm/135585169434,https://i.ebayimg.com/images/g/PtEAAOSwT-RnvfLT/s-l140.jpg,"Sold  Mar 9, 2025"
Steve McManaman Panini Premier League Prizm 23/24 Red Pulsar Prizm Autograph SP,"1,163,019.53 VND",https://www.ebay.com/itm/186749367409,https://i.ebayimg.com/images/g/7XAAAOSwRR5nHWKf/s-l140.jpg,"Sold  Mar 7, 2025"
2023-24 Panini Prizm Premier League Autograph Auto Card : Steve McManaman A2,"925,681.50 VND",https://www.ebay.com/itm/355520467931,https://i.ebayimg.com/images/g/JHwAAOSwsCJmJyZh/s-l140.jpg,"Sold  Mar 3, 2025"
STEVE MCMANAMAN DONRUSS SOCCER PANINI 2022-23 LIVERPOOL FC EPL BEATIFUL AUTO,"926,601.51 VND",https://www.ebay.com/itm/135568508019,https://i.ebayimg.com/images/g/UHEAAOSw7p1ntgDk/s-l140.jpg,"Sold  Mar 2, 2025"
2023-24 Panini Prizm Premier League Soccer Steve McManaman Signatures Liverpool,"515,700.00 VND",https://www.ebay.com/itm/365276458251,https://i.ebayimg.com/images/g/PpEAAOSwhuFnVlmw/s-l140.jpg,"Sold  Feb 16, 2025"
Steve McManaman 2022-23 Chronicles Contenders La Liga Soccer Auto 05/10 [dbG17,"1,160,325.00 VND",https://www.ebay.com/itm/375980373101,https://i.ebayimg.com/images/g/yyEAAOSwHd1nps~X/s-l140.jpg,"Sold  Feb 12, 2025"
2022 PANINI DONRUSS FIFA THE BEAUTIFUL GAME AUTOS STEVE MCMANAMAN 94/99 PSA 9,"1,057,185.00 VND",https://www.ebay.com/itm/306046109940,https://i.ebayimg.com/images/g/tQAAAOSw~elniZyV/s-l140.jpg,"Sold  Jan 26, 2025"
2023-24 PANINI PRIZM PREMIER LEAGUE SIGS CHOICE #SSM STEVE MCMANAMAN PSA 9 AUTO,"1,366,347.15 VND",https://www.ebay.com/itm/306046109508,https://i.ebayimg.com/images/g/O1MAAOSwU4xniZyS/s-l140.jpg,"Sold  Jan 26, 2025"
Panini World Cup 2002 Sticker No. 431 Steve McManaman England World Cup 02,"42,375.07 VND",https://www.ebay.com/itm/325810019028,https://i.ebayimg.com/images/g/EwwAAOSwFp5jP~Wu/s-l140.jpg,"Sold  Jan 26, 2025"
2022-23 Panini Chronicles Contenders La Liga Auto Steve McManaman #CA-SMN 86/139,"773,292.15 VND",https://www.ebay.com/itm/296872620197,https://i.ebayimg.com/images/g/4tsAAOSwflZnWLHJ/s-l140.jpg,"Sold  Jan 10, 2025"
1998-99 Merlin Premier Gold 99 Steve McManaman #77,"243,026.80 VND",https://www.ebay.com/itm/335830099116,https://i.ebayimg.com/images/g/pooAAeSwuj1n742F/s-l500.jpg,"Sold  Mar 22, 2025"
2023-24 STEVE MCMANAMAN PRIZM SCOPE AUTO,"520,400.00 VND",https://www.ebay.com/itm/256848902576,https://i.ebayimg.com/images/g/i-kAAeSw1oBnzJeg/s-l140.jpg,"Sold  Mar 8, 2025"
2023-24 Panini Select LALIGA Steve McManaman Green Prizm Auto #2/2 Real Madrid,"2,315,780.00 VND",https://www.ebay.com/itm/126947503722,https://i.ebayimg.com/images/g/7PIAAeSwzupns5LL/s-l140.jpg,"Sold  Feb 22, 2025"
2022-23 Donruss The Beautiful Game Auto #BA-SMN Steve McManaman Orange Ice,"546,420.00 VND",https://www.ebay.com/itm/276839709031,https://i.ebayimg.com/images/g/s1UAAOSwP5Nnnttm/s-l140.jpg,"Sold  Feb 2, 2025"
2022 Futera Unique Steve McManaman Legacy Autograph Auto #03/03 England,"1,419,391.00 VND",https://www.ebay.com/itm/375942815694,https://i.ebayimg.com/images/g/lQgAAOSwz6tnkWE7/s-l140.jpg,"Sold  Jan 27, 2025"
STEVE McMANAMAN ENGLAND SQUAD 1996 CORINTHIAN PRO STARS E26 (CARD ONLY),"41,697.05 VND",https://www.ebay.com/itm/395910664712,https://i.ebayimg.com/images/g/UNQAAOSw2uBnF6dk/s-l140.jpg,"Sold  Apr 6, 2025"
Corinthian Headliners - Steve McManaman - England World Cup 1998 - E83,"83,394.10 VND",https://www.ebay.com/itm/135047109223,https://i.ebayimg.com/images/g/5uAAAOSwwXZn7qHn/s-l140.jpg,"Sold  Apr 2, 2025"
Steve McManaman Signed Euro 96 Shirt,"2,501,823.00 VND",https://www.ebay.com/itm/116509458416,https://i.ebayimg.com/images/g/sqoAAeSw~qJnyl7b/s-l140.jpg,"Sold  Apr 2, 2025"
Steve McManaman Signed Madrid Replica Shirt.,"2,501,823.00 VND",https://www.ebay.com/itm/116509467210,https://i.ebayimg.com/images/g/F8wAAeSw1GVnymPU/s-l140.jpg,"Sold  Mar 30, 2025"
24-25 Topps Palatial Liverpool FC - STEVE MCMANAMAN 14/15,"625,455.75 VND",https://www.ebay.com/itm/226661306270,https://i.ebayimg.com/images/g/iB8AAOSwb5Vn3-eA/s-l140.jpg,"Sold  Mar 30, 2025"
(1/1) 2023 Futera Legacy -Steve McManaman- hard signed Autograph 1/1,"1,509,160.00 VND",https://www.ebay.com/itm/297135683781,https://i.ebayimg.com/images/g/u1cAAOSwmK5n3T~z/s-l140.jpg,"Sold  Mar 28, 2025"
Rare New Vintage 1996 Soccer Super Heroes Steve McManaman Liverpool ,"1,000,729.20 VND",https://www.ebay.com/itm/376088060758,https://i.ebayimg.com/images/g/8f4AAOSwcYFj3rxx/s-l140.jpg,"Sold  Mar 26, 2025"
STEVE McMANAMAN / 1of1,"1,994,250.86 VND",https://www.ebay.com/itm/396339704576,https://i.ebayimg.com/images/g/TiYAAeSwveBn3B0W/s-l140.jpg,"Sold  Mar 24, 2025"
"Steve McManaman autograph, original hand signed card Liverpool England Madrid","99,739.34 VND",https://www.ebay.com/itm/156493762283,https://i.ebayimg.com/images/g/eYwAAOSwuJVmfsIT/s-l140.jpg,"Sold  Mar 20, 2025"
Steve McManaman Auto /25 2024-25 Topps Palatial Liverpool,"3,335,764.00 VND",https://www.ebay.com/itm/396308276313,https://i.ebayimg.com/images/g/FfUAAeSwqIVn0DCy/s-l140.jpg,"Sold  Mar 18, 2025"
Steve McManaman England World Cup 1998 2002 European Championship 1996 Photo ORIGINAL,"170,935.79 VND",https://www.ebay.com/itm/395677620382,https://i.ebayimg.com/images/g/PDMAAOSwdapm0IJm/s-l140.jpg,"Sold  Mar 13, 2025"
 Topps - Palatial Liverpool FC - Premium Box - Steve McManaman Auto /25 - ,"2,668,611.20 VND",https://www.ebay.com/itm/306161145572,https://i.ebayimg.com/images/g/PQ0AAeSw8ixnyZGj/s-l140.jpg,"Sold  Mar 12, 2025"
"2023 DAKA Liverpool Legend, Steve McManaman & Michael Owen Dual Autograph","2,252,031.00 VND",https://www.ebay.com/itm/297063890312,https://i.ebayimg.com/images/g/Q70AAOSwUKhngzkj/s-l140.jpg,"Sold  Mar 7, 2025"
Sainsburys Official England Squad Medal Collection 1998 - Steve McManaman,"66,715.28 VND",https://www.ebay.com/itm/256573371703,https://i.ebayimg.com/images/g/UkcAAOSw83FmlS4v/s-l140.jpg,"Sold  Mar 4, 2025"
Merlin Premier League 96 - Steve McManaman Liverpool No. 101,"66,381.70 VND",https://www.ebay.com/itm/196878701286,https://i.ebayimg.com/images/g/V7oAAOSwCJxnU~X3/s-l140.jpg,"Sold  Mar 3, 2025"
Liverpool Soccer Super Heroes 10'' Figure - Steve Mcmanaman,"598,769.64 VND",https://www.ebay.com/itm/135480148283,https://i.ebayimg.com/images/g/OiYAAOSw5XVnd-6o/s-l140.jpg,"Sold  Feb 28, 2025"
Corinthians Prostars 2004 Steve McManaman England Collectors Ed Football Figure,"166,454.62 VND",https://www.ebay.com/itm/186925005022,https://i.ebayimg.com/images/g/jVcAAOSwYCxhiqbN/s-l140.jpg,"Sold  Feb 17, 2025"
Panini - Super Players 98 - PFA Collection - Steve McManaman - Super Heroes # VV,"66,381.70 VND",https://www.ebay.com/itm/304178260895,https://i.ebayimg.com/images/g/kisAAOSwwyhhYLZg/s-l140.jpg,"Sold  Feb 15, 2025"
Liverpool FC SELECT PRIZM Auto Alan Kennedy Robbie Fowler Steve McManaman Auto,"1,440,909.54 VND",https://www.ebay.com/itm/356564232518,https://i.ebayimg.com/images/g/KJQAAOSwCm9nrSYp/s-l140.jpg,"Sold  Feb 12, 2025"
PANINI 1996 ESTRELLAS EUROPEAS -STEVE McMANAMAN - LIVERPOOL,"173,126.15 VND",https://www.ebay.com/itm/135533616726,https://i.ebayimg.com/images/g/2ugAAOSwlH1noke6/s-l140.jpg,"Sold  Feb 11, 2025"
1997 Steve McManaman Liverpool Soccer Super Hero Figure Vivid Imaginations,"733,534.50 VND",https://www.ebay.com/itm/176833476652,https://i.ebayimg.com/images/g/uKQAAOSwmWJnfplG/s-l140.jpg,"Sold  Feb 10, 2025"
"STEVE McMANAMAN LIVERPOOL 1996 VIVID IMAGINATIONS 9"" FOOTBALL FIGURE","325,236.99 VND",https://www.ebay.com/itm/196980706382,https://i.ebayimg.com/images/g/j6wAAOSwzkVnmsRt/s-l140.jpg,"Sold  Feb 10, 2025"
SAINSBURY'S 1998 WORLD CUP ENGLAND COIN STEVE MCMANAMAN Midfield,"33,357.64 VND",https://www.ebay.com/itm/256803040949,https://i.ebayimg.com/images/g/xKEAAOSwHrBnn9to/s-l140.jpg,"Sold  Feb 9, 2025"
