Title,Price,Link,Image Link,Sold Date
2020 Prizm Premier League TAKUMI MINAMINO #251 Blue Pulsar Liverpool FC,"25,527.15 VND",https://www.ebay.com/itm/236017967443,https://i.ebayimg.com/images/g/288AAOSwgihn00ff/s-l500.jpg,"Sold  Apr 6, 2025"
2020 Prizm Premier League TAKUMI MINAMINO #251 Blue Pulsar Liverpool FC,"25,527.15 VND",https://www.ebay.com/itm/236017967443,https://i.ebayimg.com/images/g/288AAOSwgihn00ff/s-l140.jpg,"Sold  Apr 6, 2025"
2020-21 Panini Prizm Premier League soccer Takumi Minamino Orange /25 Liverpool,"206,280.00 VND",https://www.ebay.com/itm/135660972106,https://i.ebayimg.com/images/g/w~EAAeSw40Bn6Zp6/s-l140.jpg,"Sold  Apr 6, 2025"
2020-21 Panini Prizm Premier League soccer Takumi Minamino Orange /25 Liverpool,"206,280.00 VND",https://www.ebay.com/itm/135660972106,https://i.ebayimg.com/images/g/w~EAAeSw40Bn6Zp6/s-l500.jpg,"Sold  Apr 6, 2025"
Takumi Minamino - 2021-22 Panini Prizm Premier League Choice - Tiger Prizm PSA10,"482,798.34 VND",https://www.ebay.com/itm/405695320531,https://i.ebayimg.com/images/g/d4QAAeSwsONn1mqo/s-l140.jpg,"Sold  Mar 30, 2025"
Takumi Minamino - 2021-22 Panini Prizm Premier League Choice - Tiger Prizm PSA10,"482,798.34 VND",https://www.ebay.com/itm/405662118266,https://i.ebayimg.com/images/g/d4QAAeSwsONn1mqo/s-l140.jpg,"Sold  Mar 20, 2025"
2022 Panini Prizm World Cup Qatar - National Landmarks #14 Takumi Minamino,"3,867,492.15 VND",https://www.ebay.com/itm/116241680969,https://i.ebayimg.com/images/g/2U4AAOSw~fFmiFct/s-l140.jpg,"Sold  Mar 28, 2025"
2022 Panini Prizm World Cup Qatar - National Landmarks #14 Takumi Minamino,"3,223,125.00 VND",https://www.ebay.com/itm/166884658287,https://i.ebayimg.com/images/g/xoYAAOSwmehmoTdV/s-l140.jpg,"Sold  Mar 19, 2025"
2022 Prizm FIFA World Cup Qatar Takumi Minamino Auto Japan LK132,"283,635.00 VND",https://www.ebay.com/itm/316365120856,https://i.ebayimg.com/images/g/uFAAAOSwECZnuouM/s-l140.jpg,"Sold  Feb 27, 2025"
2022 Prizm FIFA World Cup Qatar Takumi Minamino International Ink Auto Japan,"773,292.15 VND",https://www.ebay.com/itm/256756629093,https://i.ebayimg.com/images/g/qQMAAOSwdCRnZLh6/s-l140.jpg,"Sold  Feb 18, 2025"
2021 Panini Prizm Premier League Takumi Minamino Prizms Blue #7/340,"25,527.15 VND",https://www.ebay.com/itm/375988873948,https://i.ebayimg.com/images/g/PhcAAeSwjuxnq7bQ/s-l140.jpg,"Sold  Feb 16, 2025"
2021-22 Panini Prizm Premier League #81 Takumi Minamino Prizms Hyper,"15,418.40 VND",https://www.ebay.com/itm/306041733621,https://i.ebayimg.com/images/g/TJ8AAOSwxHJnhxq0/s-l140.jpg,"Sold  Jan 21, 2025"
N°261 Panini Foot 2024-2025 Ligue 1 McDonald's Takumi Minamino AS Monaco Metal,"56,217.59 VND",https://www.ebay.com/itm/335736538022,https://i.ebayimg.com/images/g/3eAAAOSwZhNnYyKW/s-l140.jpg,"Sold  Dec 22, 2024"
2024-25 Topps UEFA Competition Takumi Minamino Gold 43/50 Monaco Japan,"103,140.00 VND",https://www.ebay.com/itm/365481105922,https://i.ebayimg.com/images/g/ut0AAOSwTTpn4hD9/s-l140.jpg,"Sold  Mar 29, 2025"
Takumi Minamino 2020-21 Prizm Premier League EPL Green Wave Prizm SP Japan #251,"51,570.00 VND",https://www.ebay.com/itm/155918336073,https://i.ebayimg.com/images/g/tBcAAOSwHz5lZ9iF/s-l140.jpg,"Sold  Mar 28, 2025"
2022 Merlin Chrome UEFA Takumi Minamino Refractor #18 AS Monaco,"36,099.00 VND",https://www.ebay.com/itm/196371250962,https://i.ebayimg.com/images/g/VmMAAOSwPCdmMFLs/s-l140.jpg,"Sold  Mar 27, 2025"
2022 Panini Prizm Soccer World Cup Qatar No. 133 Takumi Minamino,"28,250.05 VND",https://www.ebay.com/itm/316170274450,https://i.ebayimg.com/images/g/~VoAAOSwBJRkcgEu/s-l140.jpg,"Sold  Mar 25, 2025"
TAKUMI MINAMINO 2024-25 Topps UEFA CC #57 Green 21/99 AS Monaco FC,"51,312.15 VND",https://www.ebay.com/itm/197124618290,https://i.ebayimg.com/images/g/1usAAeSwHg1n2hSY/s-l140.jpg,"Sold  Mar 22, 2025"
2022 Panini Prizm World Cup Prizms Blue Mojo Refractor 133 Takumi Minamino 46/75,"257,850.00 VND",https://www.ebay.com/itm/365338382456,https://i.ebayimg.com/images/g/~JYAAOSwfw1ngzkS/s-l140.jpg,"Sold  Mar 15, 2025"
2022 Prizm World Cup Takumi Minamino Gold Prizm /10  🇯🇵  #133,"3,274,695.00 VND",https://www.ebay.com/itm/365447960642,https://i.ebayimg.com/images/g/gqEAAeSwnfFnzIYO/s-l140.jpg,"Sold  Mar 9, 2025"
2019-20 Panini Prizm PL Soccer Chronicles #319 Takumi Minamino Rookie RC Card,"614,738.90 VND",https://www.ebay.com/itm/266806258402,https://i.ebayimg.com/images/g/W08AAeSwGqBnwlBy/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Panini Prizm World Cup Qatar Blue Wave Prizm /199 Takumi Minamino #133,"102,882.15 VND",https://www.ebay.com/itm/335749990533,https://i.ebayimg.com/images/g/R1YAAOSwlCpncXG2/s-l140.jpg,"Sold  Feb 25, 2025"
2024-25 Topps UEFA Club Competitions Takumi Minamino Blue /275,"25,527.15 VND",https://www.ebay.com/itm/396223622370,https://i.ebayimg.com/images/g/UXIAAOSwJNRndClN/s-l140.jpg,"Sold  Feb 23, 2025"
2022 Panini Prizm World Cup Qatar Signatures Takumi Minamino #S-TMI Auto,"755,242.65 VND",https://www.ebay.com/itm/235967581191,https://i.ebayimg.com/images/g/nS4AAeSwCXdnt7jl/s-l140.jpg,"Sold  Feb 22, 2025"
Takumi Minamino 2020 Topps Living Set UEFA Champions League #227,"386,517.15 VND",https://www.ebay.com/itm/196568646881,https://i.ebayimg.com/images/g/36IAAOSwU8hmwoDk/s-l140.jpg,"Sold  Feb 19, 2025"
2022 Panini prizm World Cup Japan card Maroon /22 Takumi Minamino Fifa,"1,288,992.15 VND",https://www.ebay.com/itm/166791725642,https://i.ebayimg.com/images/g/LscAAOSwaIBkyWLL/s-l140.jpg,"Sold  Feb 15, 2025"
2023 Topps Merlin UEFA #18 Takumi Minamino Rose Gold Refractor /299,"206,022.15 VND",https://www.ebay.com/itm/225740733071,https://i.ebayimg.com/images/g/sNkAAOSwFm1k5ONY/s-l140.jpg,"Sold  Feb 10, 2025"
Mohamed Salah Phil Foden Takumi Minamino 2024-25 Topps UEFA 6 Cards Lots [kzg16,"25,785.00 VND",https://www.ebay.com/itm/375964268421,https://i.ebayimg.com/images/g/-kcAAOSwgu9njwUq/s-l140.jpg,"Sold  Feb 6, 2025"
2020-21 Panini Prizm Premier League - Red Cracked Ice #251 Takumi Minamino,"25,527.15 VND",https://www.ebay.com/itm/316130339697,https://i.ebayimg.com/images/g/5j4AAOSwOi5nhL0l/s-l140.jpg,"Sold  Jan 30, 2025"
Takumi Minamino 2024-25 Topps Soccer UEFA Blue Icy 44/75 [xin11,"32,231.25 VND",https://www.ebay.com/itm/375938633306,https://i.ebayimg.com/images/g/HyMAAOSwaQBnjxzb/s-l140.jpg,"Sold  Jan 25, 2025"
Mohamed Salah Phil Foden Takumi Minamino 2024-25 Topps UEFA 6 Cards Lots [kzg16,"77,355.00 VND",https://www.ebay.com/itm/375938438558,https://i.ebayimg.com/images/g/-kcAAOSwgu9njwUq/s-l140.jpg,"Sold  Jan 25, 2025"
Topps 24/25 UEFA FLAGSHIP - Cover Stars Takumi Minamino,"25,785.00 VND",https://www.ebay.com/itm/167260800830,https://i.ebayimg.com/images/g/sewAAOSwVURncHtR/s-l140.jpg,"Sold  Jan 25, 2025"
2024-25 Topps UEFA Club Competition Takumi Minamino Team Logo Variation SSP,"386,775.00 VND",https://www.ebay.com/itm/396076552717,https://i.ebayimg.com/images/g/vsAAAOSwSy9ndCnO/s-l140.jpg,"Sold  Jan 25, 2025"
2022 Prizm FIFA World Cup Qatar Soccer Japan Takumi Minamino Autograph Card Auto,"773,292.15 VND",https://www.ebay.com/itm/405385602544,https://i.ebayimg.com/images/g/~4cAAOSwLONnSDWO/s-l140.jpg,"Sold  Jan 25, 2025"
Takumi Minamino 2024-25 Topps UEFA Club Competitions 114/199 Neon Green [kjl2,"25,785.00 VND",https://www.ebay.com/itm/375930241385,https://i.ebayimg.com/images/g/PjgAAOSw7eZniycj/s-l140.jpg,"Sold  Jan 22, 2025"
Takumi Minamino 2024-25 Topps UEFA Flagship Northern Lights Monaco,"128,925.00 VND",https://www.ebay.com/itm/176800001365,https://i.ebayimg.com/images/g/6H0AAOSwu4dnjwaU/s-l140.jpg,"Sold  Jan 21, 2025"
2024-25 Topps UEFA Club Competitions Cover Stars #CS6 Takumi Minamino,"64,462.50 VND",https://www.ebay.com/itm/316136645236,https://i.ebayimg.com/images/g/Q54AAOSwqHVni9yj/s-l140.jpg,"Sold  Jan 20, 2025"
2024-25 Topps UEFA Champions Takumi Minamino Navy Blue 105/275 [kzg12,"25,785.00 VND",https://www.ebay.com/itm/375925300694,https://i.ebayimg.com/images/g/EiYAAOSw~tNndfvg/s-l140.jpg,"Sold  Jan 19, 2025"
2024-25 Topps UEFA Soccer Takumi Minamino Blue 087/125 [kzg13,"25,785.00 VND",https://www.ebay.com/itm/375925081265,https://i.ebayimg.com/images/g/mT4AAOSwDEtnd0iZ/s-l140.jpg,"Sold  Jan 19, 2025"
2024-25 Topps UEFA Champions Takumi Minamino Neon Green 197/199 [kzg12,"32,231.25 VND",https://www.ebay.com/itm/375923539698,https://i.ebayimg.com/images/g/G0UAAOSwgi5ndgnv/s-l140.jpg,"Sold  Jan 18, 2025"
2024-25 Topps UEFA Club Competitions Takumi Minamino #57 AS Monaco RAINDROP,"51,312.15 VND",https://www.ebay.com/itm/405481908192,https://i.ebayimg.com/images/g/kFMAAOSwrDZniSBq/s-l140.jpg,"Sold  Jan 18, 2025"
2024-25 Topps UEFA UCC Takumi Minamino GREEN Cover Stars Insert #/99 AS Monaco,"32,231.25 VND",https://www.ebay.com/itm/196941588994,https://i.ebayimg.com/images/g/Kb4AAOSwnfRngTU7/s-l140.jpg,"Sold  Jan 17, 2025"
2024-25 Topps UEFA Competition Takumi Minamino Orange 7/25 Monaco Japan,"128,925.00 VND",https://www.ebay.com/itm/365338151261,https://i.ebayimg.com/images/g/NR0AAOSw5OFngx5h/s-l140.jpg,"Sold  Jan 16, 2025"
2024-25 Topps UEFA Takumi Minamino Cover Stars Gold 6/50 Monaco Japan CS-6,"128,925.00 VND",https://www.ebay.com/itm/365338151056,https://i.ebayimg.com/images/g/qmEAAOSwBG5ngx5T/s-l140.jpg,"Sold  Jan 16, 2025"
2022 Prizm World Cup Takumi Minamino Red #114/399 #133,"25,527.15 VND",https://www.ebay.com/itm/126875134306,https://i.ebayimg.com/images/g/5NcAAOSwxyNngEDH/s-l140.jpg,"Sold  Jan 14, 2025"
2024-25 Topps UEFA Takumi Minamino Kylian Mbappe Musiala 21 Cards Lots [xin2,"399,667.50 VND",https://www.ebay.com/itm/375915748789,https://i.ebayimg.com/images/g/r5cAAOSwPtdngId2/s-l140.jpg,"Sold  Jan 14, 2025"
2024-25 topps uefa club competition Takumi Minamino Foilfractor 1/1,"4,161,183.30 VND",https://www.ebay.com/itm/405459280591,https://i.ebayimg.com/images/g/DjQAAOSwqPlnexJf/s-l140.jpg,"Sold  Jan 12, 2025"
2024-25 Topps UEFA Soccer Takumi Minamino Blue 087/125 [kzg13,"83,801.25 VND",https://www.ebay.com/itm/375901259957,https://i.ebayimg.com/images/g/mT4AAOSwDEtnd0iZ/s-l140.jpg,"Sold  Jan 7, 2025"
