Title,Price,Link,Image Link,Sold Date
2021-22 Panini Chronicles Contenders Auto La Liga Thiago Alcantara /389,"705,968.65 VND",https://www.ebay.com/itm/405473214144,https://i.ebayimg.com/images/g/D7cAAOSwkxdng9Io/s-l140.jpg,"Sold  Mar 10, 2025"
2021-22 Panini Chronicles Contenders La Liga /389 Thiago Alcantara #CA-THI Auto,"458,715.15 VND to 605,431.80 VND",https://www.ebay.com/itm/335744669107,https://i.ebayimg.com/images/g/CYYAAOSwbmlnhs6z/s-l140.jpg,"Sold  Jan 24, 2025"
2020 Panini Select UEFA Euro Preview Thiago Alcantara Blue /225 Spain b,"84,467.64 VND",https://www.ebay.com/itm/405558350776,https://i.ebayimg.com/images/g/E5EAAOSwkxlntFFd/s-l140.jpg,"Sold  Mar 1, 2025"
2020 Panini Select UEFA Euro Blue Prizm Thiago Alcantara 177/225 Spain #38,"25,527.15 VND",https://www.ebay.com/itm/387843597372,https://i.ebayimg.com/images/g/nM0AAOSwqTRnjtD6/s-l140.jpg,"Sold  Jan 27, 2025"
THIAGO ALCANTARA LIVERPOOL TEAM SET TOPPS 2022-23 PREMIER LEAGUE PATCH,"268,375.44 VND",https://www.ebay.com/itm/135513633990,https://i.ebayimg.com/images/g/lv0AAOSwDdhnj8pR/s-l140.jpg,"Sold  Feb 2, 2025"
THIAGO ALCANTARA LIVERPOOL TEAM SET TOPPS 2022-23 PREMIER LEAGUE AUTO,"316,118.01 VND",https://www.ebay.com/itm/135513633952,https://i.ebayimg.com/images/g/5a0AAOSwOxlnj8rD/s-l140.jpg,"Sold  Feb 2, 2025"
THIAGO ALCANTARA LIVERPOOL FC TEAM SET TOPPS 2022-23 EPL PATCH,"256,688.57 VND",https://www.ebay.com/itm/135568478832,https://i.ebayimg.com/images/g/aE4AAOSwkLlntf-H/s-l140.jpg,"Sold  Mar 2, 2025"
2022 Topps Finest UEFA Thiago Alcantara Auto #A-TA Liverpool,"232,065.00 VND",https://www.ebay.com/itm/267148686392,https://i.ebayimg.com/images/g/-bcAAOSwHYdnh1LS/s-l140.jpg,"Sold  Apr 1, 2025"
2023 Topps Finest UEFA Thiago Alcantara Auto #A-TA,"241,863.30 VND",https://www.ebay.com/itm/126925281505,https://i.ebayimg.com/images/g/gocAAOSwvzJnj~qi/s-l140.jpg,"Sold  Feb 11, 2025"
2022 Topps Finest UEFA Thiago Alcantara Auto #A-TA Liverpool,"32,231.25 VND",https://www.ebay.com/itm/267138187471,https://i.ebayimg.com/images/g/-bcAAOSwHYdnh1LS/s-l140.jpg,"Sold  Feb 1, 2025"
