Title,Price,Link,Image Link,Sold Date
Panini Select UEFA Euro 2020 Thierry Henry Auto /49 PSA 9 France Arsenal ,"4,984,369.43 VND",https://www.ebay.com/itm/116545819457,https://i.ebayimg.com/images/g/a1QAAeSwzwVn7ic-/s-l140.jpg,"Sold  Apr 3, 2025"
Panini Select UEFA Euro 2020 Thierry Henry Auto /49 PSA 9 France ,"4,984,369.43 VND",https://www.ebay.com/itm/116539079035,https://i.ebayimg.com/images/g/oSkAAeSwMG9n50Yu/s-l140.jpg,"Sold  Mar 29, 2025"
2024-25 Panini Donruss FIFA Thierry Henry AUTO The Beautiful Game HOF w/Case,"3,867,492.15 VND",https://www.ebay.com/itm/226676669466,https://i.ebayimg.com/images/g/ROcAAOSwuIRntyAL/s-l140.jpg,"Sold  Apr 1, 2025"
2024-25 Panini Donruss FIFA Thierry Henry AUTO The Beautiful Game HOF ⭐️ MINT,"4,382,160.75 VND",https://www.ebay.com/itm/226609501121,https://i.ebayimg.com/images/g/ROcAAOSwuIRntyAL/s-l140.jpg,"Sold  Apr 1, 2025"
THIERRY HENRY 2010 Panini World Cup France PSA 6 ,"77,097.15 VND",https://www.ebay.com/itm/167399770922,https://i.ebayimg.com/images/g/K~QAAeSw8~Nnugvr/s-l140.jpg,"Sold  Mar 31, 2025"
THIERRY HENRY PSA 10 2010 Panini World Cup France ,"1,263,465.00 VND",https://www.ebay.com/itm/167292186005,https://i.ebayimg.com/images/g/oygAAOSwuipnF8vf/s-l140.jpg,"Sold  Feb 10, 2025"
2024-25 Donruss FIFA THIERRY HENRY Red Crunch Time Panini #25,"25,785.00 VND",https://www.ebay.com/itm/297071602047,https://i.ebayimg.com/images/g/UdMAAOSwCxNnoVA7/s-l140.jpg,"Sold  Mar 31, 2025"
2024-25 Donruss FIFA THIERRY HENRY Red Crunch Time Panini #25,"25,527.15 VND",https://www.ebay.com/itm/126941445871,https://i.ebayimg.com/images/g/IOEAAeSw5AZnr5tB/s-l140.jpg,"Sold  Feb 21, 2025"
2024-25 Donruss FIFA THIERRY HENRY Red Crunch Time Panini #25,"25,527.15 VND",https://www.ebay.com/itm/296979715249,https://i.ebayimg.com/images/g/9dgAAOSwAmZnnpEi/s-l140.jpg,"Sold  Feb 6, 2025"
PANINI CHRONICLES PREMIER LEAGUE 2022-23 THIERRY HENRY SILVER PRIZM ARSENAL,"78,753.04 VND",https://www.ebay.com/itm/365476077176,https://i.ebayimg.com/images/g/AjMAAeSwtW1n3tbk/s-l140.jpg,"Sold  Mar 29, 2025"
PANINI CHRONICLES PREMIER LEAGUE 2022-23 THIERRY HENRY /99 PRIZM ARSENAL,"1,176,311.18 VND",https://www.ebay.com/itm/365476074463,https://i.ebayimg.com/images/g/Dw8AAeSwycln3tam/s-l140.jpg,"Sold  Mar 29, 2025"
PANINI CHRONICLES PREMIER LEAGUE 2022-23 THIERRY HENRY /49 PRIZM ARSENAL,"1,495,975.41 VND",https://www.ebay.com/itm/365476071033,https://i.ebayimg.com/images/g/2iMAAeSwn9Rn3tZZ/s-l140.jpg,"Sold  Mar 29, 2025"
PANINI CHRONICLES PREMIER LEAGUE 2022-23 THIERRY HENRY PRIZM RED MOJO ARSENAL,"1,414,896.33 VND",https://www.ebay.com/itm/365476067512,https://i.ebayimg.com/images/g/oBQAAeSwaMln3tXY/s-l140.jpg,"Sold  Mar 29, 2025"
2023-24 Panini Select FIFA Thierry Henry RARE Unstoppable Blue Prizm SSP ⭐️ MINT,"128,667.15 VND",https://www.ebay.com/itm/226577021444,https://i.ebayimg.com/images/g/z8MAAOSwcL9nnluj/s-l140.jpg,"Sold  Feb 5, 2025"
2023-24 Panini Select FIFA Thierry Henry Unstoppable Silver Prizm No. 25 Arsenal,"115,774.65 VND",https://www.ebay.com/itm/396240483510,https://i.ebayimg.com/images/g/OFIAAeSwebBnu-l8/s-l140.jpg,"Sold  Mar 15, 2025"
2023-24 Panini Select FIFA Thierry Henry Unstoppable Silver Prizm No. 25 Arsenal,"128,925.00 VND",https://www.ebay.com/itm/405341323737,https://i.ebayimg.com/images/g/qcgAAOSwZA5m8DNE/s-l140.jpg,"Sold  Jan 30, 2025"
2023-24 Panini Select FIFA Thierry Henry Unstoppable Silver Prizm No. 25 Arsenal,"90,247.50 VND",https://www.ebay.com/itm/396059923612,https://i.ebayimg.com/images/g/s04AAOSwDh9nbldX/s-l140.jpg,"Sold  Jan 27, 2025"
2006 Panini World Cup Stickers Thierry Henry #469 NM-MT,"128,667.15 VND",https://www.ebay.com/itm/176594736156,https://i.ebayimg.com/images/g/6NMAAOSwEMZm80p9/s-l140.jpg,"Sold  Mar 24, 2025"
2006 Panini Fifa World Cup Stickers Thierry Henry #469 PSA 9,"515,442.15 VND",https://www.ebay.com/itm/135594005440,https://i.ebayimg.com/images/g/PYoAAOSwnqtnxTLV/s-l140.jpg,"Sold  Mar 9, 2025"
2002 Panini World Cup Japanese Edition Thierry Henry #56 PSA 9 MINT,"1,459,431.00 VND",https://www.ebay.com/itm/235960661866,https://i.ebayimg.com/images/g/W2oAAeSwwztnsXTQ/s-l140.jpg,"Sold  Mar 24, 2025"
