Title,Price,Link,Image Link,Sold Date
2024-25 Panini Donruss Fifa Tierna Davidson Blue 33/49 USA USWNT Olympic Gold,"77,355.00 VND",https://www.ebay.com/itm/365468837863,https://i.ebayimg.com/images/g/x2MAAOSwvUJn2hNm/s-l140.jpg,"Sold  Mar 23, 2025"
2024-25 Panini Donruss Fifa Tierna Davidson Blue 33/49 USA USWNT Olympic Gold,"32,231.25 VND",https://www.ebay.com/itm/365444412042,https://i.ebayimg.com/images/g/u8gAAOSwLmtnyj-G/s-l140.jpg,"Sold  Mar 11, 2025"
2025 Panini Donruss Tierna Davidson Optic Teal Mojo 29/49 USA USWNT Olympic Gold,"58,545.00 VND",https://www.ebay.com/itm/365439851641,https://i.ebayimg.com/images/g/BuYAAOSwRCxnx5ue/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss Tierna Davidson Optic Red 17/299 USA USWNT Olympic Gold,"26,020.00 VND",https://www.ebay.com/itm/365419349659,https://i.ebayimg.com/images/g/yw8AAOSwh4Bnu74M/s-l140.jpg,"Sold  Feb 28, 2025"
2024-25 Panini Donruss Tierna Davidson Optic Gold 3/10 USA USWNT Olympic Gold,"777,477.60 VND",https://www.ebay.com/itm/365405867022,https://i.ebayimg.com/images/g/oX0AAOSwEJlns9WS/s-l140.jpg,"Sold  Feb 22, 2025"
2024-25 Panini Donruss Tierna Davidson Optic Gold 3/10 USA USWNT Olympic Gold,"328,892.80 VND",https://www.ebay.com/itm/365384679916,https://i.ebayimg.com/images/g/q6oAAOSwPjdnpqb3/s-l140.jpg,"Sold  Feb 12, 2025"
Tierna Davidson - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #11,"64,204.65 VND",https://www.ebay.com/itm/297125520485,https://i.ebayimg.com/images/g/RswAAeSwrexn2O7H/s-l140.jpg,"Sold  Mar 22, 2025"
Tierna Davidson - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #3,"64,204.65 VND",https://www.ebay.com/itm/235926141227,https://i.ebayimg.com/images/g/-J4AAOSwFutnkchY/s-l140.jpg,"Sold  Jan 25, 2025"
Tierna Davidson - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"103,655.70 VND",https://www.ebay.com/itm/235923310772,https://i.ebayimg.com/images/g/mwEAAOSwumBnjyUM/s-l140.jpg,"Sold  Jan 23, 2025"
Tierna Davidson - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #9,"244,957.50 VND",https://www.ebay.com/itm/226572571666,https://i.ebayimg.com/images/g/YFkAAeSw3lRnmwOC/s-l140.jpg,"Sold  Feb 1, 2025"
Tierna Davidson - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #8,"109,586.25 VND",https://www.ebay.com/itm/226570782917,https://i.ebayimg.com/images/g/91IAAeSwCYNnmbb3/s-l140.jpg,"Sold  Jan 31, 2025"
Tierna Davidson - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #5,"64,204.65 VND",https://www.ebay.com/itm/226565665631,https://i.ebayimg.com/images/g/ytsAAOSw~Alnlb0Z/s-l140.jpg,"Sold  Jan 28, 2025"
2024-25 Panini Donruss FIFA Optic Prizm Red Parallel Tierna Davidson /299 SP USA,"25,785.00 VND",https://www.ebay.com/itm/365437938144,https://i.ebayimg.com/images/g/mK0AAOSwHehnxmR7/s-l140.jpg,"Sold  Mar 8, 2025"
2024-25 Panini Donruss FIFA - Optic Prizm Red #174 Tierna Davidson /299,"6,446.25 VND",https://www.ebay.com/itm/387954805795,https://i.ebayimg.com/images/g/jw4AAOSwP5NnpDkW/s-l140.jpg,"Sold  Feb 21, 2025"
2024-25 Panini Donruss FIFA - Optic Prizm Red #174 Tierna Davidson /299,"12,892.50 VND",https://www.ebay.com/itm/186927150196,https://i.ebayimg.com/images/g/-m8AAOSwrGlnl-dG/s-l140.jpg,"Sold  Feb 10, 2025"
2021-22 Panini Obsidian Soccer Tierna Davidson RED Etch Aurora Auto 24/25 USA,"1,031,400.00 VND",https://www.ebay.com/itm/305719042762,https://i.ebayimg.com/images/g/K2wAAOSwpQVmtX7u/s-l140.jpg,"Sold  Feb 12, 2025"
