Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm Premier League Breakaway Prizm Toby Alderweireld #152,"65,751.75 VND to 429,062.40 VND",https://www.ebay.com/itm/235882269921,https://i.ebayimg.com/images/g/72QAAOSwR5Vnkj3r/s-l140.jpg,"Sold  Jan 22, 2025"
2019 Panini Prizm Premier League Teal Breakaway Prizm 28/35 Toby Alderweireld,"150,326.55 VND",https://www.ebay.com/itm/335751610472,https://i.ebayimg.com/images/g/2vIAAOSwDxxnc0c6/s-l140.jpg,"Sold  Jan 9, 2025"
2019-20 Topps Chrome Sapphire UEFA Champions League #56 Toby Alderweireld,"43,576.65 VND",https://www.ebay.com/itm/365093456161,https://i.ebayimg.com/images/g/IFQAAeSwun5n12n6/s-l140.jpg,"Sold  Dec 26, 2024"
2019-20 Topps Chrome UEFA Champions Speckle Refractors #56 Toby Alderweireld,"64,462.50 VND",https://www.ebay.com/itm/365093467118,https://i.ebayimg.com/images/g/DjsAAeSwn5ZnrYio/s-l140.jpg,"Sold  Feb 19, 2025"
2016-17 Panini Select Mezzanine Blue Prizm /249 Toby Alderweireld #168,"32,004.60 VND to 41,111.60 VND",https://www.ebay.com/itm/235859412864,https://i.ebayimg.com/images/g/otEAAOSwaNtnUoG6/s-l140.jpg,"Sold  Jan 24, 2025"
2016-17 Panini Select Mezzanine Neon Green Prizm /60 Toby Alderweireld #168,"88,988.40 VND to 462,895.80 VND",https://www.ebay.com/itm/235815652581,https://i.ebayimg.com/images/g/NNwAAOSwnIpnKBdK/s-l140.jpg,"Sold  Jan 24, 2025"
2020-21 Panini Prizm Premier League #152 Toby Alderweireld Pink Ice Prizm,"102,882.15 VND",https://www.ebay.com/itm/356611792731,https://i.ebayimg.com/images/g/JTEAAeSwLH9nvxoX/s-l140.jpg,"Sold  Apr 2, 2025"
Toby Alderweireld Topps Chrome UEFA Champions League Tottenham Hotspur GEM MINT,"25,527.15 VND",https://www.ebay.com/itm/396131450142,https://i.ebayimg.com/images/g/DEUAAOSwD-hk6RZz/s-l140.jpg,"Sold  Feb 27, 2025"
2019 TOPPS LIVING SET #11 TOBY ALDERWEIRELD *CHAMPIONS SOCCER PSA 10 GEM MINT*,"1,547,100.00 VND",https://www.ebay.com/itm/164904638640,https://i.ebayimg.com/images/g/D90AAOSwb0pgwE~v/s-l140.jpg,"Sold  Feb 28, 2025"
PANINI SELECT UEFA EURO SOCCER 2020 TOBY ALDERWEIRELD BELGIUM PARALLEL 22/60,"106,333.21 VND",https://www.ebay.com/itm/156652854904,https://i.ebayimg.com/images/g/CiIAAOSwLvtnl7Mj/s-l140.jpg,"Sold  Feb 8, 2025"
2020-21 Prizm English Premier League Prizms Blue Pulsar #152 Toby Alderweireld,"51,570.00 VND",https://www.ebay.com/itm/365087556197,https://i.ebayimg.com/images/g/F8wAAOSwH5BnlHyt/s-l140.jpg,"Sold  Jan 31, 2025"
2020 Topps Chrome Match Attax UEFA Toby Alderweireld Green #90/99,"25,759.80 VND",https://www.ebay.com/itm/376133343685,https://i.ebayimg.com/images/g/-LcAAeSwsVNn8CgE/s-l500.jpg,"Sold  Apr 9, 2025"
2019 Topps Chrome UCL Toby Alderweireld #56 Sapphire Padparadscha 1/1 PSA 10,"15,612,000.00 VND",https://www.ebay.com/itm/356738462415,https://i.ebayimg.com/images/g/WUYAAOSwOKpn7-xL/s-l140.jpg,"Sold  Apr 5, 2025"
2020 Panini Adrenalyn XL Euro 397 - Toby Alderweireld - Defensive Rock,"62,391.56 VND",https://www.ebay.com/itm/303511353895,https://i.ebayimg.com/images/g/9DoAAOSwOFhlgYgF/s-l140.jpg,"Sold  Apr 5, 2025"
