Title,Price,Link,Image Link,Sold Date
Burnley Turf Moor Stadium PERSONALISED Edible Cake/Cupcake Toppers Football Gift,"146,440.04 VND to 236,505.67 VND",https://www.ebay.com/itm/155737337407,https://i.ebayimg.com/images/g/nZIAAOSwRiNk6LZB/s-l140.jpg,"Sold  Apr 1, 2025"
Turf Moor Embroidered Beanie. Burnley Football Fan  Inspired.,"433,649.32 VND",https://www.ebay.com/itm/267110904370,https://i.ebayimg.com/images/g/WbEAAOSw9YtncwIc/s-l140.jpg,"Sold  Feb 12, 2025"
Turf Moor Stadium - Burnley Football Poster - A5/A4/A3/A2/A1/A0,"298,550.88 VND to 1,666,214.12 VND",https://www.ebay.com/itm/395048249552,https://i.ebayimg.com/images/g/dHAAAOSwLQJlcZtZ/s-l140.jpg,"Sold  Mar 23, 2025"
BURNLEY - Superb Vintage ANDY CAPP Style Enamel Football Pin turf Moor kompany ,"296,883.00 VND",https://www.ebay.com/itm/387247801615,https://i.ebayimg.com/images/g/3QkAAOSwL81j3l-p/s-l140.jpg,"Sold  Mar 16, 2025"
Burnley FC 3D Map - Turf Moor Stadium Wooden Wall Art Gift,"1,267,590.32 VND",https://www.ebay.com/itm/165727339419,https://i.ebayimg.com/images/g/u-kAAOSwf79jSm8r/s-l140.jpg,"Sold  Mar 10, 2025"
"Burnley FC Gifts, Turf Moor Stadium Framed Print. The Clarets. Football Club.","532,721.51 VND to 1,420,034.73 VND",https://www.ebay.com/itm/335838769337,https://i.ebayimg.com/images/g/ih8AAOSwJOpnxYx1/s-l140.jpg,"Sold  Mar 8, 2025"
"Burnley, Turf Moor 1970's  1000 piece Jigsaw ","1,400,687.30 VND",https://www.ebay.com/itm/294646383866,https://i.ebayimg.com/images/g/1hIAAOSw~rxesWno/s-l140.jpg,"Sold  Feb 10, 2025"
FA Cup 4th Round - Burnley v Newcastle United in 1954 at Turf Moor ,"166,788.20 VND",https://www.ebay.com/itm/375954210711,https://i.ebayimg.com/images/g/UBgAAOSwXLZjHLPZ/s-l140.jpg,"Sold  Feb 3, 2025"
"Peter Chippendale Burnley:Turf Moor,Framed Football Stadium 3 Art Prints 23""x11""","666,819.22 VND",https://www.ebay.com/itm/387865101591,https://i.ebayimg.com/images/g/pBYAAOSwAIFniOAR/s-l140.jpg,"Sold  Jan 27, 2025"
1959/60  FOOTBALL PROGRAMME DIV 1 BURNLEY V LEEDS UNITED UTD TURF MOOR,"48,368.58 VND",https://www.ebay.com/itm/256770251805,https://i.ebayimg.com/images/g/IkMAAOSwG0Jndnfl/s-l140.jpg,"Sold  Jan 12, 2025"
