Title,Price,Link,Image Link,Sold Date
2022-23 Topps Chrome UEFA UCC Valentin Carboni 22/50 Gold Youthquake RC #YQ-22,"283,635.00 VND",https://www.ebay.com/itm/256758540237,https://i.ebayimg.com/images/g/sI0AAOSwny9nZ05U/s-l140.jpg,"Sold  Mar 28, 2025"
2022-23 Topps Chrome UEFA UCC Valentin Carboni 16/25 Orange Youthquake RC #YQ-22,"464,130.00 VND",https://www.ebay.com/itm/256742195755,https://i.ebayimg.com/images/g/Id8AAOSwAdlnVBfs/s-l140.jpg,"Sold  Mar 21, 2025"
2022-23 Topps Chrome UEFA UCC Valentin Carboni Youthquake RC #YQ-22,"77,355.00 VND",https://www.ebay.com/itm/256747954593,https://i.ebayimg.com/images/g/W5sAAOSwyKZnWo9O/s-l140.jpg,"Sold  Mar 3, 2025"
2022 Stadium Club Chrome UEFA Valentin Carboni Auto RC #CA-VC,"104,429.25 VND",https://www.ebay.com/itm/376077410096,https://i.ebayimg.com/images/g/H-UAAeSw-XVn2Iia/s-l140.jpg,"Sold  Mar 22, 2025"
2022 Topps Stadium Club Chrome UEFA Competitions Valentin Carboni Auto RC #CA-VC,"182,140.00 VND",https://www.ebay.com/itm/127031449087,https://i.ebayimg.com/images/g/w-4AAeSwh~hn7u6z/s-l140.jpg,"Sold  Apr 8, 2025"
Valentin Carboni RC 2022-23 Topps Stadium Club Chrome UEFA Auto Refractor [dbz1,"283,635.00 VND",https://www.ebay.com/itm/376064707368,https://i.ebayimg.com/images/g/tWwAAOSwer1n0max/s-l140.jpg,"Sold  Mar 17, 2025"
Valentin Carboni 2022-23 Topps UEFA Stadium Club Base Auto Refractor RC,"271,000.35 VND",https://www.ebay.com/itm/256781039015,https://i.ebayimg.com/images/g/ji0AAOSw7bBngLcg/s-l140.jpg,"Sold  Jan 19, 2025"
TOPPS STADIUM CHROME UEFA 2022-23 VALENTIN CARBONI RC PINK RED REFRACTOR 1:2000,"51,312.15 VND",https://www.ebay.com/itm/146369294171,https://i.ebayimg.com/images/g/Ij4AAOSwyUxnoqZK/s-l140.jpg,"Sold  Feb 9, 2025"
TOPPS STADIUM CHROME UEFA 2022-23 VALENTIN CARBONI RC /275 AQUA WAVE REFRACTOR,"51,312.15 VND",https://www.ebay.com/itm/146369292793,https://i.ebayimg.com/images/g/HtIAAOSwwsZnoqWK/s-l140.jpg,"Sold  Feb 9, 2025"
TOPPS STADIUM CHROME UEFA 2022-23 VALENTIN CARBONI RC /275 AQUA WAVE REFRACTOR,"39,966.75 VND",https://www.ebay.com/itm/316102880876,https://i.ebayimg.com/images/g/AHIAAOSwuItnRN~W/s-l140.jpg,"Sold  Jan 8, 2025"
