Title,Price,Link,Image Link,Sold Date
"WATFORD District Cottage Hospital, Vicarage Road, Hertfordshire. Downer - Photo","100,072.92 VND",https://www.ebay.com/itm/146324906750,https://i.ebayimg.com/images/g/HfkAAOSwkxdngVCX/s-l140.jpg,"Sold  Jan 11, 2025"
"WATFORD District Cottage Hospital, Vicarage Road, Hertfordshire. Downer - Photo","166,788.20 VND",https://www.ebay.com/itm/146326244268,https://i.ebayimg.com/images/g/oI8AAOSwENJnglLU/s-l140.jpg,"Sold  Jan 11, 2025"
"1997 Watford v Arsenal programme, Les Simmons Testimonial 50 Years Vicarage Road","233,169.90 VND",https://www.ebay.com/itm/396279791481,https://i.ebayimg.com/images/g/ascAAOSwV2RnvH33/s-l140.jpg,"Sold  Mar 12, 2025"
"VICARAGE ROAD, KINGS LANGLEY: Hertfordshire postcard ,j3","66,715.28 VND",https://www.ebay.com/itm/116433802370,https://i.ebayimg.com/images/g/ip8AAOSw6wJnW~Xu/s-l140.jpg,"Sold  Mar 3, 2025"
Vicarage Road Indoor London Street Sign Watford ,"867,298.64 VND",https://www.ebay.com/itm/125155244382,https://i.ebayimg.com/images/g/UKgAAOSwMNliD3Tl/s-l140.jpg,"Sold  Mar 2, 2025"
Official Licensed Watford Vicarage Road 3D Puzzle Football Stadium NEW,"832,940.27 VND",https://www.ebay.com/itm/395964597905,https://i.ebayimg.com/images/g/5pQAAOSwdj5nTzUc/s-l140.jpg,"Sold  Feb 25, 2025"
Watford v Torquay Utd 30 Nov Dec 1968 League Division 3 Programme Vicarage Road,"33,024.06 VND",https://www.ebay.com/itm/134275202293,https://i.ebayimg.com/images/g/1owAAOSw9gRhTvV5/s-l140.jpg,"Sold  Feb 23, 2025"
Watford FC Vicarage Road Stadium 3D jigsaw puzzle 116 pieces,"833,607.42 VND",https://www.ebay.com/itm/386931096588,https://i.ebayimg.com/images/g/hwIAAOSw-ONmHTAx/s-l140.jpg,"Sold  Feb 15, 2025"
"WW1 Group Photo, Troops, Hastings Sussex Photographer, G. Pearson, Vicarage Road","316,564.00 VND",https://www.ebay.com/itm/365370942867,https://i.ebayimg.com/images/g/CkQAAOSwBcZm2xy-/s-l140.jpg,"Sold  Feb 7, 2025"
POSTCARD EARLY PRINTED OF VICARAGE ROAD WINSLOW.,"166,454.62 VND",https://www.ebay.com/itm/316010403726,https://i.ebayimg.com/images/g/AvEAAOSwoS5nF4f7/s-l140.jpg,"Sold  Feb 5, 2025"
P. C Vicarage Road Was Cattle Hill Mickleover Derby Derbyshire R P Good Cond,"416,970.50 VND",https://www.ebay.com/itm/135510887011,https://i.ebayimg.com/images/g/NsEAAOSwGjdnjWLK/s-l140.jpg,"Sold  Jan 31, 2025"
Elton John & Band Vicarage Road Watford FC 29 May 2010 Ticket Stub,"333,242.82 VND",https://www.ebay.com/itm/225722267947,https://i.ebayimg.com/images/g/-3oAAOSw-ehk1qbe/s-l140.jpg,"Sold  Jan 30, 2025"
Watford enamel football badge Vicarage Road,"131,762.68 VND",https://www.ebay.com/itm/135512166755,https://i.ebayimg.com/images/g/gBUAAOSwTVRnkQrX/s-l140.jpg,"Sold  Jan 22, 2025"
WATFORD FC VICARAGE ROAD STADIUM BADGE,"266,527.54 VND",https://www.ebay.com/itm/116444761649,https://i.ebayimg.com/images/g/cu4AAOSw2OZmPn5k/s-l140.jpg,"Sold  Jan 22, 2025"
