Title,Price,Link,Image Link,Sold Date
2023-24 Panini Select Serie A Soccer Field Level Victor Osimhen,"28,250.05 VND",https://www.ebay.com/itm/396204342855,https://i.ebayimg.com/images/g/4L8AAeSw3nxnofig/s-l140.jpg,"Sold  Feb 19, 2025"
2023-24 Panini Select Serie A Soccer Silver Field Level Victor Osimhen,"28,250.05 VND",https://www.ebay.com/itm/396204341369,https://i.ebayimg.com/images/g/jNIAAeSwuRxnofkC/s-l140.jpg,"Sold  Feb 19, 2025"
2022-23 Panini Select Serie A Victor Osimhen Tie-Dye /25 PSA9,"2,011,230.00 VND",https://www.ebay.com/itm/285721195314,https://i.ebayimg.com/images/g/V~MAAOSw0n5l1rEb/s-l140.jpg,"Sold  Jan 15, 2025"
2022-23 Panini Select Serie A Victor Osimhen Field Level Tie-Dye /25 PSA9,"2,062,800.00 VND",https://www.ebay.com/itm/285721192818,https://i.ebayimg.com/images/g/yKUAAOSwO5Nl1rAP/s-l140.jpg,"Sold  Jan 15, 2025"
2022 Select Serie A Victor Osimhen Tie Dye #/25,"296,527.50 VND",https://www.ebay.com/itm/127005396548,https://i.ebayimg.com/images/g/Y9IAAeSw2fpn3Hzo/s-l140.jpg,"Sold  Mar 25, 2025"
2022 Select Serie A Victor Osimhen Tie Dye #7/25,"283,635.00 VND",https://www.ebay.com/itm/126990064143,https://i.ebayimg.com/images/g/jFoAAeSwZr9n0d9F/s-l140.jpg,"Sold  Mar 17, 2025"
2024-25 Panini Donruss Fifa - Net Marvels Red #9 Victor Osimhen,"32,231.25 VND",https://www.ebay.com/itm/176914266500,https://i.ebayimg.com/images/g/XD8AAeSwVRxn0IgU/s-l140.jpg,"Sold  Mar 24, 2025"
2024-25 Panini Donruss Fifa - Net Marvels PINK /25 - #9 Victor Osimhen,"644,367.15 VND",https://www.ebay.com/itm/126960250376,https://i.ebayimg.com/images/g/KsYAAeSwckNnvM1r/s-l140.jpg,"Sold  Mar 3, 2025"
2023 Topps Chrome UEFA Victor Osimhen SP VAR #58b,"96,693.75 VND",https://www.ebay.com/itm/376063695972,https://i.ebayimg.com/images/g/st0AAeSwZT5n0d-6/s-l140.jpg,"Sold  Mar 17, 2025"
2023 Topps Chrome UEFA Victor Osimhen SP VAR #58b,"105,976.35 VND",https://www.ebay.com/itm/126885151104,https://i.ebayimg.com/images/g/6E4AAOSwXq1niD-L/s-l140.jpg,"Sold  Jan 20, 2025"
2024-25 Panini Donruss Soccer Victor Osimhen Kaboom SSP Case Hit Nigeria,"6,446,250.00 VND",https://www.ebay.com/itm/135620606093,https://i.ebayimg.com/images/g/6IQAAeSwYOln0xv0/s-l140.jpg,"Sold  Mar 13, 2025"
2024-25 Panini Donruss Soccer  Victor Osimhen Kaboom (Just Pulled) Nigeria...,"3,674,362.50 VND",https://www.ebay.com/itm/256840555126,https://i.ebayimg.com/images/g/DAsAAeSwWWNnu-l6/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss FIFA Victor Osimhen Kaboom Case Hit SSP #2,"5,389,065.00 VND",https://www.ebay.com/itm/286356446154,https://i.ebayimg.com/images/g/hF8AAOSwytdnu6J4/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss FIFA Victor Osimhen Kaboom Case Hit SSP #1,"3,958,255.35 VND",https://www.ebay.com/itm/205333069984,https://i.ebayimg.com/images/g/ziQAAeSwa-tnu32n/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss Soccer  Victor Osimhen Kaboom (Just Pulled) Nigeria...,"3,932,212.50 VND",https://www.ebay.com/itm/176839655375,https://i.ebayimg.com/images/g/EHMAAOSwV~Jnq9lA/s-l140.jpg,"Sold  Feb 18, 2025"
2024-25 Panini Donruss Soccer Victor Osimhen Kaboom Insert SSP Nigeria,"5,156,742.15 VND",https://www.ebay.com/itm/167311076033,https://i.ebayimg.com/images/g/1oYAAOSwafFnrPCn/s-l140.jpg,"Sold  Feb 16, 2025"
2024-25 Panini Donruss Soccer Victor Osimhen Kaboom SSP No. 9 Nigeria,"4,267,417.50 VND",https://www.ebay.com/itm/205271066454,https://i.ebayimg.com/images/g/ZfcAAOSwhdlnpRxv/s-l140.jpg,"Sold  Feb 11, 2025"
2024-25 Panini Donruss Soccer  Victor Osimhen Kaboom (Just Pulled) Nigeria...,"4,937,827.50 VND",https://www.ebay.com/itm/167289385791,https://i.ebayimg.com/images/g/BVMAAOSwjIVnk9Ym/s-l140.jpg,"Sold  Feb 8, 2025"
2024-25 Panini Donruss Soccer  Victor Osimhen Kaboom (Just Pulled) Nigeria...,"5,608,237.50 VND",https://www.ebay.com/itm/167272505977,https://i.ebayimg.com/images/g/BVMAAOSwjIVnk9Ym/s-l140.jpg,"Sold  Jan 31, 2025"
2023-24 Topps Chrome UEFA Club Competitions Prism Refractor Victor Osimhen #58,"25,527.15 VND",https://www.ebay.com/itm/335824978673,https://i.ebayimg.com/images/g/zkAAAeSwMNtn385l/s-l140.jpg,"Sold  Mar 12, 2025"
2023 Topps Finest UEFA Club Competitions Green Refractor /99 Victor Osimhen #79,"132,534.90 VND",https://www.ebay.com/itm/256825568247,https://i.ebayimg.com/images/g/aFgAAeSwO8Bnt0uf/s-l140.jpg,"Sold  Feb 21, 2025"
2023-24 Finest UEFA Victor Osimhen Ferris Wheel Refractor /135,"90,247.50 VND",https://www.ebay.com/itm/365366754882,https://i.ebayimg.com/images/g/JtIAAOSwb6Nmrjx2/s-l140.jpg,"Sold  Feb 22, 2025"
2023-24 Topps Finest UEFA /135 Victor Osimhen #79 Ferris Wheel Refractor,"25,785.00 VND",https://www.ebay.com/itm/335809108180,https://i.ebayimg.com/images/g/HZgAAOSwfddnrC-W/s-l140.jpg,"Sold  Feb 19, 2025"
2024-25 Panini Donruss Soccer Victor Osimhen Gold /10!!!🔥🔥,"1,804,950.00 VND",https://www.ebay.com/itm/156673719169,https://i.ebayimg.com/images/g/GKEAAOSw-a1notu-/s-l140.jpg,"Sold  Feb 10, 2025"
2024-25 Panini Donruss Soccer Victor Osimhen Teal Mojo /49,"25,527.15 VND",https://www.ebay.com/itm/286300080685,https://i.ebayimg.com/images/g/LPEAAOSwHGxnoWrL/s-l140.jpg,"Sold  Feb 6, 2025"
2022-23 Select Serie A #245 Victor Osimhen,"58,016.25 VND",https://www.ebay.com/itm/166983856212,https://i.ebayimg.com/images/g/8v4AAeSwzspnoiFm/s-l140.jpg,"Sold  Feb 8, 2025"
