Title,Price,Link,Image Link,Sold Date
2016 Panini Prizm UEFA Euro - Red Prizm #25 Vincent Kompany /149,"25,527.15 VND",https://www.ebay.com/itm/256792975887,https://i.ebayimg.com/images/g/aZYAAOSw-4hnbgWG/s-l140.jpg,"Sold  Jan 30, 2025"
2016 Panini Prizm UEFA Euro - Red Prizm #25 Vincent Kompany /149,"25,527.15 VND",https://www.ebay.com/itm/256792975887,https://i.ebayimg.com/images/g/aZYAAOSw-4hnbgWG/s-l140.jpg,"Sold  Jan 30, 2025"
2022 Panini Select FIFA Vincent Kompany #S-VK Signatures Silver Prizm Auto City,"167,602.50 VND",https://www.ebay.com/itm/375976334397,https://i.ebayimg.com/images/g/hcYAAOSwhTlnlrCE/s-l140.jpg,"Sold  Feb 7, 2025"
Panini Select Premier League 2022 23 Autograph Auto Vincent Kompany Man City,"918,126.50 VND",https://www.ebay.com/itm/388013929896,https://i.ebayimg.com/images/g/Y84AAeSwUdBnwh2V/s-l500.jpg,"Sold  Mar 7, 2025"
Panini Select Premier League 2022 23 Autograph Auto Vincent Kompany Man City,"847,501.38 VND",https://www.ebay.com/itm/388095461136,https://i.ebayimg.com/images/g/Y84AAeSwUdBnwh2V/s-l140.jpg,"Sold  Mar 23, 2025"
VINCENT KOMPANY C.CAPT-RD/WT/BL.PWR.PLAID PANINI PRIZM WORLD CUP 2014 30 PSA 10,"607,375.99 VND",https://www.ebay.com/itm/135501418540,https://i.ebayimg.com/images/g/nEQAAOSwx5ZniQeY/s-l140.jpg,"Sold  Jan 26, 2025"
2016 Panini Adrenalyn XL UEFA Euro 2016 Limited Edition Vincent Kompany,"83,801.25 VND",https://www.ebay.com/itm/256781196353,https://i.ebayimg.com/images/g/izwAAOSwaDxnd-Qv/s-l140.jpg,"Sold  Jan 19, 2025"
"2018-19 Donruss Soccer, Optic Holo, Vincent Kompany, Belgium","28,250.05 VND",https://www.ebay.com/itm/176951712674,https://i.ebayimg.com/images/g/qx0AAOSweBVimOry/s-l140.jpg,"Sold  Mar 31, 2025"
Topps Champions League 2016/17 - MC 6 - Vincent Kompany - Manchester City FC,"28,250.05 VND",https://www.ebay.com/itm/302374791247,https://i.ebayimg.com/images/g/oOEAAOSw8~ZfsTSR/s-l140.jpg,"Sold  Mar 22, 2025"
"Vincent Sierro ""Toulouse FC"" Blue Laser 21/50 Panini Score Ligue 1 2023/2024","457,650.75 VND",https://www.ebay.com/itm/315771867255,https://i.ebayimg.com/images/g/pRUAAOSw9kJmITu9/s-l140.jpg,"Sold  Feb 25, 2025"
