Title,Price,Link,Image Link,Sold Date
2023 Panini Prizm Premier League Virgil van Dijk Choice Red White and Blue #81,"52,343.55 VND",https://www.ebay.com/itm/126998911095,https://i.ebayimg.com/images/g/VP4AAeSw3e9n2InA/s-l140.jpg,"Sold  Mar 22, 2025"
2023 Panini Prizm Premier League Virgil van Dijk Black and White Checker #81,"267,648.30 VND",https://www.ebay.com/itm/126951294180,https://i.ebayimg.com/images/g/FR4AAeSwPNBntj3j/s-l140.jpg,"Sold  Feb 24, 2025"
2021 Prizm Premier League Virgil van Dijk Prizm Red White and Blue #76,"25,759.80 VND",https://www.ebay.com/itm/126881477676,https://i.ebayimg.com/images/g/1AwAAOSwqDpnhX-y/s-l140.jpg,"Sold  Jan 18, 2025"
2021-22 Topps Chrome UEFA Champions League #47 Virgil van Dijk,"43,576.65 VND",https://www.ebay.com/itm/166935094517,https://i.ebayimg.com/images/g/2hYAAeSwXCVn6O~l/s-l140.jpg,"Sold  Mar 21, 2025"
2019-20 Topps Chrome Sapphire UEFA Champions League #50 Virgil van Dijk,"43,576.65 VND",https://www.ebay.com/itm/166943786677,https://i.ebayimg.com/images/g/GHwAAeSw31Fn19pW/s-l140.jpg,"Sold  Dec 2, 2024"
2021-22 Topps Chrome UEFA Champions League Virgil Van Dijk Auto PSA 10 Auto /99,"6,445,992.15 VND",https://www.ebay.com/itm/144705715600,https://i.ebayimg.com/images/g/l2YAAOSw809jFgIp/s-l140.jpg,"Sold  Apr 4, 2025"
2021-22 Topps Chrome UEFA Champions League Chasing Glory #CG9 Virgil van Dijk,"45,123.75 VND",https://www.ebay.com/itm/315696418066,https://i.ebayimg.com/images/g/A6EAAeSwWSBn8lP7/s-l140.jpg,"Sold  Mar 29, 2025"
2020-21 Topps Chrome UEFA Champions League Joga Bonito #JB12 Virgil van Dijk,"77,355.00 VND",https://www.ebay.com/itm/315700307533,https://i.ebayimg.com/images/g/rYsAAeSwcZRn8l1A/s-l140.jpg,"Sold  Mar 29, 2025"
2020 Topps Chrome UEFA Champions League Virgil van Dijk Pink #92/175,"122,033.80 VND",https://www.ebay.com/itm/126886863328,https://i.ebayimg.com/images/g/GsMAAOSwWilniYEN/s-l140.jpg,"Sold  Jan 21, 2025"
2021-22 Topps Stadium Club Chrome UEFA Champions League Virgil Van Dijk #4,"79,890.43 VND",https://www.ebay.com/itm/375881939421,https://i.ebayimg.com/images/g/MXoAAOSwFkFnaQvm/s-l140.jpg,"Sold  Mar 29, 2025"
2021/22 Topps Chrome UEFA Champions League Chasing Glory Virgil Van Dijk ,"32,020.21 VND",https://www.ebay.com/itm/267143026760,https://i.ebayimg.com/images/g/MTAAAOSw~sNjSBJU/s-l140.jpg,"Sold  Feb 4, 2025"
2023-24 Panini Prizm Premier League Red Breakaway Prizm /49 Virgil Van Dijk #81,"369,756.90 VND",https://www.ebay.com/itm/235989282717,https://i.ebayimg.com/images/g/cqIAAeSwfgRnxyWx/s-l140.jpg,"Sold  Mar 21, 2025"
2023-24 Panini Prizm Premier League Blue Prizm /299 Virgil Van Dijk #81,"221,493.15 VND",https://www.ebay.com/itm/256723022433,https://i.ebayimg.com/images/g/5QcAAOSw5zpnPgiQ/s-l140.jpg,"Sold  Feb 17, 2025"
2023-24 Panini Prizm Premier League Breakaway Prizm Virgil Van Dijk #81,"80,707.05 VND",https://www.ebay.com/itm/235943132329,https://i.ebayimg.com/images/g/TBgAAeSw1vZnvfjP/s-l140.jpg,"Sold  Feb 17, 2025"
2023-24 Panini Prizm Premier League Red Mosaic Prizm Virgil Van Dijk #81,"96,274.00 VND to 103,819.80 VND",https://www.ebay.com/itm/335660921065,https://i.ebayimg.com/images/g/PJMAAOSwuvVngqJs/s-l140.jpg,"Sold  Jan 18, 2025"
2020-21 Panini Prizm Premier League Green Wave Prizm Virgil Van Dijk #243,"51,779.80 VND",https://www.ebay.com/itm/176815177367,https://i.ebayimg.com/images/g/vOIAAOSw0zVndKL2/s-l140.jpg,"Sold  Feb 4, 2025"
2020-21 Panini Prizm Premier League -  Red Ice Prizm  Virgil Van Dijk /159,"260,200.00 VND",https://www.ebay.com/itm/306035157445,https://i.ebayimg.com/images/g/fM8AAOSwmKlm4v9o/s-l140.jpg,"Sold  Jan 18, 2025"
2023-24 Panini Prizm Premier League Blue Mosaic Prizm Virgil Van Dijk #81,"199,573.40 VND",https://www.ebay.com/itm/235871783374,https://i.ebayimg.com/images/g/dsMAAOSwDzlnXn7w/s-l140.jpg,"Sold  Jan 18, 2025"
2020-21 Panini Prizm Premier League -  Red Pulsar Prizm #243 Virgil Van Dijk,"51,779.80 VND",https://www.ebay.com/itm/176771653365,https://i.ebayimg.com/images/g/qBIAAOSwwtRneL0h/s-l140.jpg,"Sold  Jan 11, 2025"
2023 Topps Finest UEFA Euro 2024 Virgil Van Dijk Auto,"954,045.00 VND",https://www.ebay.com/itm/306164506238,https://i.ebayimg.com/images/g/Jr8AAeSwNSVny1sk/s-l500.jpg,"Sold  Mar 14, 2025"
2023 Topps Finest UEFA Euro 2024 Virgil Van Dijk Gold Auto /50,"4,357,665.00 VND",https://www.ebay.com/itm/126417943933,https://i.ebayimg.com/images/g/tl4AAOSwUYFmE2Jo/s-l140.jpg,"Sold  Apr 1, 2025"
2023-24 Topps Finest UEFA Euro Virgil Van Dijk Blue Auto 036/150,"1,066,820.00 VND",https://www.ebay.com/itm/146347360063,https://i.ebayimg.com/images/g/5XIAAOSw8xRnkenn/s-l140.jpg,"Sold  Jan 30, 2025"
2021 Panini Prizm Premier League Virgil van Dijk Brilliance #6,"25,527.15 VND",https://www.ebay.com/itm/376031721228,https://i.ebayimg.com/images/g/fD0AAeSwt8FnwhXk/s-l140.jpg,"Sold  Mar 5, 2025"
2019 Panini Prizm Premier League Virgil van Dijk Blue #100/199,"219,172.50 VND",https://www.ebay.com/itm/376085594920,https://i.ebayimg.com/images/g/9QYAAeSwLoFn3HwP/s-l140.jpg,"Sold  Mar 25, 2025"
2021 Panini Prizm Premier League Virgil van Dijk Prizms Red Mojo #137/159,"127,377.90 VND",https://www.ebay.com/itm/127000886407,https://i.ebayimg.com/images/g/ZRMAAeSw4ZRn2zpH/s-l140.jpg,"Sold  Mar 23, 2025"
2020 Panini Prizm Premier League Virgil van Dijk Blue Yellow Green #243,"93,151.60 VND",https://www.ebay.com/itm/376133343138,https://i.ebayimg.com/images/g/zYQAAeSwW6Jn8Cht/s-l140.jpg,"Sold  Apr 9, 2025"
2023 Panini Prizm Premier League Virgil van Dijk Red #136/199,"257,598.00 VND",https://www.ebay.com/itm/375959976957,https://i.ebayimg.com/images/g/5kQAAOSw9Rxnm9~H/s-l140.jpg,"Sold  Feb 4, 2025"
2020 Panini Prizm Premier League Red Virgil van Dijk Liverpool #243,"26,020.00 VND",https://www.ebay.com/itm/186735404427,https://i.ebayimg.com/images/g/g7gAAOSwvN1nEW7O/s-l140.jpg,"Sold  Feb 2, 2025"
Virgil Van Dijk 2024/25 Topps UEFA UCC Superstars Relic Purple /299 Liverpool,"360,990.00 VND",https://www.ebay.com/itm/256876164872,https://i.ebayimg.com/images/g/32YAAOSw3b9n6DYI/s-l140.jpg,"Sold  Apr 6, 2025"
Virgil Van Dijk 2024-25 Topps UCC Superstar Memorabilia Relic Purple /299,"351,530.20 VND",https://www.ebay.com/itm/256788391032,https://i.ebayimg.com/images/g/U78AAOSw5yFni83~/s-l140.jpg,"Sold  Jan 26, 2025"
2024 Topps Chrome UEFA EURO Virgil Van Dijk Gold Auto 29/50 Netherlands,"2,453,516.50 VND",https://www.ebay.com/itm/405708756285,https://i.ebayimg.com/images/g/Kp4AAeSwkAZn1rT6/s-l140.jpg,"Sold  Apr 6, 2025"
2024 Topps Chrome UEFA EURO Virgil Van Dijk Gold Auto 29/50 Netherlands,"1,933,875.00 VND",https://www.ebay.com/itm/396219127509,https://i.ebayimg.com/images/g/BS4AAeSwlI5nsyYu/s-l140.jpg,"Sold  Mar 10, 2025"
