Title,Price,Link,Image Link,Sold Date
2020-21 Panini Prizm Premier League Vitinha Red Pulsar #140 RC,"51,312.15 VND",https://www.ebay.com/itm/146488990972,https://i.ebayimg.com/images/g/0ZAAAOSwIsJmQ~cG/s-l140.jpg,"Sold  Apr 6, 2025"
"2020-21 Panini Prizm Premier League Vitinha Red Prizm SN,RC","231,807.15 VND",https://www.ebay.com/itm/186843515358,https://i.ebayimg.com/images/g/YVUAAOSwtVJnXmiq/s-l140.jpg,"Sold  Feb 21, 2025"
"2020-21 Panini Prizm Premier League Vitinha Orange Prizm SN,RC","2,578,242.15 VND",https://www.ebay.com/itm/186843515365,https://i.ebayimg.com/images/g/t0gAAOSwn3dnXmkX/s-l140.jpg,"Sold  Feb 20, 2025"
Vitinha 2023-24 Panini Donruss Fifa Soccer Kit Kings Relic [dbK72,"112,164.75 VND",https://www.ebay.com/itm/376108243129,https://i.ebayimg.com/images/g/570AAOSwheRn52Aa/s-l140.jpg,"Sold  Apr 2, 2025"
Vitinha 2023-24 Panini Donruss Fifa Soccer Kit Kings Relic [dbK72,"112,164.75 VND",https://www.ebay.com/itm/376108239130,https://i.ebayimg.com/images/g/gQEAAOSwr~dn51-e/s-l140.jpg,"Sold  Apr 2, 2025"
Vitinha 2023-24 Panini Donruss Fifa Soccer Kit Kings Relic [dbK72,"114,743.25 VND",https://www.ebay.com/itm/376108220732,https://i.ebayimg.com/images/g/GAAAAOSwuqVn511J/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Topps Chrome UEFA Euro Vitinha Future Stars Auto #FSA-V,"144,653.85 VND",https://www.ebay.com/itm/127019773150,https://i.ebayimg.com/images/g/O2QAAeSwE01n5xjB/s-l140.jpg,"Sold  Apr 2, 2025"
2023-24 Topps Chrome UEFA Euro Vitinha Future Stars Auto #FSA-V,"128,925.00 VND",https://www.ebay.com/itm/375958426598,https://i.ebayimg.com/images/g/5mkAAeSwZmFnmqm9/s-l140.jpg,"Sold  Feb 3, 2025"
2024 Topps Chrome UEFA Euro Future Stars Auto Vitinha #FSA-V Auto,"962,811.90 VND",https://www.ebay.com/itm/256810166115,https://i.ebayimg.com/images/g/jPIAAeSwnLVnp8bV/s-l140.jpg,"Sold  Apr 4, 2025"
2024 Topps Chrome UEFA Euro Vitinha Future Stars Euro Portugal /24,"1,288,992.15 VND",https://www.ebay.com/itm/365243009324,https://i.ebayimg.com/images/g/4O0AAOSwqaVnPsAY/s-l140.jpg,"Sold  Feb 11, 2025"
2023-24 Topps Chrome UEFA Euro VITINHA Future Stars Autograph #V,"400,092.55 VND",https://www.ebay.com/itm/196915022840,https://i.ebayimg.com/images/g/1~AAAOSwV9dnaaJ8/s-l140.jpg,"Sold  Mar 12, 2025"
2020-21 Revolution Premier League Vitinha RC Kaleido /50 Wolverhampton Wanderers,"334,947.15 VND",https://www.ebay.com/itm/126859708148,https://i.ebayimg.com/images/g/VG8AAOSwnbRndGT4/s-l140.jpg,"Sold  Mar 29, 2025"
2020-21 Panini Prizm Premier League RC Vitinha Red /135 Wolverhampton Wanderers,"169,217.78 VND",https://www.ebay.com/itm/405291026341,https://i.ebayimg.com/images/g/3yEAAOSw46hnEEy8/s-l140.jpg,"Sold  Mar 9, 2025"
2024-25 Panini Donruss Fifa Vitinha Blue 2/49 PSG Portugal,"83,801.25 VND",https://www.ebay.com/itm/365477159936,https://i.ebayimg.com/images/g/QtgAAOSwhMhn32V~/s-l140.jpg,"Sold  Mar 27, 2025"
2024-25 Panini Donruss Fifa Vitinha Optic Purple Mojo 10/25 PSG Portugal,"141,817.50 VND",https://www.ebay.com/itm/365477159683,https://i.ebayimg.com/images/g/gV0AAOSwrhRn32Vy/s-l140.jpg,"Sold  Mar 27, 2025"
2024-25 Panini Donruss Fifa Vitinha Blue 2/49 PSG Portugal,"78,060.00 VND",https://www.ebay.com/itm/365435618285,https://i.ebayimg.com/images/g/jR4AAOSwhsVnxP-x/s-l140.jpg,"Sold  Mar 7, 2025"
2024-25 Panini Donruss Fifa Vitinha Optic Purple Mojo 10/25 PSG Portugal,"156,120.00 VND",https://www.ebay.com/itm/365433684467,https://i.ebayimg.com/images/g/T2MAAOSw-rBnw7hF/s-l140.jpg,"Sold  Mar 6, 2025"
2024-25 Panini Donruss Fifa Vitinha Blue 2/49 PSG Portugal,"78,060.00 VND",https://www.ebay.com/itm/365412637262,https://i.ebayimg.com/images/g/MH8AAOSwnOFnt-Ms/s-l140.jpg,"Sold  Feb 25, 2025"
2024-25 Panini Donruss FIFA VITINHA 16/49 Blue Parallel Portugal #125,"25,527.15 VND",https://www.ebay.com/itm/306187930436,https://i.ebayimg.com/images/g/mtYAAOSwUZdn2lQn/s-l140.jpg,"Sold  Mar 26, 2025"
2024-25 Panini Donruss Optic FIFA VITINHA 145/299 Red Prizm Portugal #125,"25,527.15 VND",https://www.ebay.com/itm/306187917538,https://i.ebayimg.com/images/g/n2YAAOSwSXZn2lG6/s-l140.jpg,"Sold  Mar 26, 2025"
2024-25 Panini Donruss FIFA Soccer VITINHA 41/49 Blue Parallel SP Portugal #125,"58,016.25 VND",https://www.ebay.com/itm/306207857729,https://i.ebayimg.com/images/g/eJkAAOSwAr1n51cd/s-l140.jpg,"Sold  Apr 5, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Pink Velocity Portugal,"515,442.15 VND",https://www.ebay.com/itm/326495086968,https://i.ebayimg.com/images/g/jdQAAeSwqwZnu10V/s-l140.jpg,"Sold  Mar 25, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Portugal Dragon #78/99,"322,312.50 VND",https://www.ebay.com/itm/365459474453,https://i.ebayimg.com/images/g/9o4AAOSwCmpn05KP/s-l140.jpg,"Sold  Mar 18, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Portugal Dragon #41/99,"322,312.50 VND",https://www.ebay.com/itm/365459474307,https://i.ebayimg.com/images/g/HwEAAOSwlO5n05KE/s-l140.jpg,"Sold  Mar 18, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Portugal,"221,751.00 VND",https://www.ebay.com/itm/256849939888,https://i.ebayimg.com/images/g/d~4AAOSwiiVnsM93/s-l140.jpg,"Sold  Mar 16, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Red #/49 Portugal,"554,377.50 VND",https://www.ebay.com/itm/326470670580,https://i.ebayimg.com/images/g/eHwAAeSw~E5nxk01/s-l140.jpg,"Sold  Mar 10, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Dragon Scale /99,"371,045.20 VND",https://www.ebay.com/itm/256839765240,https://i.ebayimg.com/images/g/FqIAAOSwsh9nwzbL/s-l140.jpg,"Sold  Mar 9, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Dragon Scale /99,"390,300.00 VND",https://www.ebay.com/itm/256839506156,https://i.ebayimg.com/images/g/ehwAAOSw5-NnwUWx/s-l140.jpg,"Sold  Mar 9, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Blue /99 Portugal,"325,250.00 VND",https://www.ebay.com/itm/256829616008,https://i.ebayimg.com/images/g/J6wAAOSwrdRntiC0/s-l140.jpg,"Sold  Mar 2, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Portugal,"301,832.00 VND",https://www.ebay.com/itm/256829596236,https://i.ebayimg.com/images/g/4BsAAOSwv-VnuhKy/s-l140.jpg,"Sold  Mar 2, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Portugal,"273,210.00 VND",https://www.ebay.com/itm/256819965829,https://i.ebayimg.com/images/g/d~4AAOSwiiVnsM93/s-l140.jpg,"Sold  Feb 23, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signatures Series Auto Portugal,"247,190.00 VND",https://www.ebay.com/itm/256819857237,https://i.ebayimg.com/images/g/UdcAAOSwwytnsFim/s-l140.jpg,"Sold  Feb 23, 2025"
Vitinha 2024-25 Panini Donruss FIFA Signature Series Auto Portugal,"273,210.00 VND",https://www.ebay.com/itm/256810792041,https://i.ebayimg.com/images/g/~csAAOSwafFnpuHV/s-l140.jpg,"Sold  Feb 16, 2025"
2023 Select FIFA Vitinha Winter Camo Prizm #32/99,"25,527.15 VND",https://www.ebay.com/itm/127000915299,https://i.ebayimg.com/images/g/7YQAAeSwZr9n2b44/s-l140.jpg,"Sold  Mar 23, 2025"
2023 Select FIFA Vitinha Zebra Prizm #/25,"334,947.15 VND",https://www.ebay.com/itm/256853685056,https://i.ebayimg.com/images/g/GJkAAOSwvphn0P~k/s-l140.jpg,"Sold  Mar 21, 2025"
2023 Select FIFA Vitinha Zebra Prizm #11/25,"109,586.25 VND",https://www.ebay.com/itm/126963925543,https://i.ebayimg.com/images/g/QIwAAeSwmBJnv3Yl/s-l140.jpg,"Sold  Mar 3, 2025"
2023 Select FIFA Vitinha Winter Camo Prizm #32/99,"78,060.00 VND",https://www.ebay.com/itm/127031907732,https://i.ebayimg.com/images/g/7YQAAeSwZr9n2b44/s-l140.jpg,"Sold  Apr 8, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #11,"64,204.65 VND",https://www.ebay.com/itm/297125543298,https://i.ebayimg.com/images/g/-xkAAeSw-ZRn2QPB/s-l140.jpg,"Sold  Mar 22, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #9,"83,801.25 VND",https://www.ebay.com/itm/296974250287,https://i.ebayimg.com/images/g/kFAAAeSw5SJnmwSw/s-l140.jpg,"Sold  Feb 1, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #8,"64,204.65 VND",https://www.ebay.com/itm/235934324284,https://i.ebayimg.com/images/g/wz4AAOSwRL1nmbiz/s-l140.jpg,"Sold  Jan 31, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #6,"128,925.00 VND",https://www.ebay.com/itm/296967794491,https://i.ebayimg.com/images/g/mG4AAOSwy3Rnlw~H/s-l140.jpg,"Sold  Jan 29, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #5,"128,925.00 VND",https://www.ebay.com/itm/235930494592,https://i.ebayimg.com/images/g/3McAAOSwzrNnlb5L/s-l140.jpg,"Sold  Jan 28, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 6X Box Player BREAK #4,"141,817.50 VND",https://www.ebay.com/itm/226564187122,https://i.ebayimg.com/images/g/gbkAAOSwmJ5nlHBV/s-l140.jpg,"Sold  Jan 27, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #3,"141,817.50 VND",https://www.ebay.com/itm/226560720904,https://i.ebayimg.com/images/g/PIcAAOSwTntnkcpf/s-l140.jpg,"Sold  Jan 25, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #2,"283,635.00 VND",https://www.ebay.com/itm/226557110593,https://i.ebayimg.com/images/g/VNYAAOSwR6Jnjybl/s-l140.jpg,"Sold  Jan 23, 2025"
Vitinha - 2024-25 Donruss Soccer Hobby - 1X Case Player BREAK #1,"232,065.00 VND",https://www.ebay.com/itm/235921887879,https://i.ebayimg.com/images/g/ElAAAOSwHq9njdQq/s-l140.jpg,"Sold  Jan 22, 2025"
Vitinha /49 RC Panini Prizm Premier League Rookie Soccer Wolves,"861,626.40 VND",https://www.ebay.com/itm/167359797946,https://i.ebayimg.com/images/g/QJgAAOSwy5FnPdcW/s-l140.jpg,"Sold  Mar 13, 2025"
Vitinha /8 RC Panini Prizm Premier League Rookie Soccer,"6,215,010.12 VND",https://www.ebay.com/itm/167266216915,https://i.ebayimg.com/images/g/4BcAAOSwTc9mTHGk/s-l140.jpg,"Sold  Mar 1, 2025"
VITINHA PARIS SAINT GERMINA PREMIUM TOPPS 2023-24 LIGUE 1 /30,"211,875.35 VND",https://www.ebay.com/itm/135568489874,https://i.ebayimg.com/images/g/oAwAAOSwVhZntgZy/s-l140.jpg,"Sold  Mar 2, 2025"
VITINHA PARIS SAINT GERMAIN PREMIUM TOPPS 2023-24 LIGUE 1 AUTO /5,"1,329,447.16 VND",https://www.ebay.com/itm/135568491927,https://i.ebayimg.com/images/g/KEIAAOSwY~9ntu-w/s-l140.jpg,"Sold  Mar 2, 2025"
VITINHA PARIS SAINT GERMAIN PREMIUM TOPPS 2023-24 LIGUE 1 AUTO /15,"905,696.47 VND",https://www.ebay.com/itm/135568491985,https://i.ebayimg.com/images/g/sa4AAOSwHhpntu~N/s-l140.jpg,"Sold  Mar 2, 2025"
VITINHA PARIS SAINT GERMAIN FAN SET TOPPS 2021-22 LIGUE 1/10,"324,875.53 VND",https://www.ebay.com/itm/135501431584,https://i.ebayimg.com/images/g/OBEAAOSwQ1lniMlp/s-l140.jpg,"Sold  Jan 26, 2025"
VITINHA PARIS SAINT GERMAIN FAN SET TOPPS 2021-22 LIGUE 1/10,"174,867.78 VND",https://www.ebay.com/itm/135501431562,https://i.ebayimg.com/images/g/Na4AAOSw029niMr8/s-l140.jpg,"Sold  Jan 26, 2025"
2024 Donruss FIFA Vitinha Signature Series Auto Portugal Red Prizm #SS-V 19/49,"644,367.15 VND",https://www.ebay.com/itm/335799300604,https://i.ebayimg.com/images/g/710AAOSw-2xno9Zm/s-l140.jpg,"Sold  Mar 15, 2025"
2024-25 Donruss FIFA Vitinha Signature Series Auto Portugal,"193,387.50 VND",https://www.ebay.com/itm/405548398173,https://i.ebayimg.com/images/g/i9kAAeSwgnlnr33x/s-l140.jpg,"Sold  Feb 26, 2025"
2024 Donruss FIFA Vitinha Signature Series Auto Portugal Red Prizm #SS-V /49,"257,850.00 VND",https://www.ebay.com/itm/235952692659,https://i.ebayimg.com/images/g/9JIAAOSwCO5nqle-/s-l140.jpg,"Sold  Feb 20, 2025"
2024 Donruss FIFA Vitinha Signature Series Auto Portugal V215,"193,387.50 VND",https://www.ebay.com/itm/387867488854,https://i.ebayimg.com/images/g/nNgAAOSwxy9nmE~8/s-l140.jpg,"Sold  Feb 3, 2025"
2020-21 Panini Prizm Premier League Retail Pink Ice Vitinha #140 Rookie RC,"40,998.15 VND",https://www.ebay.com/itm/315620733224,https://i.ebayimg.com/images/g/MEQAAOSwwWJlND7V/s-l140.jpg,"Sold  Mar 12, 2025"
2020-21 Panini Prizm Premier League Purple Prizm /99 Vitinha #140 Rookie RC,"399,409.65 VND",https://www.ebay.com/itm/235985416699,https://i.ebayimg.com/images/g/4S0AAeSwlSlnxCfg/s-l140.jpg,"Sold  Mar 9, 2025"
2020-21 Panini Prizm Premier League Green Wave Prizm Vitinha #140 Rookie RC,"125,057.25 VND",https://www.ebay.com/itm/256844053930,https://i.ebayimg.com/images/g/ceMAAeSwHg1nyD3-/s-l140.jpg,"Sold  Mar 9, 2025"
2020-21 Panini Prizm Premier League Green Ice Prizm /49 Vitinha #140 Rookie RC,"1,340,820.00 VND",https://www.ebay.com/itm/335746785005,https://i.ebayimg.com/images/g/Ow0AAOSwrgFnbaKU/s-l140.jpg,"Sold  Jan 25, 2025"
2020-21 Panini Prizm Premier League Breakaway Blue /195 Vitinha #140 Rookie RC,"302,973.75 VND to 340,104.15 VND",https://www.ebay.com/itm/256759944836,https://i.ebayimg.com/images/g/fZUAAOSwwU1naUBf/s-l140.jpg,"Sold  Jan 25, 2025"
2023-24 Topps Chrome UEFA Vitinha Blue Auto /150,"206,022.15 VND",https://www.ebay.com/itm/316453967573,https://i.ebayimg.com/images/g/Cn8AAOSwF3pngAco/s-l140.jpg,"Sold  Mar 11, 2025"
2023-24 Topps Chrome UEFA Vitinha Holo Auto,"154,710.00 VND",https://www.ebay.com/itm/116440351506,https://i.ebayimg.com/images/g/iZwAAOSw7XBnfhGm/s-l140.jpg,"Sold  Jan 15, 2025"
2023 Topps Finest Road to UEFA EURO 2024 Vitinha Green Refractor #/99,"33,520.50 VND",https://www.ebay.com/itm/396184420832,https://i.ebayimg.com/images/g/HsEAAOSw0nZnpmqF/s-l140.jpg,"Sold  Feb 12, 2025"
2023 Topps Finest Road to UEFA EURO 2024 Vitinha Green Refractor #66/99,"25,527.15 VND",https://www.ebay.com/itm/126922970090,https://i.ebayimg.com/images/g/p-MAAeSwROFno7kq/s-l140.jpg,"Sold  Feb 10, 2025"
2023 Topps Finest Road to UEFA EURO 2024 Vitinha Blue Refractor #/150,"32,231.25 VND",https://www.ebay.com/itm/126900969245,https://i.ebayimg.com/images/g/C1UAAOSwYAhnlAeC/s-l140.jpg,"Sold  Jan 29, 2025"
Vitinha 2024/25 DONRUSS SOCCER 1 Case (12 Box) PLAYER Break#2,"244,957.50 VND",https://www.ebay.com/itm/167287150027,https://i.ebayimg.com/images/g/KWMAAOSwL0BnmsXM/s-l140.jpg,"Sold  Feb 9, 2025"
