Title,Price,Link,Image Link,Sold Date
United States (WNT) 2023-24 Panini Immaculate Soccer Hobby 3 Box Break #189,"2,578,500.00 VND",https://www.ebay.com/itm/376056329932,https://i.ebayimg.com/images/g/VuoAAOSwyg9nzkK~/s-l140.jpg,"Sold  Mar 15, 2025"
United States (WNT) 2023-24 Panini Immaculate Soccer Hobby 3 Box Break #183,"3,519,652.50 VND",https://www.ebay.com/itm/376037196391,https://i.ebayimg.com/images/g/FKkAAOSwrxlnxRC7/s-l140.jpg,"Sold  Mar 8, 2025"
United States (WNT) 2023-24 Panini Immaculate Soccer Hobby 3 Box Break #178,"3,429,405.00 VND",https://www.ebay.com/itm/376018504215,https://i.ebayimg.com/images/g/mQoAAOSwhEZnu4NT/s-l140.jpg,"Sold  Mar 1, 2025"
United States (WNT)-2024-25 Donruss Soccer Hobby 2 Box PYT Break #107,"502,807.50 VND",https://www.ebay.com/itm/167404827268,https://i.ebayimg.com/images/g/vxoAAOSwXMBn3bHr/s-l140.jpg,"Sold  Mar 31, 2025"
United States (WNT)-2024-25 Donruss Soccer 20 Box (Sealed) Blaster Break #106,"528,592.50 VND",https://www.ebay.com/itm/167386392638,https://i.ebayimg.com/images/g/iYwAAOSwBBFn2x7C/s-l140.jpg,"Sold  Mar 24, 2025"
United States (WNT)-2024-25 Donruss Soccer 20 Box (Sealed) Blaster Break #105,"605,947.50 VND",https://www.ebay.com/itm/167368160044,https://i.ebayimg.com/images/g/oPYAAOSwqghnv66B/s-l140.jpg,"Sold  Mar 15, 2025"
United States (WNT)-2024-25 Donruss Soccer 20 Box (Sealed) Blaster Break #104,"554,377.50 VND",https://www.ebay.com/itm/167364611288,https://i.ebayimg.com/images/g/oPYAAOSwqghnv66B/s-l140.jpg,"Sold  Mar 13, 2025"
United States (WNT)-2024-25 Donruss Soccer 20 Box (Sealed) Blaster Break #103,"451,237.50 VND",https://www.ebay.com/itm/167357611426,https://i.ebayimg.com/images/g/oPYAAOSwqghnv66B/s-l140.jpg,"Sold  Mar 10, 2025"
United States (WNT)-2024-25 Donruss Soccer 20 Box (Sealed) Blaster Break #102,"747,765.00 VND",https://www.ebay.com/itm/167347009248,https://i.ebayimg.com/images/g/oPYAAOSwqghnv66B/s-l140.jpg,"Sold  Mar 6, 2025"
United States (WNT)-2024-25 Donruss Soccer 20 Box (Sealed) Blaster Break #1,"684,076.05 VND",https://www.ebay.com/itm/167343033220,https://i.ebayimg.com/images/g/oPYAAOSwqghnv66B/s-l140.jpg,"Sold  Mar 4, 2025"
United States (WNT) 2024-25 Panini Donruss Soccer Hobby 2 Box Break #173,"721,980.00 VND",https://www.ebay.com/itm/376000518281,https://i.ebayimg.com/images/g/SLQAAOSw2ElnshiE/s-l140.jpg,"Sold  Feb 22, 2025"
United States (WNT) 2024-25 Panini Donruss Soccer Hobby 2 Box Break #169,"799,335.00 VND",https://www.ebay.com/itm/375980413595,https://i.ebayimg.com/images/g/HjoAAOSw2ntnptGh/s-l140.jpg,"Sold  Feb 15, 2025"
United States (WNT) 2024-25 Panini Donruss Soccer Hobby 2 Box Break #164,"1,766,272.50 VND",https://www.ebay.com/itm/375962117661,https://i.ebayimg.com/images/g/DnUAAOSwyEtnnZ3H/s-l140.jpg,"Sold  Feb 8, 2025"
United States (WNT) 2024-25 Panini Donruss Soccer Hobby 2 Box Break #161,"1,458,141.75 VND",https://www.ebay.com/itm/375953044569,https://i.ebayimg.com/images/g/3-YAAOSw6nxnlvWX/s-l140.jpg,"Sold  Feb 1, 2025"
United States (WNT) 2024-25 Panini Donruss Soccer Hobby 2 Box Break #157,"1,314,777.15 VND",https://www.ebay.com/itm/375935279202,https://i.ebayimg.com/images/g/9RIAAOSwAahnjVik/s-l140.jpg,"Sold  Jan 25, 2025"
