Title,Price,Link,Image Link,Sold Date
Topps Bundesliga Summer Signings 2023/24 VFB Stuttgart Wooyeong Jeong,"56,217.59 VND",https://www.ebay.com/itm/176085467040,https://i.ebayimg.com/images/g/mYsAAOSwaddlccPq/s-l140.jpg,"Sold  Mar 26, 2025"
Topps Bundesliga Summer Signings 2023/24 VFB Stuttgart Wooyeong Jeong Leweling,"56,217.59 VND",https://www.ebay.com/itm/176085467616,https://i.ebayimg.com/images/g/2hoAAOSwMMNlccQ2/s-l140.jpg,"Sold  Mar 26, 2025"
WOOYEONG JEONG TIER ONE TOPPS 2023-24 BUNDESLIGA SC FREIBURG PATCH /144,"169,500.28 VND",https://www.ebay.com/itm/135568461392,https://i.ebayimg.com/images/g/4LcAAOSwTzxntv0D/s-l140.jpg,"Sold  Mar 2, 2025"
WOOYEONG JEONG-VFB STUTTGART-AUTOGRAPH CARD-RARE,"284,608.09 VND",https://www.ebay.com/itm/167150492505,https://i.ebayimg.com/images/g/hsEAAOSw94tnQiJN/s-l500.jpg,"Sold  Apr 8, 2025"
Wooyeong Jeong *signed * set postcard Freiburg autograph card EX Bavaria Munich,"31,623.12 VND",https://www.ebay.com/itm/204252771034,https://i.ebayimg.com/images/g/TrsAAOSwhhlj9hKa/s-l140.jpg,"Sold  Apr 8, 2025"
Signed Postcard Wooyeong Jeong SC Freiburg NEW,"85,183.00 VND",https://www.ebay.com/itm/405591625184,https://i.ebayimg.com/images/g/fj8AAOSwyPhfv1m7/s-l140.jpg,"Sold  Apr 8, 2025"
WOOYEONG JEONG+++++SC Freiburg++++WC+++++autographed,"28,489.30 VND",https://www.ebay.com/itm/356714655179,https://i.ebayimg.com/images/g/XW8AAOSwLC9n5akh/s-l140.jpg,"Sold  Apr 6, 2025"
Autograph Wooyeong Jeong FC Union Berlin ,"28,489.30 VND",https://www.ebay.com/itm/376046509080,https://i.ebayimg.com/images/g/hWwAAeSwJ7Fnyabu/s-l140.jpg,"Sold  Mar 16, 2025"
Topps Stars Of The Season Wooyeong Jeong Auto /10,"142,446.49 VND",https://www.ebay.com/itm/356648332230,https://i.ebayimg.com/images/g/0rwAAeSwtptnzWfd/s-l140.jpg,"Sold  Mar 14, 2025"
"Wooyeong Jeong v Union Berlin (2024-2025, South Korea, VfB Stuttgart, Bavaria)","99,712.54 VND",https://www.ebay.com/itm/267145482857,https://i.ebayimg.com/images/g/nV8AAOSwkHlnNecS/s-l140.jpg,"Sold  Mar 4, 2025"
Wooyeong Jeong Autograph Card Union Berlin 2024-25 Original Signed,"142,161.60 VND",https://www.ebay.com/itm/326327172048,https://i.ebayimg.com/images/g/9eUAAOSw21RnKOZA/s-l140.jpg,"Sold  Feb 16, 2025"
Wooyeong Jeong Hand Signed Autograph Card 1st FC Union Berlin 2024/25 24/25 NEW,"42,733.95 VND",https://www.ebay.com/itm/205228155040,https://i.ebayimg.com/images/g/imoAAOSwySNniVIE/s-l140.jpg,"Sold  Jan 23, 2025"
WOOYEONG JEONG AUTOGRAPH CARD 2024/25 UNION BERLIN NEW 2024/2025 SOUTH KOREA 24/25,"140,737.13 VND",https://www.ebay.com/itm/126839840788,https://i.ebayimg.com/images/g/aQsAAOSw0CVnZDuV/s-l140.jpg,"Sold  Jan 12, 2025"
