Title,Price,Link,Image Link,Sold Date
2024-25 Donruss Soccer Yaser Asprilla Rated Rookie Optic Gold #177,"51,312.15 VND",https://www.ebay.com/itm/176943581444,https://i.ebayimg.com/images/g/nxAAAeSw~5dntsx5/s-l140.jpg,"Sold  Mar 26, 2025"
2024-25 Donruss Soccer YASER ASPRILLA Rated Rookie Optic Gold 8/10 #177,"1,557,258.26 VND",https://www.ebay.com/itm/126928819957,https://i.ebayimg.com/images/g/AQEAAOSwWfFnp39u/s-l140.jpg,"Sold  Feb 8, 2025"
"2024-25 Donruss Soccer Rookie Kings RED #17 Yaser Asprilla, Colombia","51,570.00 VND",https://www.ebay.com/itm/226626991846,https://i.ebayimg.com/images/g/rWYAAOSwP5FnxR1J/s-l140.jpg,"Sold  Mar 10, 2025"
"2024-25 Donruss Soccer Rated Rookies #177 Yaser Asprilla, Colombia","38,419.65 VND",https://www.ebay.com/itm/235928904725,https://i.ebayimg.com/images/g/bDoAAOSweqlnlDkO/s-l140.jpg,"Sold  Feb 13, 2025"
"2024-25 Donruss Soccer Rookie Kings #17 Yaser Asprilla, Colombia","38,419.65 VND",https://www.ebay.com/itm/235930278742,https://i.ebayimg.com/images/g/Es0AAOSwoyVnlYUX/s-l140.jpg,"Sold  Feb 13, 2025"
"2024-25 Donruss Soccer Rookie Kings 17 Yaser Asprilla, Colombia","77,097.15 VND",https://www.ebay.com/itm/116456274519,https://i.ebayimg.com/images/g/hX8AAOSwzkpnk~8j/s-l140.jpg,"Sold  Jan 25, 2025"
YASER ASPRILLA 2024 Donruss Soccer Optic Rated Rookie #177 RC COLOMBIA,"19,338.75 VND",https://www.ebay.com/itm/297079472820,https://i.ebayimg.com/images/g/81oAAeSwsVJnpTAm/s-l140.jpg,"Sold  Mar 10, 2025"
YASER ASPRILLA 2024 Donruss Soccer The Rookies Red #1 RC COLOMBIA,"25,785.00 VND",https://www.ebay.com/itm/297079451045,https://i.ebayimg.com/images/g/hpcAAeSwKyhnqMfs/s-l140.jpg,"Sold  Mar 10, 2025"
YASER ASPRILLA 2024 Donruss Soccer Diamond Rated Rookie #177 RC COLOMBIA,"25,785.00 VND",https://www.ebay.com/itm/297079448541,https://i.ebayimg.com/images/g/EsYAAeSwPm1nqMdO/s-l140.jpg,"Sold  Mar 10, 2025"
YASER ASPRILLA 2024 Donruss FIFA Optic Rated Rookie PLUM BLOSSOM Prizm #177 *ml,"96,693.75 VND",https://www.ebay.com/itm/156726855851,https://i.ebayimg.com/images/g/QBoAAOSwV1xnuN~k/s-l140.jpg,"Sold  Mar 2, 2025"
YASER ASPRILLA 2024-25 Donruss FIFA Optic Rated Rookie HOLO Prizm #177 *ml,"25,527.15 VND",https://www.ebay.com/itm/156726855856,https://i.ebayimg.com/images/g/-uAAAOSwR61nuN-D/s-l140.jpg,"Sold  Mar 2, 2025"
YASER ASPRILLA 2024 DONRUSS RATED ROOKIE FIFA SOCCER RED RC /99 Q2723,"25,785.00 VND",https://www.ebay.com/itm/276956200106,https://i.ebayimg.com/images/g/2boAAeSw61dn2IzK/s-l140.jpg,"Sold  Mar 24, 2025"
2024-25 Donruss Soccer FIFA Yaser Asprilla Optic Gold #/10 Rated Rookie Colombia,"1,933,875.00 VND",https://www.ebay.com/itm/306181784880,https://i.ebayimg.com/images/g/Q7kAAOSw0AFn1gPx/s-l140.jpg,"Sold  Mar 22, 2025"
2024-25 Panini Donruss soccer kit series-RC Yaser Asprilla,"32,231.25 VND",https://www.ebay.com/itm/396313651038,https://i.ebayimg.com/images/g/enoAAOSwTYxn0hsv/s-l140.jpg,"Sold  Mar 19, 2025"
2024-25 Panini Donruss Fifa - Optic Rated Rookie Holo Prizm #177 Yaser Asprilla,"25,527.15 VND",https://www.ebay.com/itm/405673114859,https://i.ebayimg.com/images/g/KhEAAeSwuxdnx1pS/s-l140.jpg,"Sold  Mar 18, 2025"
YASER ASPRILLA #157 GIRONA FC 2024-25 CHROME PANINI ADRENALYN XL LA LIGA 24/25,"42,092.57 VND",https://www.ebay.com/itm/235925264655,https://i.ebayimg.com/images/g/wsMAAOSwIS1nkP45/s-l140.jpg,"Sold  Mar 10, 2025"
YASER ASPRILLA 2024 Donruss Soccer Rookie Kings Red #17 RC Columbia,"25,785.00 VND",https://www.ebay.com/itm/297079452046,https://i.ebayimg.com/images/g/-igAAeSwjCxnqMeZ/s-l140.jpg,"Sold  Mar 10, 2025"
2024-25 Panini Soccer Donruss Yaser Asprilla The Rookies Red #1 Colombia,"102,882.15 VND",https://www.ebay.com/itm/146390040224,https://i.ebayimg.com/images/g/VlIAAeSwpmFnrwi6/s-l140.jpg,"Sold  Mar 9, 2025"
YASER ASPRILLA 2024 DONRUSS FIFA ROOKIE KIT SERIES PATCH #KS-YA RC Q1969,"77,355.00 VND",https://www.ebay.com/itm/276906789601,https://i.ebayimg.com/images/g/XRwAAeSwmxBnwMSI/s-l140.jpg,"Sold  Mar 6, 2025"
YASER ASPRILLA # 1/10 GOLD ** RATED ROOKIE 2024 Panini Donruss FIFA COLOMBIA 🔥,"1,288,992.15 VND",https://www.ebay.com/itm/196994138938,https://i.ebayimg.com/images/g/R90AAOSwzlBnpCMr/s-l140.jpg,"Sold  Feb 5, 2025"
2024 Panini Donruss Soccer Yaser Asprilla Purple /25,"721,980.00 VND",https://www.ebay.com/itm/176820612992,https://i.ebayimg.com/images/g/7h0AAOSwOM5noF6c/s-l140.jpg,"Sold  Feb 4, 2025"
2024 Donruss FIFA Yaser Asprilla Rated Rookie Silver #336/349 Columbia V245,"25,527.15 VND",https://www.ebay.com/itm/387867488892,https://i.ebayimg.com/images/g/OlIAAeSw6cFnmE8-/s-l140.jpg,"Sold  Feb 3, 2025"
