Title,Price,Link,Image Link,Sold Date
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,769,099.80 VND",https://www.ebay.com/itm/365395321148,https://i.ebayimg.com/images/g/NdMAAOSwll1nrUTp/s-l140.jpg,"Sold  Feb 17, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,326,759.80 VND",https://www.ebay.com/itm/365371737451,https://i.ebayimg.com/images/g/DnkAAOSwJuRnnDDL/s-l140.jpg,"Sold  Feb 6, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,274,980.00 VND",https://www.ebay.com/itm/365351438024,https://i.ebayimg.com/images/g/TRsAAOSw9bRnjGHq/s-l140.jpg,"Sold  Jan 25, 2025"
2020 Futera Kylian Mbappe Yoshinori Muto Versus Game Worn Patch /35 France Japan,"1,327,020.00 VND",https://www.ebay.com/itm/365329735605,https://i.ebayimg.com/images/g/9MMAAOSw0oRnfc6U/s-l140.jpg,"Sold  Jan 12, 2025"
F36925 2019-20 Prizm Premier League Hyper YOSHINORI MUTO Newcastle United,"128,667.15 VND",https://www.ebay.com/itm/383407901405,https://i.ebayimg.com/images/g/D1gAAOSwSRteOvVu/s-l140.jpg,"Sold  Apr 3, 2025"
Topps Match Attax Bundesliga 15/16 2015/16 YOSHINORI MUTO Limited Edition L15,"70,342.61 VND",https://www.ebay.com/itm/146482864147,https://i.ebayimg.com/images/g/wGgAAOSwDndkLsbv/s-l500.jpg,"Sold  Apr 5, 2025"
Topps Bundesliga 2017/2018 - Sticker 198 - Yoshinori Muto,"28,250.05 VND",https://www.ebay.com/itm/292442639378,https://i.ebayimg.com/images/g/yaAAAOSw36tafR8u/s-l500.jpg,"Sold  Mar 28, 2025"
#213 2019 Panini Prizm Premier League Red Mosaic Yoshinori Muto 096/109,"25,527.15 VND",https://www.ebay.com/itm/405536250396,https://i.ebayimg.com/images/g/lpIAAeSw7HBnqlFu/s-l140.jpg,"Sold  Feb 18, 2025"
Yoshinori Muto 2020-21 Chronicles Select Soccer Gold Power Prizm SSP SD Eibar,"333,915.75 VND",https://www.ebay.com/itm/325078224359,https://i.ebayimg.com/images/g/U5EAAOSwtmliHlBp/s-l140.jpg,"Sold  Jan 19, 2025"
Yoshinori Muto Pink Prizm SSP 2020-21 Panini Mosaic Laliga Soccer /49,"25,527.15 VND",https://www.ebay.com/itm/375905621991,https://i.ebayimg.com/images/g/PwsAAOSwqxJnefvR/s-l140.jpg,"Sold  Jan 16, 2025"
2020-21 MOSAIC GREEN PRIZM #45 YOSHINORI MUTO SD EIBAR,"51,779.80 VND",https://www.ebay.com/itm/304541211936,https://i.ebayimg.com/images/g/R-MAAOSwUNpitPoW/s-l140.jpg,"Sold  Feb 1, 2025"
