Title,Price,Link,Image Link,Sold Date
o'o'o . Set of 4 CDs . ALEX GRANT Metaphor Elements Old Father Road Evening's...,"332,501.00 VND",https://www.ebay.com/itm/264829482507,https://i.ebayimg.com/images/g/QaoAAOSw7d5fNh96/s-l500.jpg,"Sold  Mar 29, 2025"
"OCR Business for A Level,Andy Mottershead, Alex Grant, Judith Ke","410,398.31 VND",https://www.ebay.com/itm/385735343188,https://i.ebayimg.com/images/g/fuUAAOSwgMpkpkUA/s-l140.jpg,"Sold  Feb 27, 2025"
ALEX GRANT 2023 SELECT FIFA TERRACE ZEBRA PRIZM STEELERS /25 Q2754,"140,673.50 VND",https://www.ebay.com/itm/276884001036,https://i.ebayimg.com/images/g/9joAAeSwwgRntkGk/s-l140.jpg,"Sold  Feb 26, 2025"
Alex Grant The Dark Side of AI (Poche),"503,491.02 VND",https://www.ebay.com/itm/176820666466,https://i.ebayimg.com/images/g/CCcAAOSwX-ZnoGtj/s-l140.jpg,"Sold  Feb 24, 2025"
ID’d 1864 Alex Grant Company R 32nd Regiment Maine  Civil War Soldier’s Bible,"3,133,182.50 VND",https://www.ebay.com/itm/176837238555,https://i.ebayimg.com/images/g/ROUAAOSwuGNnqkLJ/s-l140.jpg,"Sold  Feb 17, 2025"
Alex Grant Signed 2005-06 ITG Heroes and Prospects #308 Auto AU Sea Dogs,"8,951.95 VND",https://www.ebay.com/itm/276808135284,https://i.ebayimg.com/images/g/YzoAAOSwInlnfVmK/s-l140.jpg,"Sold  Feb 1, 2025"
Alex Grant Signed 2007-08 In The Game Heroes and Prospects #55 Auto AU Sea Dogs,"8,951.95 VND",https://www.ebay.com/itm/396101424560,https://i.ebayimg.com/images/g/eWEAAOSwWPNnfVmg/s-l140.jpg,"Sold  Feb 1, 2025"
Alex Grant Signed 2007-08 In The Game Heroes and Prospects #55 Auto AU Sea Dogs,"4,859.63 VND",https://www.ebay.com/itm/396101418546,https://i.ebayimg.com/images/g/aPMAAOSwII9nfVhN/s-l140.jpg,"Sold  Jan 27, 2025"
Alex Grant Signed 2007-08 In The Game O Canada #1 Card Auto AU FREE SHIP,"7,673.10 VND",https://www.ebay.com/itm/276808130052,https://i.ebayimg.com/images/g/M2AAAOSwXRNnfVif/s-l140.jpg,"Sold  Jan 27, 2025"
Alex Grant Signed 2005-06 ITG Heroes and Prospects #308 Auto AU Sea Dogs,"10,230.80 VND",https://www.ebay.com/itm/276808130256,https://i.ebayimg.com/images/g/pboAAOSwQfhnfVk2/s-l140.jpg,"Sold  Jan 27, 2025"
Alex Grant Signed 2007-08 In The Game Heroes and Prospects #55 Auto AU Sea Dogs,"4,859.63 VND",https://www.ebay.com/itm/396101408904,https://i.ebayimg.com/images/g/OuUAAOSw1SpnfVf7/s-l140.jpg,"Sold  Jan 22, 2025"
Alex Grant Signed 2005-06 ITG Heroes and Prospects #308 Auto AU Sea Dogs,"8,951.95 VND",https://www.ebay.com/itm/276808124661,https://i.ebayimg.com/images/g/3ygAAOSwUptnfVdQ/s-l140.jpg,"Sold  Jan 22, 2025"
Alex Grant Signed 2007-08 In The Game O Canada #1 Card Auto AU FREE SHIP,"8,951.95 VND",https://www.ebay.com/itm/396101408876,https://i.ebayimg.com/images/g/bOoAAOSwIqRnfVgV/s-l140.jpg,"Sold  Jan 22, 2025"
2005-06 ITG Heroes and Prospects Auto Series Two #AF Alex Grant,"89,348.84 VND",https://www.ebay.com/itm/333313503746,https://i.ebayimg.com/images/g/Q5sAAOSwCTddap5O/s-l140.jpg,"Sold  Jan 20, 2025"
Alex Grant Signed 2007-08 In The Game O Canada #1 Card Auto AU FREE SHIP,"4,859.63 VND",https://www.ebay.com/itm/276808119150,https://i.ebayimg.com/images/g/EFoAAOSw9aVnfVXP/s-l140.jpg,"Sold  Jan 17, 2025"
Alex Grant Signed 2005-06 ITG Heroes and Prospects #308 Auto AU Sea Dogs,"10,230.80 VND",https://www.ebay.com/itm/396101401628,https://i.ebayimg.com/images/g/YjYAAOSwSqdnfVay/s-l140.jpg,"Sold  Jan 17, 2025"
Alex Grant Signed 2007-08 In The Game O Canada #1 Card Auto AU FREE SHIP,"4,859.63 VND",https://www.ebay.com/itm/396101387226,https://i.ebayimg.com/images/g/qVYAAOSw4VlnfVRO/s-l140.jpg,"Sold  Jan 12, 2025"
Alex Grant Signed 2007-08 In The Game Heroes and Prospects #55 Auto AU Sea Dogs,"4,859.63 VND",https://www.ebay.com/itm/396101387281,https://i.ebayimg.com/images/g/yKUAAOSwxnlnfVQY/s-l140.jpg,"Sold  Jan 12, 2025"
Alex Grant Signed 2005-06 ITG Heroes and Prospects #308 Auto AU Sea Dogs,"12,532.73 VND",https://www.ebay.com/itm/396101387896,https://i.ebayimg.com/images/g/CvMAAOSwu5pnfVSu/s-l140.jpg,"Sold  Jan 12, 2025"
Alex Grant Signed 2007-08 In The Game O Canada #1 Card Auto AU FREE SHIP,"12,021.19 VND",https://www.ebay.com/itm/276802103284,https://i.ebayimg.com/images/g/fKUAAOSwve5ndzz-/s-l140.jpg,"Sold  Jan 7, 2025"
Alex Grant Signed 2007-08 In The Game Heroes and Prospects #55 Auto AU Sea Dogs,"8,951.95 VND",https://www.ebay.com/itm/276802103295,https://i.ebayimg.com/images/g/adkAAOSwMsZndzxq/s-l140.jpg,"Sold  Jan 7, 2025"
Alex Grant Signed 2005-06 ITG Heroes and Prospects #308 Auto AU Sea Dogs,"12,276.96 VND",https://www.ebay.com/itm/396084312662,https://i.ebayimg.com/images/g/k6kAAOSwoQ5ndzyA/s-l140.jpg,"Sold  Jan 7, 2025"
Saint John Sea Dogs Alex Grant Keyring Rare Vintage Ice Hockey Jersey (K18),"241,043.10 VND",https://www.ebay.com/itm/254939986139,https://i.ebayimg.com/images/g/LLkAAOSwtn9gdR5l/s-l140.jpg,"Sold  Jan 6, 2025"
