"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2015,"Panini","Flawless","Base","Keisuke Honda","AC Milan","M",1,20
"Soccer",2015,"Panini","Flawless","Base","Riccardo Montolivo","AC Milan","M",2,20
"Soccer",2015,"Panini","Flawless","Base","Antoine Griezmann","Atltico de Madrid","F",3,20
"Soccer",2015,"Panini","Flawless","Base","Fernando Torres","Atltico de Madrid","F",4,20
"Soccer",2015,"Panini","Flawless","Base","Koke","Atltico de Madrid","M",5,20
"Soccer",2015,"Panini","Flawless","Base","Ilkay Gundogan","Borussia Dortmund","M",6,20
"Soccer",2015,"Panini","Flawless","Base","Marco Reus","Borussia Dortmund","M",7,20
"Soccer",2015,"Panini","Flawless","Base","Mats Hummels","Borussia Dortmund","D",8,20
"Soccer",2015,"Panini","Flawless","Base","Pierre-Emerick Aubameyang","Borussia Dortmund","F",9,20
"Soccer",2015,"Panini","Flawless","Base","Shinji Kagawa","Borussia Dortmund","M",10,20
"Soccer",2015,"Panini","Flawless","Base","Andres Iniesta","FC Barcelona","M",11,20
"Soccer",2015,"Panini","Flawless","Base","Dani Alves","FC Barcelona","D",12,20
"Soccer",2015,"Panini","Flawless","Base","Lionel Messi","FC Barcelona","F",13,20
"Soccer",2015,"Panini","Flawless","Base","Luis Suarez","FC Barcelona","F",14,20
"Soccer",2015,"Panini","Flawless","Base","Neymar Jr","FC Barcelona","F",15,20
"Soccer",2015,"Panini","Flawless","Base","Arjen Robben","FC Bayern Munich","M",16,20
"Soccer",2015,"Panini","Flawless","Base","Arturo Vidal","FC Bayern Munich","M",17,20
"Soccer",2015,"Panini","Flawless","Base","Franck Ribery","FC Bayern Munich","M",18,20
"Soccer",2015,"Panini","Flawless","Base","Manuel Neuer","FC Bayern Munich","G",19,20
"Soccer",2015,"Panini","Flawless","Base","Thomas Muller","FC Bayern Munich","F",20,20
"Soccer",2015,"Panini","Flawless","Base","Fernando Muslera","Galatasaray AS","G",21,20
"Soccer",2015,"Panini","Flawless","Base","Wesley Sneijder","Galatasaray AS","M",22,20
"Soccer",2015,"Panini","Flawless","Base","David Luiz","Paris Saint-Germain","D",23,20
"Soccer",2015,"Panini","Flawless","Base","Edinson Cavani","Paris Saint-Germain","F",24,20
"Soccer",2015,"Panini","Flawless","Base","Marco Verratti","Paris Saint-Germain","M",25,20
"Soccer",2015,"Panini","Flawless","Base","Thiago Silva","Paris Saint-Germain","D",26,20
"Soccer",2015,"Panini","Flawless","Base","Zlatan Ibrahimovic","Paris Saint-Germain","F",27,20
"Soccer",2015,"Panini","Flawless","Base","Cristiano Ronaldo","Real Madrid CF","F",28,20
"Soccer",2015,"Panini","Flawless","Base","Gareth Bale","Real Madrid CF","M",29,20
"Soccer",2015,"Panini","Flawless","Base","Keylor Navas","Real Madrid CF","G",30,20
"Soccer",2015,"Panini","Flawless","Base","James Rodriguez","Real Madrid CF","M",31,20
"Soccer",2015,"Panini","Flawless","Base","Raphael Varane","Real Madrid CF","D",32,20
"Soccer",2015,"Panini","Flawless","Base","Karim Benzema","Real Madrid CF","F",33,20
"Soccer",2015,"Panini","Flawless","Base","Axel Witsel","FC Zenit","M",34,20
"Soccer",2015,"Panini","Flawless","Base","Ezequiel Garay","FC Zenit","D",35,20
"Soccer",2015,"Panini","Flawless","Base","Hulk","FC Zenit","F",36,20
"Soccer",2015,"Panini","Flawless","Base","Angel Di Maria","Argentina","M",37,20
"Soccer",2015,"Panini","Flawless","Base","Gonzalo Higuain","Argentina","F",38,20
"Soccer",2015,"Panini","Flawless","Base","Javier Mascherano","Argentina","M",39,20
"Soccer",2015,"Panini","Flawless","Base","Lionel Messi","Argentina","F",40,20
"Soccer",2015,"Panini","Flawless","Base","Pablo Zabaleta","Argentina","D",41,20
"Soccer",2015,"Panini","Flawless","Base","Sergio Aguero","Argentina","F",42,20
"Soccer",2015,"Panini","Flawless","Base","Eden Hazard","Belgium","M",43,20
"Soccer",2015,"Panini","Flawless","Base","Jan Vertonghen","Belgium","D",44,20
"Soccer",2015,"Panini","Flawless","Base","Marouane Fellaini","Belgium","M",45,20
"Soccer",2015,"Panini","Flawless","Base","Romelu Lukaku","Belgium","F",46,20
"Soccer",2015,"Panini","Flawless","Base","Thibaut Courtois","Belgium","G",47,20
"Soccer",2015,"Panini","Flawless","Base","Vincent Kompany","Belgium","D",48,20
"Soccer",2015,"Panini","Flawless","Base","Edin Dzeko","Bosnia-Herzegovina","F",49,20
"Soccer",2015,"Panini","Flawless","Base","Dani Alves","Brazil","D",50,20
"Soccer",2015,"Panini","Flawless","Base","David Luiz","Brazil","D",51,20
"Soccer",2015,"Panini","Flawless","Base","Kaka","Brazil","M",52,20
"Soccer",2015,"Panini","Flawless","Base","Neymar Jr","Brazil","F",53,20
"Soccer",2015,"Panini","Flawless","Base","Thiago Silva","Brazil","D",54,20
"Soccer",2015,"Panini","Flawless","Base","Alexis Sanchez","Chile","F",55,20
"Soccer",2015,"Panini","Flawless","Base","Arturo Vidal","Chile","M",56,20
"Soccer",2015,"Panini","Flawless","Base","Claudio Bravo","Chile","G",57,20
"Soccer",2015,"Panini","Flawless","Base","James Rodriguez","Colombia","M",58,20
"Soccer",2015,"Panini","Flawless","Base","Radamel Falcao Garcia","Colombia","F",59,20
"Soccer",2015,"Panini","Flawless","Base","Ivan Rakitic","Croatia","M",60,20
"Soccer",2015,"Panini","Flawless","Base","Luka Modric","Croatia","M",61,20
"Soccer",2015,"Panini","Flawless","Base","Mario Mandzukic","Croatia","F",62,20
"Soccer",2015,"Panini","Flawless","Base","Gary Cahill","England","D",63,20
"Soccer",2015,"Panini","Flawless","Base","Joe Hart","England","G",64,20
