"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ederson/Ederson","Manchester City/Manchester City","G/G",1,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ruben Dias/Ruben Dias","Manchester City/Manchester City","D/D",2,
"Soccer",2021,"Panini","Prizm (21-22)","Base","John Stones/John Stones","Manchester City/Manchester City","D/D",3,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Kyle Walker/Kyle Walker","Manchester City/Manchester City","D/D",4,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Joao Cancelo/Joao Cancelo","Manchester City/Manchester City","D/D",5,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jack Grealish/Jack Grealish","Manchester City/Manchester City","M/M",6,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Rodri/Rodri","Manchester City/Manchester City","M/M",7,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ilkay Gundogan/Ilkay Gundogan","Manchester City/Manchester City","M/M",8,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Bernardo Silva /Bernardo Silva ","Manchester City/Manchester City","M/M",9,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Raheem Sterling/Raheem Sterling","Manchester City/Manchester City","M/M",10,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Riyad Mahrez/Riyad Mahrez","Manchester City/Manchester City","M/M",11,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Kevin De Bruyne/Kevin De Bruyne","Manchester City/Manchester City","M/M",12,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Phil Foden/Phil Foden","Manchester City/Manchester City","M/M",13,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ferran Torres/Ferran Torres","Manchester City/Manchester City","M/M",14,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Gabriel Jesus/Gabriel Jesus","Manchester City/Manchester City","F/F",15,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Kasper Schmeichel/Kasper Schmeichel","Leicester City/Leicester City","G/G",16,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Wesley Fofana/Wesley Fofana","Leicester City/Leicester City","D/D",17,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Caglar Soyuncu/Caglar Soyuncu","Leicester City/Leicester City","D/D",18,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ricardo Pereira/Ricardo Pereira","Leicester City/Leicester City","D/D",19,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Timothy Castagne/Timothy Castagne","Leicester City/Leicester City","D/D",20,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Luke Thomas/Luke Thomas","Leicester City/Leicester City","D/D",21,
"Soccer",2021,"Panini","Prizm (21-22)","Base","James Maddison/James Maddison","Leicester City/Leicester City","M/M",22,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Youri Tielemans/Youri Tielemans","Leicester City/Leicester City","M/M",23,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Harvey Barnes/Harvey Barnes","Leicester City/Leicester City","M/M",24,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Wilfred Ndidi/Wilfred Ndidi","Leicester City/Leicester City","M/M",25,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Boubakary Soumare/Boubakary Soumare","Leicester City/Leicester City","M/M",26,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Patson Daka/Patson Daka","Leicester City/Leicester City","F/F",27,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jamie Vardy/Jamie Vardy","Leicester City/Leicester City","F/F",28,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Kelechi Iheanacho/Kelechi Iheanacho","Leicester City/Leicester City","F/F",29,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ayoze Perez/Ayoze Perez","Leicester City/Leicester City","F/F",30,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Freddie Woodman/Freddie Woodman","Newcastle United/Newcastle United","G/G",31,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jamal Lewis/Jamal Lewis","Newcastle United/Newcastle United","D/D",32,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jamaal Lascelles/Jamaal Lascelles","Newcastle United/Newcastle United","D/D",33,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Fabian Schar/Fabian Schar","Newcastle United/Newcastle United","D/D",34,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Federico Fernandez/Federico Fernandez","Newcastle United/Newcastle United","D/D",35,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Sean Longstaff/Sean Longstaff","Newcastle United/Newcastle United","M/M",36,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Joe Willock/Joe Willock","Newcastle United/Newcastle United","M/M",37,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jacob Murphy/Jacob Murphy","Newcastle United/Newcastle United","M/M",38,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jonjo Shelvey/Jonjo Shelvey","Newcastle United/Newcastle United","M/M",39,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Allan Saint-Maximin/Allan Saint-Maximin","Newcastle United/Newcastle United","F/F",40,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ryan Fraser/Ryan Fraser","Newcastle United/Newcastle United","M/M",41,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Miguel Almiron/Miguel Almiron","Newcastle United/Newcastle United","M/M",42,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Isaac Hayden/Isaac Hayden","Newcastle United/Newcastle United","M/M",43,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Callum Wilson/Callum Wilson","Newcastle United/Newcastle United","F/F",44,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Joelinton/Joelinton","Newcastle United/Newcastle United","F/F",45,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jose Sa/Jose Sa","Wolverhampton Wanderers/Wolverhampton Wanderers","G/G",46,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Nelson Semedo/Nelson Semedo","Wolverhampton Wanderers/Wolverhampton Wanderers","D/D",47,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Conor Coady/Conor Coady","Wolverhampton Wanderers/Wolverhampton Wanderers","D/D",48,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ki-Jana Hoever/Ki-Jana Hoever","Wolverhampton Wanderers/Wolverhampton Wanderers","D/D",49,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Rayan Ait-Nouri/Rayan Ait-Nouri","Wolverhampton Wanderers/Wolverhampton Wanderers","D/D",50,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Trincao/Trincao","Wolverhampton Wanderers/Wolverhampton Wanderers","M/M",51,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Joao Moutinho/Joao Moutinho","Wolverhampton Wanderers/Wolverhampton Wanderers","M/M",52,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Leander Dendoncker/Leander Dendoncker","Wolverhampton Wanderers/Wolverhampton Wanderers","M/M",53,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ruben Neves/Ruben Neves","Wolverhampton Wanderers/Wolverhampton Wanderers","M/M",54,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Max Kilman/Max Kilman","Wolverhampton Wanderers/Wolverhampton Wanderers","D/D",55,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Adama Traore/Adama Traore","Wolverhampton Wanderers/Wolverhampton Wanderers","F/F",56,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Hee-chan Hwang/Hee-chan Hwang","Wolverhampton Wanderers/Wolverhampton Wanderers","F/F",57,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Fabio Silva/Fabio Silva","Wolverhampton Wanderers/Wolverhampton Wanderers","F/F",58,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Raul Jimenez/Raul Jimenez","Wolverhampton Wanderers/Wolverhampton Wanderers","F/F",59,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Daniel Podence/Daniel Podence","Wolverhampton Wanderers/Wolverhampton Wanderers","F/F",60,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Nick Pope/Nick Pope","Burnley/Burnley","G/G",61,
"Soccer",2021,"Panini","Prizm (21-22)","Base","James Tarkowski/James Tarkowski","Burnley/Burnley","D/D",62,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ben Mee/Ben Mee","Burnley/Burnley","D/D",63,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Charlie Taylor/Charlie Taylor","Burnley/Burnley","D/D",64,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Matthew Lowton/Matthew Lowton","Burnley/Burnley","D/D",65,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Nathan Collins/Nathan Collins","Burnley/Burnley","D/D",66,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Dwight McNeil/Dwight McNeil","Burnley/Burnley","M/M",67,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Josh Brownhill/Josh Brownhill","Burnley/Burnley","M/M",68,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Johann Berg Gudmundsson/Johann Berg Gudmundsson","Burnley/Burnley","M/M",69,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ashley Westwood/Ashley Westwood","Burnley/Burnley","M/M",70,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jack Cork/Jack Cork","Burnley/Burnley","M/M",71,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ashley Barnes/Ashley Barnes","Burnley/Burnley","F/F",72,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Matej Vydra/Matej Vydra","Burnley/Burnley","F/F",73,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jay Rodriguez/Jay Rodriguez","Burnley/Burnley","F/F",74,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Chris Wood/Chris Wood","Burnley/Burnley","F/F",75,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Virgil van Dijk/Virgil van Dijk","Liverpool FC/Liverpool FC","D/D",76,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Alisson/Alisson","Liverpool FC/Liverpool FC","G/G",77,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Andy Robertson/Andy Robertson","Liverpool FC/Liverpool FC","D/D",78,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Trent Alexander-Arnold/Trent Alexander-Arnold","Liverpool FC/Liverpool FC","D/D",79,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ibrahima Konate/Ibrahima Konate","Liverpool FC/Liverpool FC","D/D",80,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Takumi Minamino/Takumi Minamino","Liverpool FC/Liverpool FC","M/M",81,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Curtis Jones/Curtis Jones","Liverpool FC/Liverpool FC","M/M",82,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Diogo Jota/Diogo Jota","Liverpool FC/Liverpool FC","M/M",83,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Fabinho/Fabinho","Liverpool FC/Liverpool FC","M/M",84,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Thiago Alcantara/Thiago Alcantara","Liverpool FC/Liverpool FC","M/M",85,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jordan Henderson/Jordan Henderson","Liverpool FC/Liverpool FC","M/M",86,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Harvey Elliott/Harvey Elliott","Liverpool FC/Liverpool FC","M/M",87,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Mohamed Salah/Mohamed Salah","Liverpool FC/Liverpool FC","F/F",88,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Sadio Mane/Sadio Mane","Liverpool FC/Liverpool FC","F/F",89,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Roberto Firmino/Roberto Firmino","Liverpool FC/Liverpool FC","F/F",90,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Jordan Pickford/Jordan Pickford","Everton/Everton","G/G",91,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Ben Godfrey/Ben Godfrey","Everton/Everton","D/D",92,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Lucas Digne/Lucas Digne","Everton/Everton","D/D",93,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Seamus Coleman/Seamus Coleman","Everton/Everton","D/D",94,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Michael Keane/Michael Keane","Everton/Everton","D/D",95,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Mason Holgate/Mason Holgate","Everton/Everton","D/D",96,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Andros Townsend/Andros Townsend","Everton/Everton","M/M",97,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Demarai Gray/Demarai Gray","Everton/Everton","M/M",98,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Abdoulaye Doucoure/Abdoulaye Doucoure","Everton/Everton","M/M",99,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Alex Iwobi/Alex Iwobi","Everton/Everton","M/M",100,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Allan/Allan","Everton/Everton","M/M",101,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Andre Gomes/Andre Gomes","Everton/Everton","M/M",102,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Tom Davies/Tom Davies","Everton/Everton","M/M",103,
"Soccer",2021,"Panini","Prizm (21-22)","Base","Richarlison/Richarlison","Everton/Everton","F/F",104,
