"SPORT","YEAR","BRAND","PROGRAM","CARD SET","ATHLETE","TEAM","POSITION","CARD NUMBER","SEQUENCE"
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Evan Ferguson","Brighton & Hove Albion","F",1,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Simon Adingra","Brighton & Hove Albion","M",2,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Kaoru Mitoma","Brighton & Hove Albion","M",3,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Carlos Baleba","Brighton & Hove Albion","M",4,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Joao Pedro","Brighton & Hove Albion","F",5,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Dejan Kulusevski","Tottenham Hotspur","M",6,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Heung-Min Son","Tottenham Hotspur","F",7,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Destiny Udogie","Tottenham Hotspur","D",8,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Pedro Porro","Tottenham Hotspur","D",9,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Richarlison","Tottenham Hotspur","F",10,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Cristian Romero","Tottenham Hotspur","D",11,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Guglielmo Vicario","Tottenham Hotspur","G",12,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","James Maddison","Tottenham Hotspur","M",13,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Micky van de Ven","Tottenham Hotspur","D",14,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Oliver Norwood","Sheffield United","M",15,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Cameron Archer","Sheffield United","F",16,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Gustavo Hamer","Sheffield United","M",17,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","James McAtee","Sheffield United","M",18,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Anel Ahmedhodzic","Sheffield United","D",19,62
"Soccer",2023,"Panini","Impeccable (23-24)","Base","Yoane Wissa","Brentford","M",20,62
