Title,Price,Link,Image Link,Sold Date
2024 Topps Now MLS #129 Lionel Messi Cavan Sullivan SGC 10 Card,"1,022,824.23 VND",https://www.ebay.com/itm/267176617800,https://i.ebayimg.com/images/g/G1EAAeSwiMVnxSfJ/s-l500.jpg,"Sold  Mar 30, 2025"
2024-25 Donruss Optic FIFA Cavan Sullivan #184 Blue Rated RC Color Match /149,"1,095,462.91 VND",https://www.ebay.com/itm/365483899097,https://i.ebayimg.com/images/g/jnQAAOSwtfZn43gE/s-l500.jpg,"Sold  Mar 30, 2025"
2024-25 Panini Donruss lot (18) Rated Rookie Cavan Sullivan Base #2,"83,125.25 VND",https://www.ebay.com/itm/286438101148,https://i.ebayimg.com/images/g/6VEAAOSwCu5n43e2/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Panini Donruss lot (18) Rated Rookie Cavan Sullivan Base,"83,125.25 VND",https://www.ebay.com/itm/286438097959,https://i.ebayimg.com/images/g/2PsAAOSwctFn43db/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Donruss Optic FIFA Cavan Sullivan #184 Purple Mojo Rated Rookie RC /25,"6,394,250.00 VND",https://www.ebay.com/itm/365483832580,https://i.ebayimg.com/images/g/uSIAAOSwvAJn42tZ/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Donruss Optic FIFA Cavan Sullivan #184 Teal Mojo Rated Rookie RC /49,"4,028,377.50 VND",https://www.ebay.com/itm/365483785606,https://i.ebayimg.com/images/g/4noAAOSwCQ5n42Ux/s-l140.jpg,"Sold  Mar 30, 2025"
2024-25 Donruss FIFA #7 Cavan Sullivan The Rookies SP USMNT Man City RC,"6,394.25 VND",https://www.ebay.com/itm/156831325347,https://i.ebayimg.com/images/g/3nYAAOSwt25nnUuR/s-l140.jpg,"Sold  Mar 30, 2025"
2024 Topps Now Mls #107 Cavan Sullivan SGC 10 card !! !!,"193,106.35 VND",https://www.ebay.com/itm/267198444541,https://i.ebayimg.com/images/g/xpgAAeSwLoFn4LW6/s-l140.jpg,"Sold  Mar 30, 2025"
CAVAN SULLIVAN 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm /149 *dh,"1,202,119.00 VND",https://www.ebay.com/itm/156824251705,https://i.ebayimg.com/images/g/l34AAeSwaFln4Bb8/s-l140.jpg,"Sold  Mar 30, 2025"
CAVAN SULLIVAN 2024-25 Donruss FIFA Optic Rated Rookie BLUE Prizm /149 *ka,"665,002.00 VND",https://www.ebay.com/itm/156824251702,https://i.ebayimg.com/images/g/gsAAAeSwLoFn4BOf/s-l140.jpg,"Sold  Mar 30, 2025"
