Title,Price,Link,Image Link,Sold Date
2017-18 Topps Chrome UEFA Champions League REFRACTOR #21 Gelson Martins SPORTING,"31,971.25 VND",https://www.ebay.com/itm/235917440792,https://i.ebayimg.com/images/g/tlkAAOSwUA1ngF6F/s-l140.jpg,"Sold  Mar 21, 2025"
2017-18 Topps Chrome UCL Gelson Martins Superfractor 1/1 BGS Mint Non Auto ,"7,033,675.00 VND",https://www.ebay.com/itm/335869798799,https://i.ebayimg.com/images/g/RoMAAeSw2QFn2vEs/s-l140.jpg,"Sold  Mar 19, 2025"
Topps UEFA Champions League Chrome 2017 18 Auto Autograph Gelson Martins /99,"235,405.59 VND",https://www.ebay.com/itm/388066884728,https://i.ebayimg.com/images/g/KXEAAeSwqIVn0IFU/s-l140.jpg,"Sold  Mar 18, 2025"
GELSON MARTINS 2018 Topps Museum Collection Archival Autographs Red 16/25,"40,155.89 VND",https://www.ebay.com/itm/267177185005,https://i.ebayimg.com/images/g/5IQAAOSwKG9nxcpY/s-l140.jpg,"Sold  Mar 10, 2025"
2017-18 Topps Champions League Museum Jersey Auto Card : Gelson Martins #43/50,"457,828.30 VND",https://www.ebay.com/itm/354287601799,https://i.ebayimg.com/images/g/I3EAAOSwqZFjZOXe/s-l140.jpg,"Sold  Mar 9, 2025"
Topps Match Attax 2022-2023 - Gelson Martins AS Monaco Chrome Preview No. CR10,"65,862.31 VND",https://www.ebay.com/itm/205182908149,https://i.ebayimg.com/images/g/CpsAAOSwv7FnanpD/s-l140.jpg,"Sold  Mar 2, 2025"
2017-2018 Topps Chrome UEFA Gelson Martins Gold Auto /50,"255,514.23 VND",https://www.ebay.com/itm/286335808524,https://i.ebayimg.com/images/g/vFMAAOSww8hnsjQc/s-l140.jpg,"Sold  Feb 23, 2025"
2017 Topps Chrome UEFA UCL Gelson Martins Refractor #21,"57,548.25 VND",https://www.ebay.com/itm/126922958900,https://i.ebayimg.com/images/g/h~8AAeSwnjpno7b0/s-l140.jpg,"Sold  Feb 10, 2025"
2017 Topps Chrome UEFA UCL Gelson Martins Blue Refractor #/150,"91,565.66 VND",https://www.ebay.com/itm/126919775684,https://i.ebayimg.com/images/g/96MAAeSwZ79noTFN/s-l140.jpg,"Sold  Feb 8, 2025"
Panini Fifa 365 2025 - GELSON MARTINS Limited card - Olympiacos Greek Team,"511,284.23 VND",https://www.ebay.com/itm/186885696805,https://i.ebayimg.com/images/g/uyAAAOSwfaFngNJn/s-l140.jpg,"Sold  Jan 17, 2025"
2018 Topps Chrome Soccer Green Refractor Gelson Martins AUTO 71/99,"108,702.25 VND",https://www.ebay.com/itm/387790134043,https://i.ebayimg.com/images/g/qo8AAOSwMNJneDD7/s-l140.jpg,"Sold  Jan 13, 2025"
2017-18 Topps Champions League Museum Auto Card : Gelson Martins #04/25,"457,828.30 VND",https://www.ebay.com/itm/355783335584,https://i.ebayimg.com/images/g/9O8AAOSw0vJmZ-CD/s-l140.jpg,"Sold  Jan 10, 2025"
2017-18 Topps Champions League Museum Jersey Auto Card : Gelson Martins #55/60,"278,789.30 VND",https://www.ebay.com/itm/355875051510,https://i.ebayimg.com/images/g/4XQAAOSwQSRmlkZ5/s-l140.jpg,"Sold  Jan 8, 2025"
2017-18 Topps Chrome UEFA Champions League REFRACTOR #21 Gelson Martins SPORTING,"31,971.25 VND",https://www.ebay.com/itm/235917440792,https://i.ebayimg.com/images/g/tlkAAOSwUA1ngF6F/s-l140.jpg,"Sold  Mar 21, 2025"
2017-18 Topps Chrome UCL Gelson Martins Superfractor 1/1 BGS Mint Non Auto ,"7,033,675.00 VND",https://www.ebay.com/itm/335869798799,https://i.ebayimg.com/images/g/RoMAAeSw2QFn2vEs/s-l140.jpg,"Sold  Mar 19, 2025"
Topps UEFA Champions League Chrome 2017 18 Auto Autograph Gelson Martins /99,"235,405.59 VND",https://www.ebay.com/itm/388066884728,https://i.ebayimg.com/images/g/KXEAAeSwqIVn0IFU/s-l140.jpg,"Sold  Mar 18, 2025"
GELSON MARTINS 2018 Topps Museum Collection Archival Autographs Red 16/25,"40,155.89 VND",https://www.ebay.com/itm/267177185005,https://i.ebayimg.com/images/g/5IQAAOSwKG9nxcpY/s-l140.jpg,"Sold  Mar 10, 2025"
2017-18 Topps Champions League Museum Jersey Auto Card : Gelson Martins #43/50,"457,828.30 VND",https://www.ebay.com/itm/354287601799,https://i.ebayimg.com/images/g/I3EAAOSwqZFjZOXe/s-l140.jpg,"Sold  Mar 9, 2025"
Topps Match Attax 2022-2023 - Gelson Martins AS Monaco Chrome Preview No. CR10,"65,862.31 VND",https://www.ebay.com/itm/205182908149,https://i.ebayimg.com/images/g/CpsAAOSwv7FnanpD/s-l140.jpg,"Sold  Mar 2, 2025"
2017-2018 Topps Chrome UEFA Gelson Martins Gold Auto /50,"255,514.23 VND",https://www.ebay.com/itm/286335808524,https://i.ebayimg.com/images/g/vFMAAOSww8hnsjQc/s-l140.jpg,"Sold  Feb 23, 2025"
2017 Topps Chrome UEFA UCL Gelson Martins Refractor #21,"57,548.25 VND",https://www.ebay.com/itm/126922958900,https://i.ebayimg.com/images/g/h~8AAeSwnjpno7b0/s-l140.jpg,"Sold  Feb 10, 2025"
