Title,Price,Link,Image Link,Sold Date
2 X TOTTENHAM HOTSPUR 1977/78- PHOTOCARDS/ GLENN HODDLE/ STEVE PERRYMAN,"231,345.50 VND",https://www.ebay.com/itm/187078818778,https://i.ebayimg.com/images/g/xYEAAOSwM6hn4ygu/s-l500.jpg,"Sold  Mar 30, 2025"
Glenn Hoddle Signed England Shirt - 1986 Autograph Jersey,"1,654,831.90 VND",https://www.ebay.com/itm/376097880162,https://i.ebayimg.com/images/g/fNQAAeSwd8Zn4sTd/s-l140.jpg,"Sold  Mar 28, 2025"
Glenn Hoddle Signed Spurs Shirt Tottenham Hotspur Legend Bid From £55!,"1,820,315.09 VND",https://www.ebay.com/itm/116528123697,https://i.ebayimg.com/images/g/d5IAAOSwWrFkn-lW/s-l140.jpg,"Sold  Mar 27, 2025"
2024-25 Topps Deco UEFA GLENN HODDLE 7/49 Auto Blue Legends Tottenham Hotspur,"549,905.50 VND",https://www.ebay.com/itm/306187981684,https://i.ebayimg.com/images/g/0poAAOSw9Odn2l-c/s-l140.jpg,"Sold  Mar 26, 2025"
Glenn Hoddle My Autobiography Playmaker Signed Edition - Spurs & England (24264),"827,415.95 VND",https://www.ebay.com/itm/335833714132,https://i.ebayimg.com/images/g/hfIAAOSwGgxnv0nO/s-l140.jpg,"Sold  Mar 26, 2025"
Topps Football Card 1977 Red Back Glenn Hoddle Spurs,"33,096.64 VND",https://www.ebay.com/itm/356534042309,https://i.ebayimg.com/images/g/NukAAOSwnNhnog-x/s-l140.jpg,"Sold  Mar 26, 2025"
GLENN HODDLE- SIGNED PHOTOCARD- TOTTENHAM HOTSPUR-GREAT GIFT!,"264,442.14 VND",https://www.ebay.com/itm/187038742567,https://i.ebayimg.com/images/g/ZNEAAOSwndlnzecc/s-l140.jpg,"Sold  Mar 24, 2025"
CHELSEA - Glenn Hoddle (Futera 1998) Hand Signed Football trading card HEROES,"264,442.14 VND",https://www.ebay.com/itm/286429429316,https://i.ebayimg.com/images/g/1yEAAeSwkn1n3tDD/s-l140.jpg,"Sold  Mar 25, 2025"
Glenn Hoddle 2023-24 Panini Select Premier League Auto Tie Dye 02/25 [dbK52,"345,289.50 VND",https://www.ebay.com/itm/376083512161,https://i.ebayimg.com/images/g/pGsAAOSwlhtn23O3/s-l140.jpg,"Sold  Mar 24, 2025"
Glenn Hoddle Signed Tottenham Hotspur Football Photo: Volley,"1,654,500.93 VND",https://www.ebay.com/itm/335634535467,https://i.ebayimg.com/images/g/w0sAAOSwGPZnGkPZ/s-l140.jpg,"Sold  Jan 24, 2025"
Glenn Hoddle Signed Spurs Shirt Tottenham Hotspur Legend Bid From £55!,"1,820,315.09 VND",https://www.ebay.com/itm/116519837909,https://i.ebayimg.com/images/g/d5IAAOSwWrFkn-lW/s-l140.jpg,"Sold  Mar 21, 2025"
Glenn Hoddle 2023-24 Panini Prizm Premier League Soccer Club Legends Auto,"219,962.20 VND",https://www.ebay.com/itm/376073102179,https://i.ebayimg.com/images/g/UiIAAOSwQfRn1lDS/s-l140.jpg,"Sold  Mar 20, 2025"
Glenn Hoddle 2023-24 Panini Prizm Premier League Soccer Club Legends Auto,"166,250.50 VND",https://www.ebay.com/itm/376073038715,https://i.ebayimg.com/images/g/6BgAAOSwlmtn1kaA/s-l140.jpg,"Sold  Mar 20, 2025"
Glenn Hoddle Signed Tottenham Hotspur Football Photo: North London Derby,"1,654,500.93 VND",https://www.ebay.com/itm/235881325159,https://i.ebayimg.com/images/g/lu4AAOSwOrpnaGpu/s-l140.jpg,"Sold  Dec 30, 2024"
2023-24 Panini Select Premier League Glenn Hoddle Black 1/1  Auto - Spurs Legend,"17,903,900.00 VND",https://www.ebay.com/itm/176925637141,https://i.ebayimg.com/images/g/5x0AAOSw0ihnyLQH/s-l140.jpg,"Sold  Mar 19, 2025"
